as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,open_lot_count,open_lot_quantity,avg_entry_price,entry_reasons,entry_sleeves,target_portfolio_weight,target_combined_weight,delta_portfolio_weight,preview_action,review_action,review_reason,review_quantity_delta,review_trade_value_delta_usd,review_order_count,review_order_status,monster_recommendation,monster_stage,monster_priority_score,monster_reason,entry_monster_early_score_max,entry_stale_mega_leader_score_max,entry_risk_entry_block_score_max,account_source,approval_status,risk_state,combined_current_cash_weight,combined_target_cash_weight,combined_cash_gap_weight,macro_recommended_cash_floor,macro_cash_raise_gate,macro_cash_raise_confirmation_count,cash_policy_flag
2026-06-12,current_broker_ledger_mark_to_market,concentrated,equity,PR,9241.0,19.51000022888184,180291.91211509705,0.3089572831726318,18.6336612701416,8098.248317718506,5145.539974215031,2026-03-02,2026-03-02,102,1,9241.0,18.6336612701416,target_rebalance,early_scout,0.0,0.0,-0.3089572831726318,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-9241.0,-180291.91211509705,1,ready,,,0.0,,0.5683056914140724,0.0,0.325,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,
2026-06-12,current_broker_ledger_mark_to_market,concentrated,equity,ETR,1558.0,111.11000061035156,173109.38095092773,0.2966489367318449,106.0512237548828,7881.574340820312,4052.714911031719,2026-03-02,2026-03-02,102,1,1558.0,106.0512237548828,target_rebalance,early_scout,0.0,0.0,-0.2966489367318449,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-1558.0,-173109.38095092773,1,ready,,,0.0,,0.5730370316531529,0.0,0.1333333333333333,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,
2026-06-12,current_broker_ledger_mark_to_market,concentrated,equity,AKAM,997.0,133.5,133099.5,0.2280859935934546,115.75,17696.75,0.0,2026-04-01,2026-04-01,72,1,997.0,115.75,target_rebalance,early_scout,0.0,0.0,-0.2280859935934546,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-997.0,-133099.5,1,ready,,,0.0,,0.5111414293764522,0.0,0.1083333333333333,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,
2026-06-12,current_broker_ledger_mark_to_market,concentrated,equity,BKNG,588.0,164.94000244140625,96984.72143554688,0.166197893696153,166.96266174316406,-1189.3236694335938,24145.275299472803,2026-04-01,2026-04-01,72,1,588.0,166.96266174316406,target_rebalance,early_scout,0.0,0.0,-0.166197893696153,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-588.0,-96984.72143554688,1,ready,,,0.0,,0.2318255180957315,0.0,0.3197916666666667,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,
2026-06-12,current_broker_ledger_mark_to_market,concentrated,cash,CASH,0.0,1.0,64.12790759542258,0.0001098928059156,1.0,0.0,0.0,,,,0,0.0,0.0,,,0.0,0.0,,DEPLOY_CASH_REVIEW,DEPLOY_CASH_REVIEW,Combined cash is above target; review deploy candidates before acting.,0.0,0.0,0,,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,cash_above_target
2026-06-12,current_broker_ledger_mark_to_market,main,equity,AMAT,75.0,567.25,42543.75,0.1060332971428277,353.1943518066406,16054.173614501951,610.7023816299442,2026-02-02,2026-04-01,130,3,75.0,353.1943518066406,target_rebalance,"core_compounder,future_winner",0.0297882080460145,0.15823825632759791,-0.07624508909681321,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-53.0,-30064.25,1,ready,,,0.0,,0.6174788207110186,0.5844955049538807,0.2552083333333333,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,
2026-06-12,current_broker_ledger_mark_to_market,main,equity,LRCX,90.0,366.80999755859375,33012.89978027344,0.0822792210829587,177.8587496095799,17005.61231541125,9000.458373732889,2025-12-01,2026-03-02,193,2,90.0,188.2941691080729,target_rebalance,"core_compounder,future_winner",0.0297882080460145,0.17027549964847422,-0.052491013036944194,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-57.0,-20908.169860839844,1,ready,,,0.0,,0.5802713528794066,0.0,0.2416666666666667,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,
2026-06-12,current_broker_ledger_mark_to_market,main,equity,PR,1392.0,19.51000022888184,27157.92031860352,0.0676866480957538,19.789168018034136,-388.6015625,591.2600856542588,2026-03-02,2026-04-01,102,2,1392.0,19.789168018034136,target_rebalance,early_scout,0.0,0.0,-0.0676866480957538,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-1392.0,-27157.92031860352,1,ready,,,0.0,,0.5845862292343869,0.0,0.325,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,
2026-06-12,current_broker_ledger_mark_to_market,main,equity,WDC,38.0,562.9299926757812,21391.339721679688,0.0533143947346446,201.8147013515565,13722.381070320542,11619.585738685191,2025-12-01,2026-03-02,193,2,38.0,208.16891961348685,target_rebalance,future_winner,0.0,0.0,-0.0533143947346446,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-38.0,-21391.339721679688,1,ready,,,0.0,,0.5728853873037654,0.0,0.2416666666666667,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,
2026-06-12,current_broker_ledger_mark_to_market,main,equity,ETR,177.0,111.11000061035156,19666.470108032227,0.0490154410157901,107.02753409692797,722.5965728759766,452.3162401294717,2026-03-02,2026-04-01,102,2,177.0,107.02753409692797,target_rebalance,early_scout,0.0,0.0,-0.0490154410157901,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-177.0,-19666.470108032227,1,ready,,,0.0,,0.5787048892429119,0.0,0.1333333333333333,simulated_broker_replay,simulation_ready_preview_only,green,0.10948414166544972,0.0,-0.10948414166544972,0.03,none,0.0,
