portfolio,official_metric_mode,target_type,target_contract_status,status,valid_for_production,evidence_window_label,pit_universe_label_clean,production_promotion_allowed,verdict_status,target_pass,cagr,cagr_target,canonical_cagr_target,cagr_gap_pp,max_dd,max_dd_target,canonical_max_dd_target,max_dd_gap_pp,sharpe,start_date,end_date,years,broker_ledger_trading_days_estimate,broker_ledger_actual_trading_days,broker_ledger_calendar_trading_days,broker_ledger_observed_equity_days,data_readiness_status,data_readiness_policy_replay_ready,ending_capital_usd,avg_cash_weight,latest_cash_weight,latest_position_count,broker_trade_count,total_fees_usd,order_preview_count,order_preview_buy_count,order_preview_sell_count,journal_trade_count,journal_win_rate,journal_avg_realized_return,journal_avg_holding_days,journal_profit_factor,legacy_cagr,legacy_max_dd,legacy_sharpe
main,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,False,research_7y,False,False,invalid_window,False,0.3315024168562848,0.3,0.35,0.0,-0.2601521797250256,-0.25,-0.25,1.0152,1.2192714080044638,2019-06-03,2026-06-23,7.055441478439425,1778,1778,1778,1774,warn,True,753854.2986017046,0.26695988403658716,0.15668673560815732,13,1681,37653.37185947299,12,7,5,1140,0.5754385964912281,0.10955933306826535,60.13157894736842,3.605066177277775,0.3275626784335568,-0.16557239351339348,1.8526053657458081
concentrated,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,False,research_7y,False,False,invalid_window,False,0.46243150424068036,0.5,0.5,3.7568,-0.2581939668489145,-0.28,-0.25,0.0,1.4213839483552773,2019-06-03,2026-06-23,7.055441478439425,1778,1778,1778,1755,warn,True,1461102.7939860846,0.42180778323142404,0.061150083678899715,5,597,42579.12733101606,5,3,2,398,0.5603015075376885,0.125105215569766,53.301507537688444,3.9807125164958386,0.4700556388423418,-0.1889710687403462,1.7688135255736603
