portfolio,official_metric_mode,target_type,target_contract_status,status,valid_for_production,evidence_window_label,pit_universe_label_clean,production_promotion_allowed,verdict_status,target_pass,cagr,cagr_target,canonical_cagr_target,cagr_gap_pp,max_dd,max_dd_target,canonical_max_dd_target,max_dd_gap_pp,sharpe,start_date,end_date,years,broker_ledger_trading_days_estimate,broker_ledger_actual_trading_days,broker_ledger_calendar_trading_days,broker_ledger_observed_equity_days,data_readiness_status,data_readiness_policy_replay_ready,ending_capital_usd,avg_cash_weight,latest_cash_weight,latest_position_count,broker_trade_count,total_fees_usd,order_preview_count,order_preview_buy_count,order_preview_sell_count,journal_trade_count,journal_win_rate,journal_avg_realized_return,journal_avg_holding_days,journal_profit_factor,legacy_cagr,legacy_max_dd,legacy_sharpe
main,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,True,research_7y,False,False,ok,False,0.32939264206293095,0.3,0.35,0.0,-0.2565269024185842,-0.25,-0.25,0.6527,1.2367560856453923,2019-06-03,2026-07-02,7.080082135523614,1784,1784,1784,1781,warn,True,750715.3791839257,0.293400029333965,0.11027310700837184,14,1612,41729.68168386102,13,6,7,1067,0.5838800374882849,0.11967696952609112,57.248359887535145,4.011849415371158,0.3380735179564074,-0.15337848951733246,1.8737487044942487
concentrated,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,True,research_7y,False,False,ok,False,0.46988319326463657,0.5,0.5,3.0117,-0.23222939116159713,-0.28,-0.25,0.0,1.454733358301226,2019-06-03,2026-07-02,7.080082135523614,1784,1784,1784,1781,warn,True,1528889.6302563588,0.4103536165414282,0.16878631657896048,5,724,60181.35609036326,5,1,4,449,0.5879732739420935,0.10341205051962872,47.363028953229396,3.744159065812263,0.5362383574355736,-0.23103703270085751,1.6891558544985115
