trade_id,ticker,entry_date,exit_date,entry_score,entry_sleeve,entry_regime_state,entry_signal_breakdown,exit_reason,holding_days,n_periods,realized_return,engine_version,benchmark_return_same_period,alpha_vs_benchmark
e003acd0-5fff-42d4-8db3-c6ea661d155c,UBER,2025-04-30,2025-11-28,5.194155694410181,core_compounder,bear,"{""rs_acceleration_score"": 1.8221050077144723, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.0, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,212,8,0.012839517475646378,2026-04-30-phase17-19-sidecar,0.22382203156951808,-0.2109825140938717
775f155e-4383-4aef-b3e1-551fea43a0dc,ULTA,2023-03-31,2023-05-31,3.4191863139960823,core_compounder,bull,"{""rs_acceleration_score"": -0.958673456583814, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.10513019440509863, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,61,3,-0.1392923508305547,2026-04-30-phase17-19-sidecar,0.08027135344562142,-0.2195637042761761
3a16fcbe-6a70-48e3-aac5-f05878bfc733,UNH,2019-05-31,2019-11-29,4.632044501239524,core_compounder,bear,"{""rs_acceleration_score"": 0.11064548969652127, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.0, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,182,7,0.2332391580360742,2026-04-30-phase17-19-sidecar,0.18706844722986382,0.04617071080621038
fdb299b5-1276-41c9-b8f0-4e2a73ea6093,UNH,2020-02-28,2020-03-31,3.5383536677878036,core_compounder,bear,"{""rs_acceleration_score"": -0.1580697632463352, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.0, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,32,2,0.1255119830316671,2026-04-30-phase17-19-sidecar,-0.08398080401782382,0.20949278704949092
50e751dc-21cc-4be8-8976-7fb0b7cd9f76,UNH,2020-05-29,2020-11-30,5.415453939783133,core_compounder,neutral,"{""rs_acceleration_score"": 0.5525531384992417, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.0, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,185,7,0.1699664101489966,2026-04-30-phase17-19-sidecar,0.2110526780834694,-0.04108626793447279
947fc193-bcb0-4e59-9dfd-4cde8fa1c5a0,UNH,2021-03-31,2021-05-28,6.0909659336872695,core_compounder,bull,"{""rs_acceleration_score"": 0.2602802916315239, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.0, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,58,3,0.08410128943170658,2026-04-30-phase17-19-sidecar,0.07464669255473444,0.009454596876972143
86b1340d-07db-47dd-8513-311b7f683464,UNH,2021-07-30,2021-10-29,4.6494635163860485,core_compounder,neutral,"{""rs_acceleration_score"": 0.20811640833152228, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.0, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,91,4,0.09891829459534884,2026-04-30-phase17-19-sidecar,0.028692821779921385,0.07022547281542746
d306cbae-9330-40c3-9f6f-cc60f393134b,UNH,2022-02-28,2022-10-31,3.748461552390037,core_compounder,bear,"{""rs_acceleration_score"": -0.7332962089025075, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.0, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,245,9,0.18438427175697503,2026-04-30-phase17-19-sidecar,-0.05333862795093669,0.23772289970791172
08454733-d283-47bd-8f3d-d2cffc10e8cf,UNH,2023-08-31,2023-11-30,4.815072136195127,core_compounder,bull,"{""rs_acceleration_score"": -0.11818626903749718, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.0, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,91,4,0.10792337705469968,2026-04-30-phase17-19-sidecar,0.050281568813292044,0.05764180824140763
dba91497-9ade-4c6b-90a4-4d5720f5336c,UNH,2024-02-29,2024-05-31,4.323423642100853,core_compounder,neutral,"{""rs_acceleration_score"": -1.1751961256374788, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.0, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_primary"": 1.0, ""theme_phase_multiplier_max"": 1.0, ""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0}",scheduled_rebalance,92,4,0.043900677907177554,2026-04-30-phase17-19-sidecar,0.06579807984302333,-0.021897401935845773
