ticker,target_weight,Name,sector,portfolio_sleeve_label,bridge_reason
CASH,0.1919291704765794,Cash,Cash,,no_op
SNDK,0.12,SANDISK CORP,Information Technology,future_winner,no_op
WDC,0.1101625994631662,WESTERN DIGITAL CORP,Information Technology,future_winner,no_op
STM,0.1054857037733562,STMicroelectronics,Semiconductors,early_scout,no_op
CIEN,0.0926673484376771,CIENA CORP,Information Technology,future_winner,no_op
MRVL,0.0851957691151814,MARVELL TECHNOLOGY INC,Information Technology,future_winner,no_op
LITE,0.0634454659578951,LUMENTUM HOLDINGS INC,Information Technology,future_winner,no_op
ON,0.0564119034408005,ON SEMICONDUCTOR CORP,Information Technology,future_winner,no_op
PWR,0.0527207485074118,QUANTA SERVICES INC,Industrials,future_winner,no_op
FIX,0.0396220611661259,COMFORT SYSTEMS USA INC,Industrials,future_winner,no_op
MU,0.0320349841684777,MICRON TECHNOLOGY INC,Information Technology,future_winner,no_op
COHR,0.0254754447010883,COHERENT CORP,Information Technology,future_winner,no_op
TER,0.0135901159004233,TERADYNE INC,Information Technology,unassigned,no_op
KEYS,0.0112586848918166,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner,no_op
