ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key,auto_trade_allowed,paper_only,approval_required,crisis_state,paper_action_types,approval_status
FIX,BUY,3.0,1931.77001953125,1936.599444580078,5795.31005859375,14.488275146484376,-5809.798333740235,12.0,0.0297562790646873,0.0396220611661259,30867.048816028284,23181.240234375,7685.808581653284,limit,day,target_rebalance,ready,152233.803423433,r1k-M-20260618-B-FIX-6b8b45cf48ce,6b8b45cf48ce1e37f7f49f1a67ed51aee540c50a26005f591c4d7ff2962b98bd,False,True,True,GREEN,no_op,pending_user_approval
KEYS,BUY,6.0,350.70001220703125,351.5767622375488,2104.2000732421875,5.260500183105469,-2109.4605734252928,19.0,0.008553253371629,0.0112586848918166,8770.931292617623,6663.300231933594,2107.631060684029,limit,day,target_rebalance,ready,150124.34285000773,r1k-M-20260618-B-KEYS-bf5a6af8d819,bf5a6af8d81949abf608c9cf9cd6f6c38169e2f93f317a425d634e207007f8f6,False,True,True,GREEN,no_op,pending_user_approval
