rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,shadow_drawdown_state,shadow_drawdown_multiplier,shadow_drawdown,shadow_source_rebalance_date,shadow_drawdown_target_book
2023-04-28,ORLY,0.33,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,normal,1.0,-0.08495014332002682,2023-04-28,True
2023-05-31,AAPL,0.33,APPLE INC,Information Technology,core_compounder,normal,1.0,-0.11084658686192284,2023-05-31,True
2023-05-31,NOW,0.33,SERVICENOW INC,Information Technology,early_scout,normal,1.0,-0.11084658686192284,2023-05-31,True
2023-06-30,ALSN,0.33,ALLISON TRANSMISSION HOLDINGS INC,Industrials,early_scout,normal,1.0,-0.07883414638505215,2023-06-30,True
2023-06-30,OC,0.33,OWENS CORNING,Industrials,early_scout,normal,1.0,-0.07883414638505215,2023-06-30,True
2023-07-31,CARR,0.33,CARRIER GLOBAL CORP,Industrials,future_winner,normal,1.0,-0.05518680265761866,2023-07-31,True
2023-07-31,ON,0.33,ON SEMICONDUCTOR CORP,Information Technology,future_winner,normal,1.0,-0.05518680265761866,2023-07-31,True
2023-08-31,EXE,0.33,EXPAND ENERGY CORP,Energy,early_scout,normal,1.0,-0.09063875949870293,2023-08-31,True
2023-08-31,FANG,0.33,DIAMONDBACK ENERGY INC,Energy,future_winner,normal,1.0,-0.09063875949870293,2023-08-31,True
2023-09-29,DTM,0.33,DT MIDSTREAM INC,Energy,early_scout,normal,1.0,-0.10133645109495781,2023-09-29,True
2023-09-29,FANG,0.33,DIAMONDBACK ENERGY INC,Energy,future_winner,normal,1.0,-0.10133645109495781,2023-09-29,True
2023-10-31,AIZ,0.33,ASSURANT INC,Financials,early_scout,normal,1.0,-0.0877997300868063,2023-10-31,True
2023-10-31,CHRD,0.33,CHORD ENERGY CORP,Energy,early_scout,normal,1.0,-0.0877997300868063,2023-10-31,True
2023-11-30,AIZ,0.33,ASSURANT INC,Financials,early_scout,normal,1.0,-0.08200755265946846,2023-11-30,True
2023-11-30,CTAS,0.33,CINTAS CORP,Industrials,early_scout,normal,1.0,-0.08200755265946846,2023-11-30,True
2023-12-29,CTAS,0.33,CINTAS CORP,Industrials,early_scout,normal,1.0,-0.058965141602420945,2023-12-29,True
2023-12-29,DKS,0.33,DICKS SPORTING INC,Consumer Discretionary,early_scout,normal,1.0,-0.058965141602420945,2023-12-29,True
2024-01-31,DKS,0.33,DICKS SPORTING INC,Consumer Discretionary,early_scout,normal,1.0,-0.050775779313826375,2024-01-31,True
2024-01-31,FICO,0.33,FAIR ISAAC CORP,Information Technology,future_winner,normal,1.0,-0.050775779313826375,2024-01-31,True
2024-02-29,AWI,0.33,ARMSTRONG WORLD INDUSTRIES INC,Industrials,early_scout,normal,1.0,-0.0003215833849545824,2024-02-29,True
2024-02-29,MLI,0.33,MUELLER INDUSTRIES INC,Industrials,early_scout,normal,1.0,-0.0003215833849545824,2024-02-29,True
2024-03-28,FANG,0.33,DIAMONDBACK ENERGY INC,Energy,future_winner,normal,1.0,-0.003159668156312523,2024-03-28,True
2024-03-28,STLD,0.33,STEEL DYNAMICS INC,Materials,early_scout,normal,1.0,-0.003159668156312523,2024-03-28,True
2024-04-30,CMG,0.33,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,early_scout,normal,1.0,-0.050609418902883174,2024-04-30,True
2024-04-30,FANG,0.33,DIAMONDBACK ENERGY INC,Energy,future_winner,normal,1.0,-0.050609418902883174,2024-04-30,True
2024-05-31,FSLR,0.33,FIRST SOLAR INC,Information Technology,future_winner,normal,1.0,-0.0541736718245579,2024-05-31,True
2024-05-31,PEG,0.33,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,early_scout,normal,1.0,-0.0541736718245579,2024-05-31,True
2024-06-28,HALO,0.33,HALOZYME THERAPEUTICS INC,Health Care,early_scout,normal,1.0,-0.13000477089782214,2024-06-28,True
2024-06-28,UTHR,0.33,UNITED THERAPEUTICS CORP,Health Care,early_scout,normal,1.0,-0.13000477089782214,2024-06-28,True
2024-07-31,HALO,0.33,HALOZYME THERAPEUTICS INC,Health Care,early_scout,normal,1.0,-0.12350980210842422,2024-07-31,True
2024-07-31,UTHR,0.33,UNITED THERAPEUTICS CORP,Health Care,early_scout,normal,1.0,-0.12350980210842422,2024-07-31,True
2024-08-30,HALO,0.33,HALOZYME THERAPEUTICS INC,Health Care,early_scout,normal,1.0,-0.03297122655780049,2024-08-30,True
2024-08-30,UTHR,0.33,UNITED THERAPEUTICS CORP,Health Care,future_winner,normal,1.0,-0.03297122655780049,2024-08-30,True
2024-09-30,AEE,0.33,AMEREN CORP,Utilities,early_scout,normal,1.0,-0.07195971798716305,2024-09-30,True
