rebalance_date,portfolio_kind,regime,multiplier,pre_stock_weight,post_stock_weight,cash_weight,bull_floor_applied,rows_affected,variant_key
2019-05-31,main,bear,1.0,0.9683333333333332,0.9683333333333332,0.03166666666666684,False,0,main_N12
2019-06-28,main,neutral,1.0,0.9675,0.9675,0.03249999999999997,False,0,main_N12
2019-07-31,main,neutral,1.0,0.8983333333333332,0.8983333333333332,0.1016666666666668,False,0,main_N12
2019-08-30,main,neutral,1.0,0.8466666666666667,0.8466666666666667,0.15333333333333332,False,0,main_N12
2019-09-30,main,neutral,1.0,0.8400000000000001,0.8400000000000001,0.15999999999999992,False,0,main_N12
2019-10-31,main,neutral,1.0,0.8983333333333334,0.8983333333333334,0.10166666666666657,False,0,main_N12
2019-11-29,main,bull,1.0,0.947,0.947,0.05300000000000005,False,0,main_N12
2019-12-31,main,neutral,1.0,0.9382887869613851,0.9382887869613851,0.06171121303861493,False,0,main_N12
2020-01-31,main,neutral,1.0,0.9145454545454541,0.9145454545454541,0.0854545454545459,False,0,main_N12
2020-02-28,main,bear,1.0,0.41999999999999993,0.41999999999999993,0.5800000000000001,False,0,main_N12
2020-03-31,main,deep_bear,1.0,0.21,0.21,0.79,False,0,main_N12
2020-04-30,main,bear,1.0,0.6799999999999998,0.6799999999999998,0.3200000000000002,False,0,main_N12
2020-05-29,main,neutral,1.0,0.8,0.8,0.19999999999999996,False,0,main_N12
2020-06-30,main,bull,1.0,0.8800000000000001,0.8800000000000001,0.11999999999999988,False,0,main_N12
2020-07-31,main,bull,1.0,0.9299999999999999,0.9299999999999999,0.07000000000000006,False,0,main_N12
2020-08-31,main,neutral,1.0,0.9699999999999999,0.9699999999999999,0.030000000000000138,False,0,main_N12
2020-09-30,main,neutral,1.0,0.8,0.8,0.19999999999999996,False,0,main_N12
2020-10-30,main,neutral,1.0,0.88,0.88,0.12,False,0,main_N12
2020-11-30,main,neutral,1.0,0.9299999999999998,0.9299999999999998,0.07000000000000017,False,0,main_N12
2020-12-31,main,bull,1.0,0.8866128133369753,0.8866128133369753,0.11338718666302472,False,0,main_N12
2021-01-29,main,neutral,1.0,0.8030425891895145,0.8030425891895145,0.19695741081048546,False,0,main_N12
2021-02-26,main,neutral,1.0,0.8272044308914599,0.8272044308914599,0.1727955691085401,False,0,main_N12
2021-03-31,main,bull,1.0,0.9154545454545455,0.9154545454545455,0.08454545454545448,False,0,main_N12
2021-04-30,main,bull,1.0,0.8881818181818182,0.8881818181818182,0.11181818181818182,False,0,main_N12
2021-05-28,main,bull,1.0,0.9427272727272731,0.9427272727272731,0.05727272727272692,False,0,main_N12
2021-06-30,main,bull,1.0,0.9523446077603333,0.9523446077603333,0.04765539223966675,False,0,main_N12
2021-07-30,main,neutral,1.0,0.97,0.97,0.030000000000000027,False,0,main_N12
2021-08-31,main,bull,1.0,0.9700000000000001,0.9700000000000001,0.029999999999999916,False,0,main_N12
2021-09-30,main,neutral,1.0,0.92,0.92,0.07999999999999996,False,0,main_N12
2021-10-29,main,bull,1.0,0.9600001169036116,0.9600001169036116,0.039999883096388356,False,0,main_N12
2021-11-30,main,neutral,1.0,0.6834083365926392,0.6834083365926392,0.3165916634073608,False,0,main_N12
2021-12-31,main,bull,1.0,0.16394679419098182,0.16394679419098182,0.8360532058090182,False,0,main_N12
2022-01-31,main,neutral,1.0,0.40000000000000013,0.40000000000000013,0.5999999999999999,False,0,main_N12
2022-02-28,main,bear,1.0,0.4,0.4,0.6,False,0,main_N12
2022-03-31,main,neutral,1.0,0.17354640421896142,0.17354640421896142,0.8264535957810386,False,0,main_N12
2022-04-29,main,bear,1.0,0.20999999999999996,0.20999999999999996,0.79,False,0,main_N12
2022-05-31,main,bear,1.0,0.4,0.4,0.6,False,0,main_N12
2022-06-30,main,bear,1.0,0.21,0.21,0.79,False,0,main_N12
2022-07-29,main,bear,1.0,0.6799999999999998,0.6799999999999998,0.3200000000000002,False,0,main_N12
2022-08-31,main,bear,1.0,0.39999999999999997,0.39999999999999997,0.6000000000000001,False,0,main_N12
2022-09-30,main,bear,1.0,0.16799999999999998,0.16799999999999998,0.8320000000000001,False,0,main_N12
