window,start,end,row_count,state_counts,first_defense_date,first_crisis_defense_date,first_reentry_ready_date,detection_lag_days,defense_detected,reentry_detected
covid_2020,2020-02-01,2020-05-31,85,"{""CRISIS_DEFENSE"": 24, ""DEFENSE_REVIEW"": 42, ""GREEN"": 13, ""WATCH"": 6}",2020-02-28,2020-02-28,,27,True,False
rate_2022,2021-11-01,2022-12-31,305,"{""CRISIS_DEFENSE"": 41, ""DEFENSE_REVIEW"": 183, ""GREEN"": 43, ""REENTRY_READY"": 1, ""WATCH"": 37}",2022-01-26,2022-04-26,2022-03-28,86,True,True
