ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
AMD,-10723.780612945557,-0.10698079516189522
NOW,-7386.6237449646,-0.07368920629018663
PENN,-7377.219671726227,-0.07359539094006773
PCTY,-5640.38981628418,-0.05626871803407725
FTNT,-5372.592050552368,-0.053597158538913454
PAYC,-5013.379089355469,-0.05001363798694388
QRVO,-4940.039932250977,-0.04928200409524804
SHOP,-4532.194000244141,-0.04521331939491352
TSLA,-4442.349086761475,-0.04431702352384504
DXCM,-3933.919723510742,-0.039244915138994446
SE,-2636.3202056884766,-0.026300018816634126
RNG,-2108.408477783203,-0.021033553708385
CZR,-2042.619644165039,-0.02037724209709108
TREX,-688.8400077819824,-0.006871891027207524
PODD,-463.5,-0.004623891549746886
MA,-456.33316040039085,-0.004552394917464201
UI,-429.02293395996094,-0.004279947182276331
