window,start,end,row_count,state_counts,first_defense_date,first_crisis_defense_date,first_reentry_ready_date,detection_lag_days,defense_detected,reentry_detected
covid_2020,2020-02-01,2020-05-31,22,"{""GREEN"": 17, ""WATCH"": 5}",,,,,False,False
rate_2022,2021-11-01,2022-12-31,305,"{""CRISIS_DEFENSE"": 37, ""DEFENSE_REVIEW"": 181, ""GREEN"": 46, ""REENTRY_READY"": 2, ""WATCH"": 39}",2022-01-26,2022-06-13,2022-02-10,86,True,True
