ticker,months_held_main,first_held_main,last_held_main,avg_weight_main,max_weight_main,months_held_concentrated,first_held_concentrated,last_held_concentrated,avg_weight_concentrated,max_weight_concentrated
AAPL,28.0,2019-10-31,2025-02-28,0.08486139649113679,0.1859145696446457,1.0,2019-12-31,2019-12-31,0.15040924358221608,0.2185353112428015
ABT,10.0,2020-04-30,2021-11-30,0.02253007683448449,0.0717498225935446,3.0,2021-06-30,2021-08-31,0.38076627157086224,1.0
ACI,3.0,2024-12-31,2025-02-28,0.0152085438251017,0.0347464139644543,2.0,2023-12-29,2024-12-31,0.21740741712120726,0.5
ACLS,,,,,,4.0,2022-07-29,2023-03-31,0.047947751742239524,0.0814753008195336
ADI,1.0,2023-03-31,2023-03-31,0.0181596224398104,0.0181596224398104,,,,,
AEE,7.0,2022-05-31,2023-04-28,0.011174860497132023,0.0380942863224799,17.0,2022-05-31,2026-01-30,0.17798038405028166,0.5165364693637127
AEM,1.0,2025-11-28,2025-11-28,0.0627532487385861,0.0627532487385861,,,,,
AEP,4.0,2019-08-30,2020-11-30,0.06239159808596782,0.1434277294702522,4.0,2019-08-30,2020-10-30,0.3232527766824752,1.0
AGCO,5.0,2022-12-30,2023-04-28,0.008163206940831325,0.037542251579569,,,,,
AIT,,,,,,2.0,2024-09-30,2024-10-31,0.04725508166282049,0.0666880788825908
AIZ,3.0,2020-09-30,2020-11-30,0.015725195487646566,0.04,5.0,2023-09-29,2024-01-31,0.10873971262021552,0.1866648920609996
AJG,5.0,2022-08-31,2023-11-30,0.01472485517621568,0.025940527054358,,,,,
AKAM,,,,,,2.0,2023-09-29,2023-10-31,0.041259564209144096,0.0555555555555555
ALNY,3.0,2024-08-30,2025-08-29,0.029815232022845833,0.0559611461558121,3.0,2024-08-30,2024-10-31,0.051639280886257764,0.074262490343516
ALSN,,,,,,2.0,2024-07-31,2024-08-30,0.12450281818825497,0.1836452700791974
AM,2.0,2022-03-31,2022-04-29,0.021606399536914497,0.0399999999999999,7.0,2022-03-31,2026-02-27,0.13973206344236067,0.3681096888294808
AMAT,16.0,2021-01-29,2026-02-27,0.03306227683486635,0.0948503479434914,13.0,2021-01-29,2026-02-27,0.09001420462126901,0.2515300003050097
AMD,3.0,2020-03-31,2025-10-31,0.051937898883175605,0.0790648476751276,3.0,2020-03-31,2025-10-31,0.1205125967418939,0.2756879947067905
AMGN,3.0,2019-08-30,2020-04-30,0.05446993825932563,0.0942342834057843,,,,,
AMKR,1.0,2021-08-31,2021-08-31,0.0231969338172141,0.0231969338172141,2.0,2021-07-30,2021-08-31,0.04603500330813933,0.0682453922160724
AMP,5.0,2024-10-31,2025-02-28,0.00621960929465368,0.0211068903781052,,,,,
AMT,7.0,2019-05-31,2020-04-30,0.042221744661728136,0.0651838040763038,,,,,
AMZN,12.0,2020-04-30,2024-04-30,0.07196736317503537,0.1240106683315157,3.0,2020-04-30,2020-08-31,0.19711742574200286,0.5
AN,1.0,2021-07-30,2021-07-30,0.0325322463402381,0.0325322463402381,10.0,2021-07-30,2024-07-31,0.08889608658141565,0.1938166520566625
