date,signal_date,ticker,decision,reason,current_weight,target_weight,unrealized_return,held_days
2019-06-03,2019-05-31,UNH,buy,staged_new_entry,0.0,0.09338901058268,0.0,0
2019-06-03,2019-05-31,HD,buy,staged_new_entry,0.0,0.0906558652789558,0.0,0
2019-06-03,2019-05-31,NOW,buy,staged_new_entry,0.0,0.0647999999999999,0.0,0
2019-06-03,2019-05-31,DHR,buy,staged_new_entry,0.0,0.0604113524085779,0.0,0
2019-06-03,2019-05-31,AMT,buy,staged_new_entry,0.0,0.0534381225909185,0.0,0
2019-06-03,2019-05-31,SHOP,buy,staged_new_entry,0.0,0.0518488575478743,0.0,0
2019-06-03,2019-05-31,PEG,buy,staged_new_entry,0.0,0.051602075472703,0.0,0
2019-06-03,2019-05-31,FDS,buy,staged_new_entry,0.0,0.050874892827824,0.0,0
2019-06-03,2019-05-31,KO,buy,staged_new_entry,0.0,0.047098030163033,0.0,0
2019-06-03,2019-05-31,ELS,buy,staged_new_entry,0.0,0.038552772318187,0.0,0
2019-06-03,2019-05-31,AZO,buy,staged_new_entry,0.0,0.030929020809246,0.0,0
2019-06-03,2019-05-31,CBOE,buy,staged_new_entry,0.0,0.0287999999999999,0.0,0
2019-06-03,2019-05-31,CMS,buy,staged_new_entry,0.0,0.0287999999999999,0.0,0
2019-06-03,2019-05-31,WRB,buy,staged_new_entry,0.0,0.0287999999999999,0.0,0
2019-07-01,2019-06-28,AZO,hold,defer_target_exit_min_holding,0.021379772492224513,0.0,0.05892161442675414,28
2019-07-01,2019-06-28,CBOE,hold,defer_target_exit_min_holding,0.019005228183220445,0.0,-0.022356710208874753,28
2019-07-01,2019-06-28,CMS,hold,defer_target_exit_min_holding,0.01960035409862526,0.0,0.011579166362616355,28
2019-07-01,2019-06-28,PEG,hold,defer_target_exit_min_holding,0.034404810812106064,0.0,-0.008284406604793348,28
2019-07-01,2019-06-28,UNH,hold,defer_target_exit_min_holding,0.06528715330646973,0.0,0.030244083172717318,28
2019-07-01,2019-06-28,SBUX,buy,staged_new_entry,0.0,0.0838877715166962,0.0,0
2019-07-01,2019-06-28,ORCL,buy,staged_new_entry,0.0,0.0834079367150344,0.0,0
2019-07-01,2019-06-28,SHOP,hold,skip_buy_inside_band,0.04031263916505915,0.0525455552258171,0.14973586460329447,28
2019-07-01,2019-06-28,VEEV,buy,staged_new_entry,0.0,0.0515798862262763,0.0,0
2019-07-01,2019-06-28,SNPS,buy,staged_new_entry,0.0,0.0454966500805647,0.0,0
2019-07-01,2019-06-28,KO,hold,skip_buy_inside_band,0.03310413845971523,0.0412731975971465,0.04047226922467506,28
2019-07-01,2019-06-28,AMT,hold,skip_buy_inside_band,0.03437655836811275,0.0410896621268489,-0.029227021668817632,28
2019-07-01,2019-06-28,CP,buy,staged_new_entry,0.0,0.04,0.0,0
2019-08-01,2019-07-31,AMT,hold,defer_target_exit_min_holding,0.035424793800707934,0.0,0.014489074035273664,59
2019-08-01,2019-07-31,AZO,hold,defer_target_exit_min_holding,0.021159637312189016,0.0,0.06280530076776114,59
