portfolio,metric_source,cagr,cagr_target,cagr_pass,cagr_gap_pp,max_dd,max_dd_target,max_dd_pass,max_dd_improvement_needed_pp,sharpe,avg_turnover_monthly,target_pass
main,broker_ledger_next_close,0.32689367839232153,0.35,False,2.3106,-0.2844980835986508,-0.25,False,3.4498,1.1918905381974925,0.0,False
concentrated,broker_ledger_next_close,0.3865800079525741,0.5,False,11.342,-0.2725669999703043,-0.25,False,2.2567,1.3054127894269458,0.0,False
