row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,GOOG,82.0,393.32000732421875,32252.240600585938,0.13912056787178756
equity,APP,48.0,501.0,24048.0,0.10373144171943102
equity,CAT,27.0,888.3099975585938,23984.36993408203,0.10345697238832767
equity,GEV,19.0,1049.22998046875,19935.36962890625,0.08599154328078026
equity,AMZN,68.0,264.1400146484375,17961.52099609375,0.07747731488683614
equity,NVT,71.0,169.00999450683594,11999.709609985352,0.05176094386469943
equity,PLTR,89.0,133.99000549316406,11925.110488891602,0.05143915933450743
equity,VRT,32.0,370.94000244140625,11870.080078125,0.051201784756695054
equity,FIX,5.0,1992.739990234375,9963.699951171875,0.04297858286738535
equity,MLI,68.0,136.44000244140625,9277.920166015625,0.04002046053636824
equity,PR,445.0,20.84000015258789,9273.800067901611,0.04000268842569824
equity,ON,80.0,113.11000061035156,9048.800048828125,0.039032147159672285
equity,FTI,119.0,71.27999877929688,8482.319854736328,0.03658862556791226
equity,NXPI,26.0,291.5,7579.0,0.03269214058514503
equity,PWR,9.0,769.989990234375,6929.909912109375,0.029892279863975423
equity,UMC,381.0,17.200000762939453,6553.200290679932,0.028267336744362263
equity,CBOE,18.0,363.0199890136719,6534.359802246094,0.02818606798904206
cash,CASH,0.0,1.0,4210.008862903258,0.018159942157374306
