portfolio_kind,base_rebalance_date,period_end_date,action_date,ticker,action,reason,original_weight,new_weight,cash_weight_after,price_return,benchmark_return,relative_return,action_price
concentrated,2019-04-30,2019-05-31,2019-05-13,APH,daily_hard_stop_exit,daily_close_breached_hard_stop,0.125,0.0,0.125,-0.08316750847698373,-0.04702767252135087,-0.037923279526123066,21.569833755493164
concentrated,2019-06-28,2019-07-31,2019-07-05,AVGO,weekly_relative_trim,relative_underperformance_trim50,0.10625,0.053125,0.203125,-0.06304709960613053,0.005999999387441113,-0.06863528731174429,23.80425453186035
concentrated,2019-06-28,2019-07-31,2019-07-08,AVGO,daily_hard_stop_exit,daily_close_breached_hard_stop,0.10625,0.0,0.25625,-0.08857082548018769,0.00047214537676598667,-0.0890009494701336,23.155797958374023
concentrated,2019-07-31,2019-08-30,2019-08-14,TSCO,daily_hard_stop_exit,daily_close_breached_hard_stop,0.10625,0.0,0.25625,-0.08437260091421295,-0.046035352955120956,-0.040187283750870884,17.966428756713867
concentrated,2019-08-30,2019-09-30,2019-09-20,V,weekly_relative_trim,relative_underperformance_trim50,0.425,0.2125,0.36250000000000004,-0.0357856508176585,0.03127455647560118,-0.06502653136565217,165.8688201904297
concentrated,2019-10-31,2019-11-29,2019-11-07,BKNG,daily_hard_stop_exit,daily_close_breached_hard_stop,0.10625,0.0,0.25625,-0.08583138052071893,0.010691422146153373,-0.09550175310868958,72.64019775390625
concentrated,2019-10-31,2019-11-29,2019-11-15,DUK,weekly_relative_trim,relative_underperformance_trim50,0.10625,0.053125,0.30937500000000007,-0.05052215771789392,0.022530726004434953,-0.07144321619339977,69.1771240234375
concentrated,2019-10-31,2019-11-29,2019-11-22,LRCX,weekly_relative_trim,relative_underperformance_trim50,0.10625,0.053125,0.36250000000000004,-0.04323998693364395,0.01980828921981459,-0.061823655308481995,24.27007293701172
concentrated,2019-12-31,2020-01-31,2020-01-10,AVGO,weekly_relative_trim,relative_underperformance_trim50,0.10625,0.053125,0.203125,-0.06294605427481226,0.006707185774635915,-0.06918917539647018,25.688331604003906
concentrated,2020-01-31,2020-02-28,2020-02-21,CPRT,weekly_relative_trim,relative_underperformance_trim50,0.10625,0.053125,0.203125,-0.06800388606432073,0.03132825075216994,-0.09631476374669812,23.8125
concentrated,2020-01-31,2020-02-28,2020-02-24,CPRT,daily_hard_stop_exit,daily_close_breached_hard_stop,0.10625,0.0,0.25625,-0.09227006444972286,-0.0028763243170570885,-0.08965160723060639,23.1924991607666
concentrated,2020-01-31,2020-02-28,2020-02-27,MA,daily_hard_stop_exit,daily_close_breached_hard_stop,0.425,0.0,0.68125,-0.10345050929223865,-0.07991324803773725,-0.02558156739492623,275.8302307128906
