portfolio,ticker,changed_dates,abs_delta_weight,proxy_delta_return
main,CXT,4,0.2525895726461635,-0.02452568465357301
main,ZM,5,0.363224446683845,-0.023464717099776405
main,BEAM,3,0.0640531750078803,-0.01487588592889571
main,LNG,9,0.3230048640627162,-0.014249767597882733
main,COHR,6,0.0665812202321562,-0.012217726839766423
main,UAL,3,0.049977865866061406,-0.01090024021559971
main,LITE,14,0.0653336703897135,-0.009891251619611787
main,NRG,8,0.09372944211643412,-0.009056050847981886
main,FLNC,2,0.1316868724925514,-0.009045435760033976
main,EXP,4,0.06279437514521422,-0.00802463735910628
main,TER,11,0.157626983355104,-0.007777658249688587
main,NET,5,0.05998489623543311,-0.006838983735095333
main,LRCX,17,0.17203293120016985,-0.006733512737941895
main,SE,9,0.026307962312435297,-0.005951472013207911
main,ON,6,0.0282852856916675,-0.005861930347033231
main,TSLA,16,0.044998395035426915,-0.0046289118410957385
main,WDC,11,0.1099262969183956,-0.004373368196821344
main,SHOP,7,0.023544311473819298,-0.0041922509586782945
main,MSFT,1,0.0362771916314869,-0.004028696615646868
main,UTHR,5,0.0793685329673982,-0.0039911962367289305
main,RGEN,4,0.03663112343836379,-0.0037588407411723096
main,KMX,1,0.0575826775086656,-0.0035519578579335104
main,FTAI,11,0.05925097463945098,-0.0035346792988920784
main,PAYC,2,0.0316778015222826,-0.0034616286726756648
main,FOX,2,0.0581642942995534,-0.0034582377257602014
main,UI,6,0.013148474411633408,-0.0031000677899324556
main,NTLA,2,0.022634156858700696,-0.002804268689698429
main,RUN,3,0.018966639027288693,-0.0027414169599334665
main,SMCI,4,0.030961779602100295,-0.0026334995496235095
main,EXEL,2,0.0460187130149348,-0.0026250018892027623
main,DKS,5,0.038736496252257197,-0.0022574033757976593
main,GOOG,5,0.032559426553314084,-0.0022293742400992887
main,HLNE,2,0.0423175923719107,-0.002201810212280927
main,MEDP,5,0.0362910199551534,-0.0021348381574570197
main,HPQ,1,0.0579277153711144,-0.00211517202537621
main,WAL,3,0.016277793530835413,-0.002103419854097241
main,ALAB,4,0.01723603869359211,-0.0019666963813386004
main,AAON,1,0.009216288202575397,-0.0018911749593580834
main,DXCM,9,0.034231890766906484,-0.0018727810219973395
main,DAR,7,0.0360208524277402,-0.0017938388601898344
main,FUTU,2,0.004451605115561592,-0.0017900083351467394
main,SQM,7,0.0404023022641754,-0.0016678634283168621
main,FHN,1,0.0239860200745947,-0.0016640474022569867
main,CROX,6,0.019520273381229216,-0.0016276204015471577
main,HUBS,3,0.0800376792238443,-0.0016027452946931712
main,ALGN,4,0.051895475476579106,-0.0015870301038538985
main,BYD,3,0.1445563523758626,-0.0015525833416121576
main,VALE,2,0.08652344221596939,-0.0015063144763612082
main,BKR,3,0.007459574000871203,-0.00149917853194463
main,BWA,2,0.010545249882102703,-0.0014747844627660666
main,AMKR,1,0.014112096876877596,-0.0014347412682966612
