portfolio,rebalance_date,ticker_overlap_jaccard,frozen_ticker_count,generated_ticker_count,added_ticker_count,dropped_ticker_count,added_weight,dropped_weight,l1_weight_diff,proxy_delta_return
main,2019-05-31,1.0,14,14,0,0,0.0,0.0,0.0,0.0
main,2019-06-28,1.0,14,14,0,0,0.0,0.0,0.0,0.0
main,2019-07-31,0.8666666666666667,14,14,1,1,0.0637558685446009,0.0754444444444444,0.1508888888888893,0.0031555357238157453
main,2019-08-30,0.9230769230769231,13,12,0,1,0.0,0.0604477924251935,0.06071812300730232,-0.002733375294016835
main,2019-09-30,0.8666666666666667,14,14,1,1,0.0444454255876126,0.0719751409610694,0.2678102610331946,-0.004493463783192547
main,2019-10-31,0.8571428571428571,13,13,1,1,0.0572607607829244,0.1128741092636579,0.2665654398603798,0.015156595553493116
main,2019-11-29,0.8666666666666667,14,14,1,1,0.0534518997574777,0.0457334148994018,0.10773713284828895,0.005776907214034527
main,2019-12-31,1.0,14,14,0,0,0.0,0.0,0.002825653726968115,-2.354282602877637e-05
main,2020-01-31,1.0,13,13,0,0,0.0,0.0,0.0,0.0
main,2020-02-28,0.75,14,14,2,2,0.0040036258994057,0.0416619217867586,0.21445958755870048,0.014157485711828125
main,2020-03-31,0.8,9,9,1,1,0.0102977619480178,0.0020407797808759,0.027377131985534497,-0.0017341885973766649
main,2020-04-30,0.8666666666666667,14,14,1,1,0.0222232835592449,0.019906043321301,0.09185062974069666,0.0025631881474978218
main,2020-05-29,0.6875,13,14,3,2,0.119034021264629,0.071634177294288,0.30891636741184214,-0.017763007178931003
main,2020-06-30,1.0,14,14,0,0,0.0,0.0,0.0,0.0
main,2020-07-31,0.8666666666666667,14,14,1,1,0.0486211846479298,0.0486211846479298,0.0972423692958596,-0.03046283856084788
main,2020-08-31,0.8,14,13,1,2,0.0244752611657791,0.12312017318547891,0.1850968383709412,-0.0054853535825432655
main,2020-09-30,0.8,14,13,1,2,0.0467672847637335,0.1085301054588699,0.2071188401017368,0.0061197692300478225
main,2020-10-30,0.8571428571428571,14,12,0,2,0.0,0.09801637932265561,0.19226654359817558,-0.003675578541678869
main,2020-11-30,0.7777777777777778,8,8,1,1,0.0372416263578548,0.0520983701536722,0.0972198548482735,0.016392717822893192
main,2020-12-31,1.0,14,14,0,0,0.0,0.0,0.00508330007411463,0.00013031114935503548
main,2021-01-29,1.0,13,13,0,0,0.0,0.0,0.053913277909758,-9.180883038978349e-05
main,2021-02-26,0.8571428571428571,13,13,1,1,0.0331437845180469,0.0371411754504107,0.1257481802092807,0.005446002811589788
main,2021-03-31,0.8666666666666667,14,14,1,1,0.0575826775086656,0.0575826775086656,0.1151653550173312,-0.003909111976712675
main,2021-04-30,1.0,14,14,0,0,0.0,0.0,0.0,0.0
main,2021-05-28,0.8666666666666667,14,14,1,1,0.0480666360996484,0.0583932349004878,0.1068475579135826,0.002507507198783129
main,2021-06-30,0.6470588235294118,14,14,3,3,0.191783546979885,0.22824720567781331,0.5270004837892874,-0.014590814400465654
main,2021-07-30,1.0,14,14,0,0,0.0,0.0,0.0,0.0
main,2021-08-31,1.0,14,14,0,0,0.0,0.0,0.025642668182984787,-0.0009446093374355348
main,2021-09-30,0.8666666666666667,14,14,1,1,0.0347856964517152,0.0301405046853369,0.1406627483742658,-0.0025449237707297445
main,2021-10-29,0.8666666666666667,14,14,1,1,0.0336471884260123,0.035284317367415,0.15061631798003233,0.006042279839309184
main,2021-11-30,0.9230769230769231,13,12,0,1,0.0,0.0285591136997866,0.0583705529305505,0.005818026179605747
main,2021-12-31,1.0,14,14,0,0,0.0,0.0,0.014448580150952102,0.0017295442131882838
main,2022-01-31,1.0,14,14,0,0,0.0,0.0,0.021240069355290894,-0.0006533276011414565
main,2022-02-28,1.0,14,14,0,0,0.0,0.0,0.0069373656464164005,-0.00024379251336055448
main,2022-03-31,0.8181818181818182,10,10,1,1,0.006205473322521,0.0072622062149713,0.021918536520084703,-0.0004044804753108585
main,2022-04-29,0.8666666666666667,14,14,1,1,0.0038324910751301,0.0358056563933412,0.0777419967656419,-0.001253877736694741
main,2022-05-31,0.8666666666666667,14,14,1,1,0.0062770661041525,0.0040084897180585,0.041007062235793514,-0.00043620905462692273
