portfolio,metric_mode,target_book_source,requested_end_date,actual_end_date,cagr,max_dd,sharpe,ending_capital_usd,trade_count
main,broker_ledger_next_close,run287_generated,2026-06-29,2026-06-29,0.34697324101939064,-0.2565269024185842,1.2967538168866786,821882.2903930321,1612
main,broker_ledger_next_close,run287_generated,2026-07-02,2026-07-02,0.32939264206293095,-0.2565269024185842,1.2367560856453905,750715.3791839257,1612
concentrated,broker_ledger_next_close,run287_generated,2026-06-29,2026-06-29,0.49230792864720696,-0.23222939116159724,1.5185472009402625,1696305.5578839222,724
concentrated,broker_ledger_next_close,run287_generated,2026-07-02,2026-07-02,0.46988319326463657,-0.23222939116159724,1.454733358301225,1528889.6302563588,724
