arm,portfolio,status,metric_mode,target_book_source,metrics_path,start_date,end_date,cagr,max_dd,sharpe,avg_cash_weight,ending_capital_usd,cash_interest_accrued_usd,target_pass,production_promotion_allowed,production_evidence_valid,public_display_allowed,live_trading_enabled
official_run287_zero_yield,main,completed,broker_ledger_next_close,official_run287_artifact,outputs\run_28725350727_user_operating_artifact\outputs\broker_replay\main\metrics.json,2019-06-03,2026-07-02,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,750715.3791839257,,False,False,False,False,False
official_run287_zero_yield,concentrated,completed,broker_ledger_next_close,official_run287_artifact,outputs\run_28725350727_user_operating_artifact\outputs\broker_replay\concentrated\metrics.json,2019-06-03,2026-07-02,0.46988319326463657,-0.23222939116159713,1.454733358301226,0.4103536165414282,1528889.6302563588,,False,False,False,False,False
generated_book_zero_yield,main,completed,broker_ledger_next_close,generated_book_latest_replay,outputs\run287_metric_sidecar\generated_book_zero_yield\main\metrics.json,2019-06-03,2026-07-02,0.3294036271548193,-0.256526842052752,1.2368251517302977,0.2934185380359638,750759.3004592421,,False,False,False,False,False
generated_book_zero_yield,concentrated,completed,broker_ledger_next_close,generated_book_latest_replay,outputs\run287_metric_sidecar\generated_book_zero_yield\concentrated\metrics.json,2019-06-03,2026-07-02,0.470016069512182,-0.23221642590645364,1.454822339342857,0.41031429155456056,1529868.4400708075,,False,False,False,False,False
generated_book_cash_carry,main,completed,broker_ledger_next_close_cash_carry,generated_book_latest_replay,outputs\run287_metric_sidecar\generated_book_cash_carry\main\metrics.json,2019-06-03,2026-07-02,0.3380570601271662,-0.25361933512789125,1.262090497381186,0.2935881289342374,786051.1293153978,13650.81505368507,False,False,False,False,False
generated_book_cash_carry,concentrated,completed,broker_ledger_next_close_cash_carry,generated_book_latest_replay,outputs\run287_metric_sidecar\generated_book_cash_carry\concentrated\metrics.json,2019-06-03,2026-07-02,0.48405282381071246,-0.22955203584248118,1.4875164756773855,0.41049961091841974,1636347.5411313293,26480.134921309153,False,False,False,False,False
