bucket_id,description,target_row_count,ticker_count,linked_mdd_position_pnl_usd,avg_weight,max_weight,tickers,research_note
qqq_underperforms_spy_weighted,Rows above 6% where QQQ one-month return is below SPY,8,8,-243731.99242210388,0.10815452077563768,0.285,"['PLTR', 'TPR', 'BROS', 'APP', 'AXON', 'CORT', 'HUBS', 'LI']",diagnostic bucket only; convert to policy only after broker replay validates a PIT-safe rule
high_weight_market_leader,MARKET_LEADER rows above 8% target weight,3,3,-179986.9240875244,0.16287209703651678,0.285,"['PLTR', 'APP', 'HUBS']",diagnostic bucket only; convert to policy only after broker replay validates a PIT-safe rule
information_technology_loss_cluster,Information Technology MDD loss rows,5,3,-179986.9240875244,0.10267052820561735,0.285,"['PLTR', 'APP', 'HUBS']",diagnostic bucket only; convert to policy only after broker replay validates a PIT-safe rule
weak_confirmation_weighted,Rows above 6% with confirmation below 0.50 or breakout quality below 0.60,6,6,-67236.90769004822,0.07770602770085029,0.0896162911095505,"['TPR', 'BROS', 'AXON', 'CORT', 'HUBS', 'LI']",diagnostic bucket only; convert to policy only after broker replay validates a PIT-safe rule
high_vol_weighted,Rows above 6% with ATR14 at or above 6%,1,1,-22399.82865524292,0.076,0.076,['BROS'],diagnostic bucket only; convert to policy only after broker replay validates a PIT-safe rule
negative_short_rs_weighted,Rows above 4% where 1m absolute or benchmark-relative return is negative,1,1,-10993.650077819824,0.0525,0.0525,['UBER'],diagnostic bucket only; convert to policy only after broker replay validates a PIT-safe rule
below_ma50_weighted,Rows above 4% with price below the 50-day average flag,1,1,-10993.650077819824,0.0525,0.0525,['UBER'],diagnostic bucket only; convert to policy only after broker replay validates a PIT-safe rule
