split,feature,rows,auc,spearman
holdout,crisis_score,1697,0.4750921503195271,-0.021774090405476548
holdout,cash_raise_confirmation_score,1697,0.42014002486422825,-0.06981248987735979
holdout,liquidity_confirmation_score,1697,0.3489334554734018,-0.1320860019066609
holdout,market_trend_damage_score,1697,0.5071184758664311,0.006244643123351952
holdout,volatility_stress_score,1697,0.5370182555780934,0.033096942359424675
holdout,credit_stress_score,1697,0.4395188553730725,-0.07274153583955725
holdout,rate_shock_score,1697,0.6210386267966586,0.10581798170193803
holdout,vix_zscore_252d,1697,0.6308316430020284,0.11437117451598167
holdout,hy_oas_zscore_252d,735,0.18742985409652077,-0.22422121799362874
holdout,m2_6m_change_lag1m,1697,0.3927757421099697,-0.09373795609961857
holdout,net_liquidity_13w_change_pct,1697,0.46552269406093916,-0.030139574467887287
holdout,fed_assets_13w_change_pct,1697,0.3922931797858187,-0.09415617297727946
holdout,reverse_repo_13w_change_pct,1671,0.4619719481095465,-0.033483127761919314
holdout,tga_13w_change_pct,1697,0.6073523959083077,0.0938463389650523
holdout,dxy_ret_20d,1697,0.5156982704093873,0.013723206362124981
test,crisis_score,2216,0.3027650377179021,-0.10046908535254019
test,cash_raise_confirmation_score,2216,0.27855683113116037,-0.11280084623283156
test,liquidity_confirmation_score,2216,0.31832779258450034,-0.09258114718989828
test,market_trend_damage_score,2216,0.2915768060800693,-0.1065473478257831
test,volatility_stress_score,2216,0.4103387547912566,-0.04730065763963676
test,credit_stress_score,2216,0.5,
test,rate_shock_score,2216,0.3907781848318469,-0.055648912140241036
test,vix_zscore_252d,2167,0.5045910353992993,0.0018885299230835678
test,hy_oas_zscore_252d,0,,
test,m2_6m_change_lag1m,2090,0.6471666483886634,0.06162755204911893
test,net_liquidity_13w_change_pct,2151,0.5607121119902617,0.025065398616418003
test,fed_assets_13w_change_pct,2151,0.5778454047474133,0.032139058034576236
test,reverse_repo_13w_change_pct,2151,0.3876902008520998,-0.0463832893873828
test,tga_13w_change_pct,2151,0.5269020085209982,0.011106695583489208
test,dxy_ret_20d,2196,0.34326156596885943,-0.06405361339322642
all,crisis_score,3913,0.45106966139516835,-0.034064404359706736
all,cash_raise_confirmation_score,3913,0.408389120662333,-0.06377791844320405
all,liquidity_confirmation_score,3913,0.36805569030755797,-0.09188349393156454
all,market_trend_damage_score,3913,0.46307687332233755,-0.02579618355340451
all,volatility_stress_score,3913,0.5086454189709259,0.006196571756943823
all,credit_stress_score,3913,0.4904595582290353,-0.012989449215046443
all,rate_shock_score,3913,0.5697567995860419,0.0485695879186952
all,vix_zscore_252d,3864,0.6209802726578929,0.08017205702448109
all,hy_oas_zscore_252d,735,0.18742985409652077,-0.22422121799362874
all,m2_6m_change_lag1m,3787,0.4353769529789938,-0.04324101076680609
all,net_liquidity_13w_change_pct,3848,0.48296562613156585,-0.0113109739275777
all,fed_assets_13w_change_pct,3848,0.4440645753032367,-0.03714163996519934
all,reverse_repo_13w_change_pct,3822,0.42895645332963117,-0.04733039417869903
all,tga_13w_change_pct,3848,0.5619551252005801,0.04113877684264632
all,dxy_ret_20d,3893,0.4561309841608827,-0.028967210779695832
