rebalance_date,net_return,drawdown,regime_state
2022-05-31,-0.1309549531324069,-0.26937281501556887,bear
2021-12-31,-0.09858296082262602,-0.1091588434387526,bull
2026-02-27,-0.09426233168890903,-0.09426233168890907,neutral
2020-02-28,-0.09066777784538435,-0.1494218033030711,bear
2023-08-31,-0.08233431116542086,-0.1411840649738888,bull
2024-11-29,-0.07163238558083761,-0.07163238558083762,bull
2025-02-28,-0.06435002307613753,-0.13367123884755439,neutral
2021-02-26,-0.06372697718611359,-0.07715520537670717,neutral
2022-03-31,-0.0625143550081497,-0.17405585654131184,neutral
2022-11-30,-0.05956562150062549,-0.24183087501413125,neutral
