as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,risk_state,account_source,approval_status
2026-05-27,current_broker_ledger_mark_to_market,concentrated,equity,PR,18432.0,19.32999992370605,356290.55859375,0.4278105111989727,12834.9140625,7533.430024952889,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,concentrated,equity,ETR,3015.0,111.51000213623048,336202.65644073486,0.4036902658494595,16458.216819763184,12618.001972618096,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,concentrated,equity,THC,775.0,181.0599975585937,140321.49810791016,0.1684889211622342,-41896.49810791016,0.0,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,concentrated,cash,CASH,0.0,1.0,8.579570113564841,1.0301789333510533e-05,0.0,0.0,,,,0.0,,,DEPLOY_CASH_REVIEW,Combined cash is above target; review deploy candidates before acting.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,MU,62.0,928.4099731445312,57561.41833496094,0.1225770525889462,42837.26266327986,12496.670780609751,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,LRCX,100.0,318.92999267578125,31892.999267578125,0.0679161487246872,15552.78846418354,8496.736748104364,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,AMAT,70.0,448.25,31377.5,0.066818392924721,6460.601959228516,2109.124662322997,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,GOOG,56.0,384.8299865722656,21550.479248046875,0.0458917501430019,4373.227840169271,17164.01171816508,,,,0.0,,,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,ETR,182.0,111.51000213623048,20294.820388793945,0.043217824335115,993.4976654052734,701.9657121753693,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
2026-05-27,current_broker_ledger_mark_to_market,main,equity,PR,1037.0,19.32999992370605,20045.20992088318,0.0426862787906011,722.1031837463379,388.3117629718781,,,,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",recovery,simulated_broker_replay,simulation_ready_preview_only
