strategy,status,n,avg_return,median_return,hit_rate,loss_rate,worst_return,best_return,trade_sharpe
hold_3m_return,event_level,28,0.3290607512714674,0.29900284624538154,0.8571428571428571,0.14285714285714285,-0.34513276578784424,1.179508427626205,1.0377061695529273
hold_6m_return,event_level,28,0.9089951273736927,0.7664820617590756,1.0,0.0,0.5047477676826517,2.752749146539351,1.8600072384676563
hold_12m_return,event_level,28,2.609798794774911,1.8242750268015533,1.0,0.0,0.7982026667040656,7.5120303308718785,1.44805609491738
hold_18m_return,event_level,19,3.3262933626707185,2.217964706727626,1.0,0.0,0.9011013405286403,13.037434129028082,1.1434462631414302
trail20_after_50pct_return,event_level,27,1.7093170499632537,1.1735219892123556,1.0,0.0,0.3097344684243115,6.015578054602121,1.1691497732426852
ma50_5d_after_50pct_return,event_level,25,1.3676159913693158,1.2121408568086385,1.0,0.0,0.27518290117981214,5.37711560741343,1.3880731881436728
ma200_after_50pct_return,event_level,20,3.2224757278156573,1.2876452567237968,1.0,0.0,0.15269409428585456,18.142335887099815,0.7287671958645929
