ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
CIEN,102.0,428.2200012207031,2026-06-18,43678.44012451172,386.5189814890984,0.05564363558638769
COHR,45.0,389.57000732421875,2026-06-18,17530.650329589844,278.4363514668233,0.02233296600683011
FIX,12.0,1967.4100341796875,2026-06-18,23608.92041015625,1866.2886962890625,0.030076306757885866
KEYS,19.0,363.6700134277344,2026-06-18,6909.730255126953,313.2699890136719,0.008802569670997837
LITE,39.0,850.0,2026-06-18,33150.0,327.1666774684961,0.04223105299618052
MRVL,306.0,310.5799865722656,2026-06-18,95037.47589111328,164.9499969482422,0.12107187574602815
MU,34.0,1133.989990234375,2026-06-18,38555.65966796875,469.9505980295294,0.04911752961510371
ON,325.0,121.62000274658203,2026-06-18,39526.50089263916,103.02999877929688,0.05035432138614241
PWR,42.0,702.25,2026-06-18,29494.5,742.2100219726562,0.0375741717223483
SNDK,59.0,2184.75,2026-06-18,128900.25,763.4664534229344,0.16421095894331578
STM,1130.0,78.38999938964844,2026-06-18,88580.69931030273,55.75,0.11284634108633863
TER,24.0,437.9200134277344,2026-06-18,10510.080322265625,217.42325500964,0.013389193335858631
WDC,151.0,746.22998046875,2026-06-18,112680.72705078125,337.80727870408043,0.14354828825730603
