ticker,target_weight,Name,sector,portfolio_sleeve_label
CASH,0.1920601608248339,Cash,Cash,
SNDK,0.12,SANDISK CORP,Information Technology,future_winner
WDC,0.1106071387206506,WESTERN DIGITAL CORP,Information Technology,future_winner
STM,0.106171191086661,STMicroelectronics,Semiconductors,early_scout
CIEN,0.0928057427573753,CIENA CORP,Information Technology,future_winner
MRVL,0.0854462736481042,MARVELL TECHNOLOGY INC,Information Technology,future_winner
LITE,0.0623014865292156,LUMENTUM HOLDINGS INC,Information Technology,future_winner
ON,0.0562927667532005,ON SEMICONDUCTOR CORP,Information Technology,future_winner
PWR,0.0528453142062116,QUANTA SERVICES INC,Industrials,future_winner
FIX,0.0399593540416363,COMFORT SYSTEMS USA INC,Industrials,future_winner
MU,0.0315017539352138,MICRON TECHNOLOGY INC,Information Technology,future_winner
COHR,0.0251941512770895,COHERENT CORP,Information Technology,future_winner
TER,0.0135173509523515,TERADYNE INC,Information Technology,unassigned
KEYS,0.0112973152674557,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner
