ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key
SNDK,SELL,15.0,2184.75,2179.288125,32771.25,81.92812500000001,32689.321875,59.0,0.16421095894331578,0.12,94196.08837032267,128900.25,-34704.16162967733,limit,day,target_rebalance,ready,149493.09070656667,r1k-M-20260618-S-SNDK-6aff673c86e4,6aff673c86e42b80824889b0c229902ab4e367ef9ff7125380b6e0bbdb748e6e
MRVL,SELL,90.0,310.5799865722656,309.80353660583495,27952.198791503906,69.88049697875977,27882.318294525146,306.0,0.12107187574602815,0.0852620036506741,66927.89358758059,95037.47589111328,-28109.58230353269,limit,day,target_rebalance,ready,177375.40900109182,r1k-M-20260618-S-MRVL-1222becc9d1c,1222becc9d1cf10b4d1eee8f9900d5bbe0c6fe1656f04da096f15fcfb1e843a7
WDC,SELL,34.0,746.22998046875,744.3644055175781,25371.8193359375,63.42954833984375,25308.389787597655,151.0,0.14354828825730603,0.1103767503060305,86642.15104879907,112680.72705078125,-26038.576001982176,limit,day,target_rebalance,ready,202683.79878868948,r1k-M-20260618-S-WDC-9bc18d5d3c27,9bc18d5d3c2791b59af3f0be127ca0fd3750e0f435662f42731bd27975bc0723
MU,SELL,12.0,1133.989990234375,1131.155015258789,13607.8798828125,34.01969970703125,13573.86018310547,34.0,0.04911752961510371,0.0314983467889042,24725.17548038908,38555.65966796875,-13830.48418757967,limit,day,target_rebalance,ready,216257.65897179494,r1k-M-20260618-S-MU-4d26756e64ea,4d26756e64eac3b9914afe72bf2207ab0baef5c013e549e9a7920710e917b52f
STM,SELL,66.0,78.38999938964844,78.19402439117432,5173.739959716797,12.934349899291993,5160.805609817505,1130.0,0.11284634108633863,0.1062470352186422,83400.45932116672,88580.69931030273,-5180.239989136011,limit,day,target_rebalance,ready,221418.46458161244,r1k-M-20260618-S-STM-22803128cb53,22803128cb53c7482ddde8f2324eb83ba6e0e99c9f87e248c2cf3dc830cf383d
CIEN,BUY,67.0,428.2200012207031,429.29055122375485,28690.74008178711,71.72685020446778,-28762.466931991577,102.0,0.05564363558638769,0.0926416949801767,72720.7107260767,43678.44012451172,29042.270601564975,limit,day,target_rebalance,ready,192655.99764962087,r1k-M-20260618-B-CIEN-10349c241abe,10349c241abeef0878217e5ead61668b5ec81f9c84a078849e49621b92b23808
LITE,BUY,19.0,850.0,852.125,16150.0,40.375,-16190.375,39.0,0.04223105299618052,0.063121621444509,49548.415263875206,33150.0,16398.415263875206,limit,day,target_rebalance,ready,176465.62264962087,r1k-M-20260618-B-LITE-b09077e93929,b09077e93929a74e39f25969a0dcdfb1ad1686129118f2b0c7f6e5f45c128e15
PWR,BUY,16.0,702.25,704.005625,11236.0,28.09,-11264.09,42.0,0.0375741717223483,0.0527095682414274,41375.29290025873,29494.5,11880.792900258733,limit,day,target_rebalance,ready,165201.53264962087,r1k-M-20260618-B-PWR-d8e6b1ec6931,d8e6b1ec693104588e688176497211c296cc656c20963b88b37a3d9565a4a558
FIX,BUY,3.0,1967.4100341796875,1972.3285592651366,5902.2301025390625,14.755575256347656,-5916.98567779541,12.0,0.030076306757885866,0.0397066788566912,31168.448587307557,23608.92041015625,7559.528177151307,limit,day,target_rebalance,ready,159284.54697182548,r1k-M-20260618-B-FIX-a12fa1e616c3,a12fa1e616c326fea4aca3327d133008baab981ac3edb13e4c0f375bae75ec63
ON,BUY,39.0,121.62000274658203,121.92405275344848,4743.180107116699,11.857950267791749,-4755.038057384491,325.0,0.05035432138614241,0.056486650620838,44340.17944686665,39526.50089263916,4813.678554227488,limit,day,target_rebalance,ready,154529.508914441,r1k-M-20260618-B-ON-7a8054055942,7a8054055942105e4cf8ceca0017a55221b434f29d65659fe8748823242e1bc1
COHR,BUY,5.0,389.57000732421875,390.5439323425293,1947.8500366210938,4.869625091552734,-1952.7196617126465,45.0,0.02233296600683011,0.0252241121663043,19800.105822334426,17530.650329589844,2269.4554927445824,limit,day,target_rebalance,ready,152576.78925272834,r1k-M-20260618-B-COHR-4e14a94c7442,4e14a94c74427c208e2a7d71938b78758a76eec8852e303a4aad0209c163633e
KEYS,BUY,5.0,363.6700134277344,364.5791884613037,1818.3500671386719,4.54587516784668,-1822.8959423065185,19.0,0.008802569670997837,0.0112506281917038,8831.376394728122,6909.730255126953,1921.6461396011691,limit,day,target_rebalance,ready,150753.89331042182,r1k-M-20260618-B-KEYS-ed18ee429f73,ed18ee429f732c49d2666624d9f3c22d49a674d4ffa3816d849da2aba3d6e386
