row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,45.0,2184.75,98313.75,0.12239454543416375
equity,WDC,119.0,746.22998046875,88801.36767578125,0.11055221706637464
equity,STM,1091.0,78.38999938964844,85523.48933410645,0.10647146102138827
equity,CIEN,173.0,428.2200012207031,74082.06021118164,0.09222758855576078
equity,MRVL,220.0,310.5799865722656,68327.59704589844,0.08506363739600463
equity,LITE,59.0,850.0,50150.0,0.062433651991947337
equity,ON,374.0,121.62000274658203,45485.88102722168,0.05662711199602549
equity,PWR,60.0,702.25,42135.0,0.05245547211726223
equity,FIX,16.0,1967.4100341796875,31478.560546875,0.039188863297926965
equity,MU,23.0,1133.989990234375,26081.769775390625,0.032470192173296684
equity,COHR,52.0,389.57000732421875,20257.640380859375,0.025219510861746633
equity,TER,24.0,437.9200134277344,10510.080322265625,0.013084400742726734
equity,KEYS,24.0,363.6700134277344,8728.080322265625,0.010865920825485455
cash,CASH,0.0,1.0,153377.43083181488,0.1909454265198904
