portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,863
concentrated,cash,cash_binding,824
concentrated,cap_or_replacement,cap_binding,311
concentrated,unknown_requires_investigation,unknown,14
main,candidate_gate,candidate_gate,787
main,cash,cash_binding,685
main,cap_or_replacement,cap_binding,338
