portfolio,ticker,sector,theme,subindustry,entry_signal_stack_count_max,candidate_rank_percentile_max,rs_3m_max,rs_6m_max,audit_forward_63d_excess_spy_max,audit_forward_126d_excess_spy_max,audit_forward_126d_excess_max,name_contribution_return_on_start,name_contribution_status,used_forward_return_in_ranking,policy_mutation_allowed,production_mutation_allowed,live_trading_enabled,evidence_sources,pit_signal_sources,outcome_selected_sources,source_dates,independent_source_count,pit_signal_source_count,outcome_selected_source_count,has_outcome_selected_source,fusion_review_score,fusion_review_candidate,policy_eligible,review_status
main,LITE,Information Technology,,,6.0,0.9041916167664672,0.2659815848144473,0.6407800168566478,0.13446731031669,0.1999488649195064,,0.2309513463724558,,False,False,False,False,drop_counterfactual_high_signal;drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_counterfactual_high_signal;drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_counterfactual_high_signal:2020-01-31;drop_still_pit_signal:2020-01-31;drop_still_pit_signal:2025-01-31;right_tail_entry_skill:2019-11-29,4,3,1,True,4.75,True,False,ready_for_manual_fusion_review
concentrated,LITE,Information Technology,,,6.0,0.906187624750499,0.4485058071496719,0.6407800168566478,0.0686378046223556,0.0236817340081008,,0.6146487723643821,,False,False,False,False,drop_counterfactual_high_signal;drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_counterfactual_high_signal;drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_counterfactual_high_signal:2019-12-31;drop_still_pit_signal:2019-12-31;right_tail_entry_skill:2019-11-29,4,3,1,True,4.75,True,False,ready_for_manual_fusion_review
main,MU,Information Technology,,,7.0,0.9915074309978767,0.4578643203076329,0.5483954347377908,-0.2110538246874043,-0.3089914848334568,,0.1784808071188067,,False,False,False,False,drop_counterfactual_high_signal;drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_counterfactual_high_signal;drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_counterfactual_high_signal:2021-03-31;drop_counterfactual_high_signal:2024-06-28;drop_still_pit_signal:2021-03-31;drop_still_pit_signal:2024-06-28;right_tail_entry_skill:2020-12-31,4,3,1,True,4.75,True,False,ready_for_manual_fusion_review
main,CIEN,Information Technology,,,6.0,0.8341968911917098,0.3797709695893552,0.2338175134991449,,,,0.4612472731229087,,False,False,False,False,drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_still_pit_signal:2022-02-28;drop_still_pit_signal:2025-01-31;right_tail_entry_skill:2021-12-31,3,2,1,True,3.5,True,False,ready_for_manual_fusion_review
concentrated,CIEN,Information Technology,,,7.0,0.7729468599033816,0.3498630666889921,0.7272822961537058,,,,0.8019240750670825,,False,False,False,False,drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_still_pit_signal:2025-01-31;right_tail_entry_skill:2024-12-31,3,2,1,True,3.5,True,False,ready_for_manual_fusion_review
concentrated,AIZ,,,,0.0,0.8265486725663717,0.0663146019394009,0.2810780728946018,-0.0087395199903697,-0.2008884157023801,,7.411338066336346e-05,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2023-12-29,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
main,ALB,,,,0.0,0.8496993987975952,0.1001054313343143,0.6265182936222224,0.0134693868279907,0.3913762218599577,,0.0862562022065663,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2021-02-26,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
concentrated,AMD,,,,0.0,0.986159169550173,0.1367672461982494,0.6111915564876582,0.4765396516918778,0.5473493167214165,,0.1844835168775922,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2020-06-30;drop_counterfactual_high_signal:2024-03-28,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
concentrated,ANET,,,,0.0,0.9379310344827586,0.0301058027996367,0.3466666968872685,-0.0956685631870208,0.0943128640407712,,0.0153511701006405,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2022-02-28,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
concentrated,AVGO,,,,0.0,0.9911032028469752,0.0908299943006993,0.3186829043653221,0.266313986915037,0.248644338043634,,0.2247213635770802,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2023-03-31,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
main,BKNG,,,,0.0,0.9984,0.265797476228661,0.2408526787826166,-0.0516060179709582,0.081485598520156,,0.006801888221029,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2024-11-29,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
main,BLD,,,,0.0,0.8974358974358975,0.2573187266619181,0.2702398744868846,-0.0136314953354133,-0.1489234964358861,,0.0278762558343063,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2024-02-29,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
main,CB,,,,0.0,0.9559633027522936,0.019636744747745,0.2500641485329553,-0.0662703954174355,-0.1416276969959764,,0.0011942782234993,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2023-01-31,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
