portfolio,subset,group_field,group_value,observations,completed_63d_count,completed_126d_count,avg_63d_excess_spy,avg_126d_excess_spy,positive_126d_count,positive_rate_126d_excess_spy,max_126d_excess_spy,min_126d_excess_spy,used_forward_return_in_ranking,segment_review_candidate,policy_eligible
concentrated,high_signal,candidate_portfolio_sleeve_label,unassigned,25,25,24,0.0713994870251882,0.1085869916127442,16,0.6666666666666666,0.9068093345049912,-0.6457464917059561,False,True,False
concentrated,high_signal,candidate_regime_state,bear,10,10,10,0.0092840939588005,0.0892673345947139,7,0.7,0.4242818639408674,-0.0750173031719323,False,True,False
main,high_signal,candidate_regime_state,bear,7,7,7,-0.0055038643091919,0.0650581890292088,5,0.7142857142857143,0.3452808956773827,-0.0750173031719323,False,True,False
concentrated,high_signal,candidate_industry_group,Biotechnology,5,5,4,0.1022784442716743,0.5992459143007192,3,0.75,1.2650250145441042,-0.0262090492802471,False,True,False
main,high_signal,candidate_sector,Utilities,5,5,5,0.1748138937398969,0.1995146945574693,4,0.8,0.4725566662573746,-0.0013898185852638,False,True,False
main,high_signal,candidate_industry_group,Utilities,5,5,5,0.1748138937398969,0.1995146945574693,4,0.8,0.4725566662573746,-0.0013898185852638,False,True,False
main,high_signal,candidate_industry_group,Consumer Finance,5,5,5,0.0172039224386612,0.0562430808321352,4,0.8,0.1115412714048005,-0.0158520831191995,False,True,False
main,high_signal,candidate_industry_group,Capital Goods - Machinery,4,4,4,0.0481512730201585,0.2995863295742917,3,0.75,0.9514141398346744,-0.2899428915652671,False,True,False
main,high_signal,candidate_industry_group,Aerospace & Defense,3,3,3,0.2315864856048281,0.4104311589360663,2,0.6666666666666666,1.1161656419121355,-0.023060432980912,False,True,False
main,high_signal,candidate_sector,Energy,3,3,3,0.184553633939033,0.2745088345848336,2,0.6666666666666666,0.5265607384851585,-0.0913484835494518,False,True,False
main,high_signal,candidate_industry_group,Oil Gas & Consumable Fuels,3,3,3,0.184553633939033,0.2745088345848336,2,0.6666666666666666,0.5265607384851585,-0.0913484835494518,False,True,False
concentrated,high_signal,candidate_industry_group,Capital Goods - Machinery,3,3,3,-0.1217221880539794,0.1956914563688191,3,1.0,0.376738634188706,0.0385518355237606,False,True,False
concentrated,high_signal,candidate_industry_group,Consumer Finance,3,3,3,-0.0142875435314748,0.0305466512603621,2,0.6666666666666666,0.0842388518509436,-0.0158520831191995,False,True,False
main,all_drops,candidate_regime_state,neutral,281,274,262,0.009898206371771,-0.006704684752993,122,0.465648854961832,1.1161656419121355,-0.7422686290784528,False,False,False
main,skill_signal,candidate_regime_state,neutral,231,226,215,-0.0019646717608772,-0.0127974107216936,97,0.4511627906976744,1.1161656419121355,-0.7422686290784528,False,False,False
main,all_drops,candidate_portfolio_sleeve_label,unassigned,229,228,223,0.0138179785329281,0.0096617785547796,110,0.4932735426008968,1.2210417240172782,-0.7394668651727438,False,False,False
main,all_drops,candidate_market_style_regime_label,quality_compounder,220,220,212,0.0121831794052302,0.0123055498290205,103,0.4858490566037736,1.0856892360443955,-0.7422686290784528,False,False,False
main,all_drops,candidate_market_style_regime_label,balanced,215,215,211,-0.0136432215200516,-0.0155213351114001,93,0.4407582938388625,1.2210417240172782,-0.7394668651727438,False,False,False
main,skill_signal,candidate_market_style_regime_label,balanced,179,179,176,-0.0110768403805652,-0.0002467244737841,79,0.4488636363636363,1.2210417240172782,-0.6457464917059561,False,False,False
main,skill_signal,candidate_market_style_regime_label,quality_compounder,174,174,166,0.0028848876509397,-0.0010975616600634,75,0.4518072289156626,1.0856892360443955,-0.7422686290784528,False,False,False
main,skill_signal,candidate_portfolio_sleeve_label,unassigned,163,163,159,0.0041060837403172,0.0050153990032285,73,0.4591194968553459,1.2210417240172782,-0.6457464917059561,False,False,False
main,all_drops,candidate_regime_state,bull,147,147,147,-0.0211143347874556,-0.0284149671715702,57,0.3877551020408163,1.2210417240172782,-0.7394668651727438,False,False,False
main,skill_signal,candidate_regime_state,bull,127,127,127,-0.0079491240309476,-0.0063475522020046,51,0.4015748031496063,1.2210417240172782,-0.5104335941512862,False,False,False
main,all_drops,candidate_sector,Information Technology,125,122,118,-0.0247291084626527,-0.0206325361106569,54,0.4576271186440678,1.0856892360443955,-0.6058437509702901,False,False,False
concentrated,all_drops,candidate_regime_state,neutral,120,119,115,0.0141133308890322,0.0021470466687624,48,0.417391304347826,1.2650250145441042,-0.6549570581642231,False,False,False
main,all_drops,candidate_portfolio_sleeve_label,future_winner,119,116,116,-0.0053359894050774,-0.0303911300306212,52,0.4482758620689655,0.656602114424587,-0.7422686290784528,False,False,False
main,all_drops,candidate_portfolio_sleeve_label,early_scout,117,116,112,-0.0018077419350716,0.0286108152016948,53,0.4732142857142857,1.1161656419121355,-0.4006320302351714,False,False,False
main,skill_signal,candidate_sector,Information Technology,107,104,100,-0.0271505483183548,-0.0224333886907634,43,0.43,1.0856892360443955,-0.6058437509702901,False,False,False
main,skill_signal,candidate_portfolio_sleeve_label,early_scout,103,102,98,-0.0050855704325578,0.0355151887193226,48,0.4897959183673469,1.1161656419121355,-0.4006320302351714,False,False,False
concentrated,skill_signal,candidate_regime_state,neutral,103,102,98,0.0164640349287841,0.0127089542622041,40,0.4081632653061224,1.2650250145441042,-0.6549570581642231,False,False,False
main,skill_signal,candidate_portfolio_sleeve_label,future_winner,102,100,100,-0.0168940746236026,-0.0424317348449899,42,0.42,0.656602114424587,-0.7422686290784528,False,False,False
concentrated,all_drops,candidate_market_style_regime_label,balanced,99,99,98,-0.0119755008791106,-0.0126756546528603,40,0.4081632653061224,0.9068093345049912,-0.7778870801828333,False,False,False
concentrated,all_drops,candidate_market_style_regime_label,quality_compounder,91,91,88,-0.0051588136079496,0.0180256252928885,40,0.4545454545454545,1.2650250145441042,-0.6549570581642231,False,False,False
concentrated,all_drops,candidate_portfolio_sleeve_label,unassigned,90,90,88,0.0246756605974014,0.0431077074564282,44,0.5,1.0856892360443955,-0.6457464917059561,False,False,False
main,all_drops,candidate_sector,Industrials,89,87,85,0.0336539450006202,0.0475044452738019,44,0.5176470588235295,1.1161656419121355,-0.7394668651727438,False,False,False
concentrated,skill_signal,candidate_market_style_regime_label,balanced,88,88,87,-0.0089511835563998,-0.0096695936744971,35,0.4022988505747126,0.9068093345049912,-0.7778870801828333,False,False,False
main,high_signal,candidate_regime_state,neutral,84,83,80,-0.0055378262425049,-0.0127674417174139,33,0.4125,1.1161656419121355,-0.7422686290784528,False,False,False
concentrated,skill_signal,candidate_market_style_regime_label,quality_compounder,76,76,73,0.0012015124559024,0.0272301495328452,32,0.4383561643835616,1.2650250145441042,-0.6549570581642231,False,False,False
main,high_signal,candidate_market_style_regime_label,balanced,73,73,72,0.0035376188944922,-0.0026464951262069,32,0.4444444444444444,1.1161656419121355,-0.6457464917059561,False,False,False
concentrated,skill_signal,candidate_portfolio_sleeve_label,unassigned,70,70,68,0.0305686457670845,0.058140935582402,34,0.5,1.0856892360443955,-0.6457464917059561,False,False,False
main,skill_signal,candidate_sector,Industrials,68,68,67,0.0002516549419693,0.0400941261069712,33,0.4925373134328358,1.1161656419121355,-0.5054012671349678,False,False,False
concentrated,all_drops,candidate_portfolio_sleeve_label,future_winner,65,64,63,-0.0345317916850142,-0.0367411942634744,22,0.3492063492063492,1.2650250145441042,-0.7778870801828333,False,False,False
