ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
BE,927.0,328.9100036621094,2026-06-18,304899.5733947754,290.5199890136719,0.23627035539735944
CIEN,213.0,428.2200012207031,2026-06-18,91210.86026000977,439.561390192674,0.07068039528487144
LITE,64.0,850.0,2026-06-18,54400.0,548.3013530975077,0.04215521586504325
SNDK,227.0,2184.75,2026-06-18,495938.25,1119.450046085576,0.3843085291265034
WDC,362.0,746.22998046875,2026-06-18,270135.2529296875,393.85607854339725,0.20933106433840135
