ticker,Name,Sector,Asset Class,Market Value
ALLY,ALLY FINANCIAL INC,Financials,Equity,"8,658,932.40"
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,"27,340,773.22"
ALSN,ALLISON TRANSMISSION HOLDINGS INC,Industrials,Equity,"7,793,993.31"
AM,ANTERO MIDSTREAM CORP,Energy,Equity,"5,100,691.96"
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"225,347,100.30"
AMCR,AMCOR PLC,Materials,Equity,"12,379,006.20"
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"377,907,028.64"
AME,AMETEK INC,Industrials,Equity,"37,640,729.93"
AMG,AFFILIATED MANAGERS GROUP INC,Financials,Equity,"5,686,198.14"
AMGN,AMGEN INC,Health Care,Equity,"128,426,794.68"
AMH,AMERICAN HOMES RENT REIT CLASS A,Real Estate,Equity,"7,172,525.10"
AMKR,AMKOR TECHNOLOGY INC,Information Technology,Equity,"6,580,452.40"
AMP,AMERIPRISE FINANCE INC,Financials,Equity,"31,471,859.60"
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"57,471,403.80"
AMTM,AMENTUM HOLDINGS INC,Industrials,Equity,"2,821,447.04"
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,"1,757,532,134.40"
AN,AUTONATION INC,Consumer Discretionary,Equity,"3,916,188.00"
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"124,895,185.32"
AON,AON PLC CLASS A,Financials,Equity,"47,614,115.46"
AOS,A O SMITH CORP,Industrials,Equity,"5,210,620.80"
APA,APA CORP,Energy,Equity,"9,423,305.01"
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,"47,181,560.92"
APG,API GROUP CORP,Industrials,Equity,"12,691,650.40"
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"127,109,198.72"
APLS,APELLIS PHARMACEUTICALS INC,Health Care,Equity,"2,962,323.00"
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Equity,"36,437,355.18"
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,"77,038,277.01"
APPF,APPFOLIO INC CLASS A,Information Technology,Equity,"2,596,156.50"
APTV,APTIV PLC,Consumer Discretionary,Equity,"9,082,283.65"
AR,ANTERO RESOURCES CORP,Energy,Equity,"7,690,893.15"
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,Equity,"5,448,338.16"
ARES,ARES MANAGEMENT CORP CLASS A,Financials,Equity,"14,717,791.64"
ARMK,ARAMARK,Consumer Discretionary,Equity,"8,347,034.40"
ARW,ARROW ELECTRONICS INC,Information Technology,Equity,"6,960,926.22"
AS,AMER SPORTS INC,Consumer Discretionary,Equity,"3,680,184.00"
ASH,ASHLAND INC,Materials,Equity,"1,795,335.50"
ASTS,AST SPACEMOBILE INC CLASS A,Communication,Equity,"11,886,020.80"
ATI,ATI INC,Industrials,Equity,"14,454,836.55"
ATO,ATMOS ENERGY CORP,Utilities,Equity,"20,785,541.98"
ATR,APTARGROUP INC,Materials,Equity,"5,786,099.97"
AU,ANGLOGOLD ASHANTI PLC,Materials,Equity,"34,778,724.42"
AUR,AURORA INNOVATION INC CLASS A,Information Technology,Equity,"4,088,470.62"
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,Equity,"17,269,928.04"
AVGO,BROADCOM INC,Information Technology,Equity,"1,355,169,154.20"
AVT,AVNET INC,Information Technology,Equity,"4,439,563.80"
AVTR,AVANTOR INC,Health Care,Equity,"3,665,825.41"
AVY,AVERY DENNISON CORP,Materials,Equity,"8,942,410.94"
AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,Equity,"5,323,556.48"
AWK,AMERICAN WATER WORKS INC,Utilities,Equity,"17,928,085.60"
AXON,AXON ENTERPRISE INC,Industrials,Equity,"21,311,101.65"
AXP,AMERICAN EXPRESS,Financials,Equity,"120,653,200.92"
AXS,AXIS CAPITAL HOLDINGS LTD,Financials,Equity,"5,539,622.19"
AXTA,AXALTA COATING SYSTEMS LTD,Materials,Equity,"4,469,798.97"
AYI,ACUITY INC,Industrials,Equity,"6,294,328.95"
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"41,660,630.70"
BA,BOEING,Industrials,Equity,"122,686,328.16"
BAC,BANK OF AMERICA CORP,Financials,Equity,"242,530,355.45"
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,Equity,"6,433,940.74"
BALL,BALL CORP,Materials,Equity,"11,622,048.49"
BAM,BROOKFIELD ASSET MANAGEMENT VOTING,Financials,Equity,"12,512,726.80"
BAX,BAXTER INTERNATIONAL INC,Health Care,Equity,"6,589,114.89"
BBWI,BATH AND BODY WORKS INC,Consumer Discretionary,Equity,"2,861,546.13"
BBY,BEST BUY INC,Consumer Discretionary,Equity,"7,983,313.38"
BC,BRUNSWICK CORP,Consumer Discretionary,Equity,"3,582,488.25"
BDX,BECTON DICKINSON,Health Care,Equity,"30,193,919.56"
BEN,FRANKLIN RESOURCES INC,Financials,Equity,"5,182,112.34"
BEPC,BROOKFIELD RENEWABLE SUBORDINATE V,Utilities,Equity,"3,807,792.77"
BFA,BROWN FORMAN CORP CLASS A,Consumer Staples,Equity,"967,496.72"
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Consumer Discretionary,Equity,"3,233,138.40"
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,Equity,"2,838,486.79"
BG,BUNGE GLOBAL SA,Consumer Staples,Equity,"11,515,501.48"
BHF,BRIGHTHOUSE FINANCIAL INC,Financials,Equity,"2,540,321.70"
BIIB,BIOGEN INC,Health Care,Equity,"18,518,313.66"
BILL,BILL HOLDINGS INC,Information Technology,Equity,"2,112,825.85"
BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,Equity,"3,859,741.15"
BIRK,BIRKENSTOCK HOLDING PLC,Consumer Discretionary,Equity,"1,461,204.57"
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples,Equity,"8,613,968.37"
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,"64,860,125.33"
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"101,247,644.40"
BKR,BAKER HUGHES CLASS A,Energy,Equity,"47,521,433.18"
BLD,TOPBUILD CORP,Consumer Discretionary,Equity,"8,835,359.60"
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Equity,"6,794,478.60"
BLK,BLACKROCK INC,Financials,Equity,"112,908,581.24"
BLSH,BULLISH,Financials,Equity,"898,743.18"
BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care,Equity,"7,052,490.38"
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"82,666,134.90"
BOKF,BOK FINANCIAL CORP,Financials,Equity,"2,101,682.70"
BPOP,POPULAR INC,Financials,Equity,"6,802,300.44"
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,Equity,"12,743,965.44"
