status,split,rows,crisis_gate,liquidity_gate,trend_gate,tp,fp,fn,tn,precision,recall,signal_rate,false_positive_rate,whipsaw_rate,score
ok,train,830,0.35,0.2,0.2,9,95,80,646,0.08653846153846154,0.10112359550561797,0.12530120481927712,0.1282051282051282,0.36538461538461536,-0.12366131336061617
ok,validation,369,0.35,0.2,0.2,0,27,6,336,0.0,0.0,0.07317073170731707,0.0743801652892562,1.0,-0.4239568635355775
ok,test,277,0.35,0.2,0.2,0,0,1,276,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,370,0.35,0.2,0.2,0,19,32,319,0.0,0.0,0.051351351351351354,0.05621301775147929,0.6842105263157895,-0.2939851187219608
ok,train,830,0.35,0.2,0.35,7,95,82,646,0.06862745098039216,0.07865168539325842,0.12289156626506025,0.1282051282051282,0.37254901960784315,-0.15406624515245385
ok,validation,369,0.35,0.2,0.35,0,18,6,345,0.0,0.0,0.04878048780487805,0.049586776859504134,1.0,-0.39930457569038497
ok,test,277,0.35,0.2,0.35,0,0,1,276,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,370,0.35,0.2,0.35,0,19,32,319,0.0,0.0,0.051351351351351354,0.05621301775147929,0.6842105263157895,-0.2939851187219608
ok,train,830,0.35,0.2,0.5,6,95,83,646,0.0594059405940594,0.06741573033707865,0.1216867469879518,0.1282051282051282,0.37623762376237624,-0.1693990535509487
ok,validation,369,0.35,0.2,0.5,0,18,6,345,0.0,0.0,0.04878048780487805,0.049586776859504134,1.0,-0.39930457569038497
ok,test,277,0.35,0.2,0.5,0,0,1,276,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,370,0.35,0.2,0.5,0,18,32,320,0.0,0.0,0.04864864864864865,0.05325443786982249,0.6666666666666666,-0.28497574497574496
ok,train,830,0.35,0.35,0.2,0,45,89,696,0.0,0.0,0.05421686746987952,0.06072874493927125,0.4222222222222222,-0.2062273656027619
ok,validation,369,0.35,0.35,0.2,0,15,6,348,0.0,0.0,0.04065040650406504,0.04132231404958678,1.0,-0.39108714640865416
ok,test,277,0.35,0.35,0.2,0,0,1,276,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,370,0.35,0.35,0.2,0,0,32,338,0.0,0.0,0.0,0.0,0.0,0.0
ok,train,830,0.35,0.35,0.35,0,45,89,696,0.0,0.0,0.05421686746987952,0.06072874493927125,0.4222222222222222,-0.2062273656027619
ok,validation,369,0.35,0.35,0.35,0,6,6,357,0.0,0.0,0.016260162601626018,0.01652892561983471,1.0,-0.36643485856346164
ok,test,277,0.35,0.35,0.35,0,0,1,276,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,370,0.35,0.35,0.35,0,0,32,338,0.0,0.0,0.0,0.0,0.0,0.0
ok,train,830,0.35,0.35,0.5,0,45,89,696,0.0,0.0,0.05421686746987952,0.06072874493927125,0.4222222222222222,-0.2062273656027619
ok,validation,369,0.35,0.35,0.5,0,6,6,357,0.0,0.0,0.016260162601626018,0.01652892561983471,1.0,-0.36643485856346164
ok,test,277,0.35,0.35,0.5,0,0,1,276,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,370,0.35,0.35,0.5,0,0,32,338,0.0,0.0,0.0,0.0,0.0,0.0
ok,train,830,0.35,0.5,0.2,0,0,89,741,0.0,0.0,0.0,0.0,0.0,0.0
ok,validation,369,0.35,0.5,0.2,0,2,6,361,0.0,0.0,0.005420054200542005,0.005509641873278237,1.0,-0.3554782861878205
ok,test,277,0.35,0.5,0.2,0,0,1,276,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,370,0.35,0.5,0.2,0,0,32,338,0.0,0.0,0.0,0.0,0.0,0.0
ok,train,830,0.35,0.5,0.35,0,0,89,741,0.0,0.0,0.0,0.0,0.0,0.0
ok,validation,369,0.35,0.5,0.35,0,0,6,363,0.0,0.0,0.0,0.0,0.0,0.0
ok,test,277,0.35,0.5,0.35,0,0,1,276,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,370,0.35,0.5,0.35,0,0,32,338,0.0,0.0,0.0,0.0,0.0,0.0
