portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,875
concentrated,cash,cash_binding,815
concentrated,cap_or_replacement,cap_binding,313
concentrated,unknown_requires_investigation,unknown,16
main,candidate_gate,candidate_gate,800
main,cash,cash_binding,677
main,cap_or_replacement,cap_binding,339
