ticker,event_date,prior_peak_date,event_price,prior_peak_price,drawdown_from_peak,days_since_peak,label,label_reason,recovery_3m,recovery_6m,half_recovery_3m,half_recovery_6m,lower_low_after_half_recovery_6m,fast_drop_flag,high_volume_panic_flag,v_recovery_days,forward_1m_return,forward_3m_return,forward_6m_return,max_forward_3m_return,max_forward_6m_return,max_dd_next_3m,max_dd_next_6m,mom_1m,mom_3m,mom_6m,rs_vs_spy_3m,rs_vs_spy_6m,price_vs_sma50,price_vs_sma200,volume_surge,distribution_risk_score,breakdown_risk_score,shakeout_quality_score
AMGN,2017-05-10,2017-03-15,122.3752212524414,139.21697998046875,-0.12097488920094468,56,AMBIGUOUS,mixed_forward_evidence,1,1,1,1,0,0,0,70,0.0295063611423092,0.08905798734598247,0.09596049617315239,0.13618464878196423,0.20664328132885568,-0.04921006288176233,-0.10575888335311512,-0.014005880324395203,-0.03868083468816308,0.1688002661722523,-0.08960399982003109,0.03188469903583169,-0.04200952677018843,-0.002285167244977515,0.8424287325588719,0.45454545454545453,0.0,0.6
PWR,2017-05-10,2017-02-21,33.02016067504883,37.72751235961914,-0.12477238466453278,78,AMBIGUOUS,mixed_forward_evidence,0,1,1,1,0,0,0,159,-0.028512239492506808,0.08939691454646037,0.0754381017548793,0.08939691454646037,0.1303831071886592,-0.08939703007276889,-0.08939703007276889,-0.05949740042759222,-0.06911791448890914,0.17603917378438383,-0.12004107962077715,0.039123606647963216,-0.06792749149507926,0.04743644433896921,1.0301296016298587,0.45454545454545453,0.15,0.6
SPG,2017-05-11,2017-02-27,100.26943969726562,115.4852066040039,-0.13175511699011622,73,DISTRIBUTION,slow_stair_step_lower_with_weak_relative_strength,0,0,0,0,0,0,0,-1,-0.0015140936484308032,0.007299059023401666,-0.007309711473815206,0.03992789508492889,0.05634963655360958,-0.06804668231154731,-0.07247167993988657,-0.06674333907287555,-0.1024184849457136,-0.10046270759402931,-0.1450093085615397,-0.2299686630599277,-0.047679342123125745,-0.13021055386583136,1.0711866495104456,0.6090909090909091,0.67,0.2545454545454546
CIEN,2017-05-17,2017-03-01,23.030000686645508,26.40999984741211,-0.12798179402859045,77,DISTRIBUTION,half_recovery_failed_then_lower_low,1,1,1,1,1,0,0,15,0.1042118778538279,0.04732957534039306,-0.1467651310177862,0.19409462353800655,0.19409462353800655,-0.12763637195933952,-0.28836364746093746,0.03879118662120118,-0.0922349261009563,0.023555586073133572,-0.10043301513943148,-0.07641177934780496,0.0008344198515342072,0.01293774791438329,0.7791284978065752,0.6545454545454544,0.35,0.5090909090909091
EME,2017-05-17,2016-12-08,60.802799224853516,70.39960479736328,-0.1363190262236984,160,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,0,1,1,1,0,0,0,162,0.03829660528277379,0.028749447349218027,0.24304368963621448,0.0931848112523872,0.29879229609672175,-0.05894279104495603,-0.09110716771969374,0.025419505146980104,-0.10179554232954358,-0.09958243997278027,-0.10999363136801876,-0.1995498053937188,-0.007156616088670353,-0.010393934528624915,0.7035594039602641,0.4727272727272727,0.27,0.6181818181818182
GE,2017-05-17,2016-12-20,120.48688507080078,139.58995056152344,-0.13685129490967973,148,TRUE_BREAKDOWN,continued_lower_or_forward_loss_after_drawdown,0,0,0,0,0,0,0,-1,0.06693315675958456,-0.07655110284612454,-0.33486467621852634,0.06693315675958456,0.06693315675958456,-0.1344828949186373,-0.37659138291139393,-0.08143463984694743,-0.08966636361519276,-0.08762493087479861,-0.09786445265366794,-0.18759229629573715,-0.06945316556431824,-0.0826948161296498,1.1576604253006113,0.6090909090909091,0.49,0.2545454545454546
GS,2017-05-17,2017-03-03,176.4151611328125,208.74807739257812,-0.15488964815210893,75,AMBIGUOUS,mixed_forward_evidence,0,1,1,1,0,0,0,169,0.04134767813018736,0.05918785587807296,0.11759173342245632,0.09350636904551846,0.1630040935708934,-0.05303794491517122,-0.07016487560887286,-0.008674313259954158,-0.1447333000593206,0.02754903447286572,-0.1529313890977958,-0.07241833094807282,-0.06870892103894632,0.01964544320507744,0.8294840546619873,0.3818181818181818,0.15,0.6
MTZ,2017-05-17,2017-05-05,41.099998474121094,47.150001525878906,-0.12831395240649546,12,DISTRIBUTION,half_recovery_failed_then_lower_low,1,1,1,1,1,1,0,68,0.08637477332251242,-0.05717758056854394,0.0012166193093485766,0.13990268159305486,0.14111930090240343,-0.17289218223977865,-0.17289218223977865,-0.029515939670312852,0.04846932842353269,0.11989094331640637,0.0402712393850575,0.019923577895467837,-0.009519254134503496,0.15291232223471996,1.0758633506488056,0.4363636363636363,0.0,0.7272727272727273
NEM,2017-05-18,2017-02-06,26.2243709564209,29.824241638183594,-0.12070284050923952,101,AMBIGUOUS,mixed_forward_evidence,1,1,1,1,0,0,0,74,-0.01144829382935919,0.08385931233577582,0.08688648723267667,0.11753215095973757,0.1905914289951438,-0.10194282467639737,-0.10194282467639737,-0.006264905622030081,-0.11204332058339961,-0.014732303965084736,-0.1251654015274576,-0.11058024384092746,-0.00635380791567941,-0.06883099637734436,0.951640989841606,0.45454545454545453,0.15,0.5272727272727273
COP,2017-05-25,2016-12-13,34.10011672973633,39.412689208984375,-0.13479345322209102,163,AMBIGUOUS,mixed_forward_evidence,0,1,0,1,0,0,0,152,-0.018202084517964345,-0.03297643476034218,0.12756785019947658,0.03285237362292426,0.20502898432858374,-0.08103315858341331,-0.08103315858341331,-0.0628430413183354,-0.036944173701115246,-0.011407069914945223,-0.06259151420280895,-0.11868296219562369,-0.04504429682154876,-0.01726182958576572,1.0576270977087707,0.2727272727272727,0.0,0.5454545454545454
