label,horizon,action,n,avg_return,median_return,hit_rate,worst_return,best_return
AMBIGUOUS,1m,add25,345,0.017139716089302516,0.0013641506890293975,0.5014492753623189,-0.26597306514784436,0.7587235714869702
AMBIGUOUS,1m,exit_to_cash,345,0.0,0.0,0.0,0.0,0.0
AMBIGUOUS,1m,hold,345,0.013711772871442011,0.001091320551223518,0.5014492753623189,-0.2127784521182755,0.6069788571895762
AMBIGUOUS,1m,label_oracle,345,0.0068558864357210056,0.000545660275611759,0.5014492753623189,-0.10638922605913775,0.3034894285947881
AMBIGUOUS,1m,trim50,345,0.0068558864357210056,0.000545660275611759,0.5014492753623189,-0.10638922605913775,0.3034894285947881
AMBIGUOUS,3m,add25,345,0.07474739125132347,0.07398436818187054,0.6840579710144927,-0.3250323955113992,1.0247932724854683
AMBIGUOUS,3m,exit_to_cash,345,0.0,0.0,0.0,0.0,0.0
AMBIGUOUS,3m,hold,345,0.05979791300105877,0.05918749454549643,0.6840579710144927,-0.2600259164091193,0.8198346179883746
AMBIGUOUS,3m,label_oracle,345,0.029898956500529386,0.029593747272748216,0.6840579710144927,-0.13001295820455966,0.4099173089941873
AMBIGUOUS,3m,trim50,345,0.029898956500529386,0.029593747272748216,0.6840579710144927,-0.13001295820455966,0.4099173089941873
AMBIGUOUS,6m,add25,345,0.11239609377817197,0.12520466015285753,0.8492753623188406,-0.12402527253186149,0.2686657201944012
AMBIGUOUS,6m,exit_to_cash,345,0.0,0.0,0.0,0.0,0.0
AMBIGUOUS,6m,hold,345,0.08991687502253759,0.10016372812228602,0.8492753623188406,-0.09922021802548919,0.21493257615552097
AMBIGUOUS,6m,label_oracle,345,0.044958437511268795,0.05008186406114301,0.8492753623188406,-0.049610109012744597,0.10746628807776049
AMBIGUOUS,6m,trim50,345,0.044958437511268795,0.05008186406114301,0.8492753623188406,-0.049610109012744597,0.10746628807776049
DISTRIBUTION,1m,add25,442,0.03282785915791183,0.02843635771223027,0.6199095022624435,-0.38740005114245496,0.5268171937584876
DISTRIBUTION,1m,exit_to_cash,442,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,1m,hold,442,0.026262287326329462,0.022749086169784216,0.6199095022624435,-0.30992004091396397,0.42145375500679005
DISTRIBUTION,1m,label_oracle,442,0.0,0.0,0.0,0.0,0.0
DISTRIBUTION,1m,trim50,442,0.013131143663164731,0.011374543084892108,0.6199095022624435,-0.15496002045698198,0.21072687750339503
DISTRIBUTION,3m,add25,442,0.010055703839692528,0.009933801196557734,0.5361990950226244,-0.7517300462378845,0.9476259291277389
