start_date,end_date,months,cagr,sharpe,max_dd,ending_equity
2019-05-31,2022-04-29,36,0.31531918283626803,1.878621544535231,-0.07803926435132924,2.2755870937601133
2019-06-28,2022-05-31,36,0.26906196514494773,1.59539590059962,-0.11045621259771765,2.043847482376246
2019-07-31,2022-06-30,36,0.26941829274790385,1.5970631126870833,-0.11045621259771787,2.0455695821629187
2019-08-30,2022-07-29,36,0.26498885687540263,1.5784751987540373,-0.11045621259771776,2.0242311309515446
2019-09-30,2022-08-31,36,0.257434828512481,1.5287239348374422,-0.11045621259771787,1.9881834571561419
2019-10-31,2022-09-30,36,0.2831878223541695,1.64362405190306,-0.11045621259771776,2.112859839722167
2019-11-29,2022-10-31,36,0.28826469155997536,1.672807097808704,-0.11045621259771787,2.138037468162467
2019-12-31,2022-11-30,36,0.24424899587671822,1.4147691990797313,-0.11045621259771743,1.9262910056447249
2020-01-31,2022-12-30,36,0.2617566383196428,1.482619459284511,-0.11045621259771776,2.008754186650934
2020-02-28,2023-01-31,36,0.2904414906512376,1.6367252225859932,-0.11045621259771776,2.1488938081813878
2020-03-31,2023-02-28,36,0.3118577616665017,1.7846968050930097,-0.11045621259771765,2.2576688843234534
2020-04-30,2023-03-31,36,0.2634733326447385,1.5305247382335863,-0.11045621259771754,2.0169644326927023
2020-05-29,2023-04-28,36,0.23341767623094767,1.3957229043773025,-0.11045621259771765,1.876421948114531
2020-06-30,2023-05-31,36,0.2472948380253719,1.4466927143813482,-0.11045621259771776,1.9404719755777307
2020-07-31,2023-06-30,36,0.20948335529709294,1.2957483628702227,-0.11045621259771765,1.7692927102594669
2020-08-31,2023-07-31,36,0.15403657350170552,1.0918600540868786,-0.11045621259771765,1.5369463851830845
2020-09-30,2023-08-31,36,0.1420326636259479,0.9962610764620367,-0.11045621259771776,1.4894830878304894
2020-10-30,2023-09-29,36,0.13289747444136712,0.9397453207369806,-0.11045621259771765,1.4540248399319695
2020-11-30,2023-10-31,36,0.12106917526595229,0.8809799885318993,-0.11045621259771743,1.4089553625191622
2020-12-31,2023-11-30,36,0.11338852071790373,0.8351465947671521,-0.11045621259771765,1.3801942633387723
2021-01-29,2023-12-29,36,0.10710043909680822,0.7980300146416693,-0.11045621259771776,1.3569413254755356
2021-02-26,2024-01-31,36,0.11986995903109188,0.8674106341528934,-0.11045621259771754,1.4044386866434018
2021-03-31,2024-02-29,36,0.1496896993074044,1.0504846416546993,-0.11045621259771765,1.5196442141607425
2021-04-30,2024-03-28,36,0.1273713568437047,0.9124274857618384,-0.11045621259771754,1.4328508626006922
2021-05-28,2024-04-30,36,0.13619676673643855,0.9680418979678737,-0.11045621259771776,1.466765368014582
2021-06-30,2024-05-31,36,0.12862977471354764,0.9145883519265812,-0.11045621259771765,1.437654440206333
2021-07-30,2024-06-28,36,0.09980572797989762,0.7662683032584994,-0.11045621259771754,1.3302949171070346
2021-08-31,2024-07-31,36,0.07802974683865171,0.6487063719994115,-0.11045621259771787,1.2528302598374537
2021-09-30,2024-08-30,36,0.10340194348495957,0.8453746309511276,-0.11045621259771776,1.343387285846109
2021-10-29,2024-09-30,36,0.09641575891623266,0.8104371320541356,-0.11045621259771765,1.3180315532076368
2021-11-30,2024-10-31,36,0.16177684620077626,0.9838626324181825,-0.11045621259771787,1.5680797653479475
2021-12-31,2024-11-29,36,0.15108181964830392,0.920237302868843,-0.10730032219595564,1.5251711583721788
2022-01-31,2024-12-31,36,0.191356292828059,1.1419186110734239,-0.08840032467827386,1.6909275084393254
2022-02-28,2025-01-31,36,0.17397902641694496,1.0435293409696524,-0.08840032467827386,1.6180093033908114
2022-03-31,2025-02-28,36,0.15396137608474803,0.9267549308412445,-0.08840032467827386,1.5366459609068062
2022-04-29,2025-03-31,36,0.18425236438508952,1.1070275471129407,-0.06360554976248756,1.6608590658173494
2022-05-31,2025-04-30,36,0.19555003488300282,1.1592200923687983,-0.06360554976248756,1.708847350457873
2022-06-30,2025-05-30,36,0.2229645127142479,1.3315862959989384,-0.06360554976248756,1.8291173335332094
2022-07-29,2025-06-30,36,0.21380606079508335,1.284582621906611,-0.06360554976248756,1.7883310005037738
2022-08-31,2025-07-31,36,0.2210838171404148,1.3149574551411525,-0.06360554976248756,1.8206917608226096
2022-09-30,2025-08-29,36,0.27436765753936987,1.527315279170425,-0.06360554976248756,2.069589549062445
2022-10-31,2025-09-30,36,0.2737800727404702,1.5255291473443593,-0.06360554976248756,2.0667281328817912
2022-11-30,2025-10-31,36,0.2698856386250308,1.5047954991919263,-0.06360554976248756,2.0478296894426173
2022-12-30,2025-11-28,36,0.3007977209434476,1.7015696001590905,-0.06360554976248756,2.2010469274898603
2023-01-31,2025-12-31,36,0.29739860115158945,1.6917626136952533,-0.06360554976248756,2.1838372826104515
2023-02-28,2026-01-30,36,0.30968502163694955,1.7316923984936323,-0.06360554976248767,2.246469786762939
2023-03-31,2026-02-27,36,0.28465377854098706,1.5630664736454847,-0.06360554976248767,2.1201095184686696
2023-04-28,2026-03-31,36,0.3225172851393183,1.7733864271569493,-0.06360554976248756,2.3131514622604987
