ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
AMD,-10253.460613250732,-0.10248819116694473
PENN,-7279.479676246643,-0.07276184429780783
NOW,-7005.095748901367,-0.07001924709481488
STM,-6008.0246295928955,-0.06005304940438178
PCTY,-5490.659820556641,-0.054881743300856704
FTNT,-5285.768050193787,-0.052833753093302335
PAYC,-5013.377975463867,-0.05011108539076871
QRVO,-4762.779937744141,-0.04760623941099389
TSLA,-4477.513088226318,-0.04475486225066309
SHOP,-4457.235000610352,-0.04455217316855948
DXCM,-3956.5797271728516,-0.03954788678094796
SE,-2659.8002014160156,-0.026585961734355252
RNG,-2108.408477783203,-0.021074540516574352
PODD,-463.5,-0.004632901846279055
MA,-456.3326110839846,-0.004561260402175478
UI,-429.02293395996094,-0.004288287255316418
