factor,ic_mean,ic_std,ic_ir,n_months
y_blend,0.5185005744214572,0.1333258558579019,3.888972114188801,83
y_bin,0.29678528471794563,0.07628081893994869,3.890692967581499,83
future_winner_y,0.20977447613640085,0.10365705994446586,2.023735344330949,72
future_winner_bin,0.12669802507300776,0.0832925966224048,1.5211197033054238,72
tenbagger_hit,0.06706463709722559,0.06637318116483695,1.0104175484145614,69
z_cat_ret,0.046196300296400865,0.166476439907824,0.27749450641204326,83
pred_cat_ret,0.045600712010326463,0.16742630673895204,0.2723628692222038,83
score_future_winner_model,0.04344767559794685,0.16797855942321407,0.25865011082742634,83
score_cat,0.043340388116783826,0.17392761072459348,0.24918634507978105,83
pred_future_winner_ret,0.03838400921841663,0.15243258387620615,0.2518097228574955,83
pred_future_winner_p,0.033816738510483405,0.17934357012879087,0.18855839995052404,83
pred_cat_p,0.030454837072998273,0.17757915329122506,0.1715000595146017,83
z_cat_p,0.030454658615863085,0.1776027874524762,0.17147623265344278,83
fcf_growth_yoy,0.02987526051045247,0.13437298595569666,0.2223308358794238,77
vol_252d,0.028306231250692242,0.22277134988780214,0.1270640501765961,83
eps_ttm,0.026907805967867588,0.12098536180508848,0.22240544924073113,59
ep_ttm,0.02615180966985486,0.13947967555064225,0.1874954733846146,83
fcfy_ttm,0.024553754464332653,0.16297868065009027,0.15065622607711784,83
forward_ps_final,0.02423696619241668,0.14985351628896765,0.16173771010019286,83
sage_composite_score,0.02194034283272956,0.09305077539334239,0.23578890538090344,83
sp_ttm,0.02177132560992095,0.15531678441018648,0.14017367337896253,83
fcf_cagr_best,0.020465094861646882,0.11715907393133163,0.174677832694917,83
net_income_cagr_5y,0.01966575957456869,0.09031212223267317,0.2177532418778836,83
focus_live_event_growth_score,0.01920364262588991,0.17077934460902974,0.11244709683938893,79
fcf_cagr_3y,0.019016779184470377,0.11647076720415939,0.16327511192903119,83
eps_cagr_5y,0.018718805636917798,0.09128224683795123,0.20506510558945037,83
net_income,0.01812138988212807,0.09051203996551103,0.2002096946100889,83
focus_growth_regime_score,0.01782236755671818,0.17051377666962217,0.10452156335751189,77
val_residual_ep,0.01762420529885738,0.07162034883454363,0.24607814852718873,70
ocf_cagr_3y,0.017419072910450143,0.11305349357143119,0.15407813433613898,83
score_anticipatory_growth,0.017273769160144656,0.1363145216121216,0.12671993921599337,83
val_residual_sp,0.017172622288506873,0.08241462568389445,0.20836860038274446,70
ocf_cagr_best,0.017138701880312322,0.11644174419568748,0.14718690901469664,83
score_strategy_blueprint,0.016646986294240124,0.11607330359217338,0.14341786048022845,83
strategy_blueprint_score,0.016646986294240124,0.11607330359217338,0.14341786048022845,83
growth_blueprint_score,0.01631247577008732,0.08148540198007259,0.20018890956919463,83
archetype_emerging_growth_score,0.016271325833263215,0.1586353232706481,0.10257062848352119,83
return_on_equity_effective,0.015883468184458075,0.08041437841200719,0.19752022614508144,83
roe_proxy,0.015883468184458075,0.08041437841200719,0.19752022614508144,83
earn_gap_1d,0.015798946822537352,0.0669357313817608,0.23603155050497998,83
cost_of_revenue,0.015623347407918564,0.13715203170835846,0.11391261269839653,83
industry_group_strength_score,0.015503840263865195,0.13684868346793921,0.11329183984863854,83
roa_proxy,0.015482634935090396,0.08348951818552416,0.1854440343786115,83
anticipatory_growth_score,0.015034697310186985,0.14441301801429754,0.10410900953270284,83
sage_v_score,0.014985910403094774,0.08243239152762898,0.1817963582933093,83
revision_blueprint_score,0.014791356673503665,0.05420622309177814,0.2728718789306018,83
multidimensional_confirmation_score,0.014511453926264854,0.1014910358573046,0.1429826030827174,83
event_revision_pillar_score,0.014396927859869308,0.07747600477968576,0.18582432125360412,83
asset_turnover_ttm,0.01439075184671538,0.08265660521496168,0.1741028447546508,83
selection_market_confirmation_score,0.014372193922626121,0.08311619051487878,0.1729168782210314,83
ocf_cagr_5y,0.014262891096456636,0.12297639514501249,0.11598071255732337,83
future_winner_scout_score,0.014169577300183638,0.14603527612268014,0.0970284489207641,83
profitability_inflection_score,0.013914097325682996,0.11956393867859716,0.11637368520745187,83
macro_momentum_regime_interaction,0.013761033048289522,0.1812640777171827,0.07591704027860265,83
within_sector_leader_score,0.013658690179778388,0.14321320145601607,0.09537311565681406,83
sector_adjusted_quality_score,0.013618742769941836,0.07639835307569494,0.17825961475703983,83
capital_efficiency_score,0.013498487434519242,0.06290785226705747,0.21457552280532513,83
score_multidimensional_confirmation,0.013297251270504231,0.10079783442377432,0.13191999637015972,83
score_market_fallback_confirmation,0.013228123971020436,0.11796751309390421,0.11213360782772915,83
macro_energy_oil_interaction,0.013145355691004897,0.1107244824489108,0.11872130005084715,81
multidimensional_breadth_score,0.013134438843067697,0.10077271430675,0.13033724088957593,83
score_linear,0.012780588962879681,0.1581977398970013,0.0807886899225862,83
ocf_cagr_1y,0.012483665136758438,0.100145273998968,0.12465554680425174,83
revenues_ttm,0.012319694146793047,0.11668516622714188,0.10558062767811453,83
fcf_cagr_5y,0.01187210366958075,0.1282748120888189,0.09255209616553102,83
archetype_alignment_score,0.011815414981130179,0.09758715495764692,0.12107550195005767,83
score_archetype_mixture,0.011815414981130179,0.09758715495764692,0.12107550195005767,83
