factor,ic_mean,ic_std,ic_ir,n_months
compounder_pillar_score,0.011809368121136737,0.09742535772009306,0.12121450909033794,83
risk_penalty,0.011736051633861362,0.16043081839339124,0.07315334435027336,83
sage_c_score,0.011552990922112072,0.17384989900812617,0.06645382208150628,83
benchmark_beating_focus_score,0.011525321944369534,0.15824833893490264,0.07283059837237615,83
score_focus_bonus_raw,0.011524373458528707,0.15825483237809557,0.07282161661123251,83
moat_proxy_score,0.011523407852277378,0.0865308718077587,0.13317104381159958,83
sage_q_score,0.01148277130645041,0.05817682248832691,0.19737704538579698,83
score_future_winner_scout,0.011482236592336565,0.1079765080237151,0.10634012656172798,83
score_total,0.01147102600639672,0.15860581636291365,0.07232411487929398,83
score,0.01147102600639672,0.15860581636291365,0.07232411487929398,83
z_lin_ret,0.0113834390686642,0.13956566846464283,0.08156331265604135,83
pred_lin_ret,0.011382435922332656,0.13956037709227234,0.08155921719253327,83
fundamental_pillar_score,0.011296272601473584,0.05887721818374928,0.19186148787811771,83
score_focus_bonus,0.011289835317763761,0.15763539698335316,0.0716199205103458,83
op_income_cagr_1y,0.011085200852758685,0.10426896977346532,0.10631350644115231,83
net_income_cagr_3y,0.01105206616961848,0.10315974843855338,0.10713544057202878,83
op_income_cagr_5y,0.010819772814744675,0.09850960230919038,0.10983469086026697,83
archetype_cyclical_recovery_score,0.010736671539134967,0.09460091803684774,0.11349435742271954,83
technical_blueprint_score,0.010709527542809528,0.1853796298952734,0.05777078620316485,83
gp_to_assets_ttm,0.010611104856158128,0.10708686107279516,0.09908875616456238,83
ocf_ttm,0.010534930156753797,0.13413372012167268,0.07854049944930007,83
debt_to_equity_delta_4q,0.01019532339217839,0.04789554332337768,0.21286576069687208,83
op_income_ttm,0.01017230409263185,0.12658104867484032,0.08036197673747006,83
industry_group_breadth_above_ma200,0.010097945226471812,0.13389623624448302,0.07541619358046703,83
rs_industry_12m,0.010032157393108039,0.10969931775101505,0.09145140265470052,83
ma150_above_ma200,0.010013098612923804,0.12222492019264725,0.08192353717970188,83
score_pre_focus_total,0.0098025532915827,0.15570836368891336,0.0629545673064894,83
score_core,0.0098025532915827,0.15570836368891336,0.0629545673064894,83
score_model,0.0098025532915827,0.15570836368891336,0.0629545673064894,83
industry_group_mom_mean_6m,0.009768561311296468,0.13635591920627918,0.07164016532437394,83
rs_sector_6m,0.009746982217613099,0.15445857096504398,0.06310418078888716,83
fcf_cagr_1y,0.009543012960908193,0.10771241617870829,0.08859714054788025,83
eps_cagr_3y,0.009441572990301858,0.09577745738929157,0.098578227715358,83
z_lin_p,0.0094106146354996,0.17090150849787206,0.055064546636060314,83
fcf_ttm,0.009409061700799456,0.13197807027377678,0.07129260920662883,83
net_income_cagr_best,0.009393555646552764,0.10037615973798379,0.09358352357011793,83
pred_lin_p,0.009335031113498446,0.170961555009556,0.05460309814651415,83
leader_emergence_score,0.009161061008080243,0.11845291430092254,0.07733925576043288,83
actual_results_score,0.009145864737249113,0.05321755748801539,0.17185800044898264,83
ma200_slope_1m,0.009139418936911087,0.18830270245637548,0.04853577953120796,83
selection_flow_confirmation_score,0.009014369367866716,0.0530267932910999,0.16999646986790362,83
overheat_signal_score,0.008786168127825395,0.16541212245782896,0.053116830049122224,83
score_garp_core,0.00872882912882453,0.0693908615321384,0.12579218182584392,83
focus_benchmark_alpha_score,0.008670707433789986,0.19572884649179373,0.04429958662816549,83
dist_ma200,0.008622797799242802,0.1832340312634407,0.047058929333144844,83
op_margin_ttm,0.008580795293349071,0.1025306611888236,0.08369003337105263,83
score_actual_core,0.008493423951954985,0.05134656664300751,0.16541363625868208,83
garp_score,0.008361659183736554,0.06941919340589632,0.12045167293040895,83
net_income_ttm,0.008349145979058604,0.11097813078728082,0.07523234683722056,83
sector_crowding_penalty,0.008348397932162927,0.12763269204480546,0.06540955255520817,83
moat_quality_blueprint_score,0.008120251092405377,0.07011348186279306,0.11581581342854967,83
fund_history_quarters_available,0.00794344611314972,0.06339359305359145,0.12530359106477226,83
rs_benchmark_6m,0.007915061921463122,0.17105666400549743,0.04627157617485739,83
mom_6m,0.007915061921463122,0.17105666400549743,0.04627157617485739,83
mom_12m,0.007872998495812064,0.18843825275183645,0.04178025407812425,83
rs_benchmark_12m,0.007872998495812064,0.18843825275183645,0.04178025407812425,83
sage_g_score,0.007670422406963493,0.0687632124922183,0.11154832669209953,83
industry_within_leader_rank,0.007617278727919355,0.08705378338019648,0.0875008248595423,83
obv_trend,0.0075877526726000075,0.11170457781054466,0.06792695646009753,83
macro_tech_leadership_interaction,0.0075510190477112715,0.15032524249316256,0.050231208146846285,81
technical_pillar_score,0.007477276098846179,0.18420552348948743,0.04059202759657003,83
eps_cagr_best,0.007348496580108312,0.09012809299471634,0.08153390935720803,83
score_base_model,0.007023668337616987,0.1534589722863983,0.045769027221285855,83
score_model_core,0.007023668337616987,0.1534589722863983,0.045769027221285855,83
rs_industry_group_12m,0.007019610596842145,0.14119868994739476,0.049714413797417284,83
overheat_penalty,0.006896813035016636,0.14005010022524614,0.049245323862468354,83
death_cross_recent_20d,0.006890472032766169,0.06962078914828494,0.09897145848742978,83
breakout_volume_z,0.006819874523322145,0.05790806170557515,0.11777070661231422,79
capex_ttm,0.006793928711361898,0.1376227401028724,0.049366319930995904,83
industry_group_mom_mean_3m,0.006781695280946814,0.15752327130960483,0.04305201887978515,83
sales_cagr_5y,0.006671596294948381,0.1053526762675499,0.06332630454249107,83
rsi14,0.006630310580364256,0.14291801550271982,0.04639240261710779,83
debt_to_equity,0.006589674861756829,0.05401890924222964,0.12198827659264437,83
net_income_cagr_2y,0.006090362746928957,0.1022989465266558,0.05953494496634485,83
macd_hist,0.0060867609001284614,0.13740965015454668,0.044296455527817996,83
sales_cagr_1y,0.00593172606378529,0.11247756802535501,0.05273696471707583,83
rs_industry_6m,0.005897814526469323,0.10612675990542884,0.05557329721544295,83
post_breakout_hold_score,0.005446667802358536,0.14301175227143265,0.03808545336306605,83
long_hold_compounder_score,0.005411532344585969,0.06723952995651156,0.08048140049866463,83
archetype_compounder_score,0.005401827443312592,0.0732959779791893,0.0736988147952425,83
score_missing_fundamental_penalty,0.005400190282998758,0.08705930923874373,0.062028859520366304,83
gross_profit_ttm,0.00538136423722385,0.10636123284316588,0.05059516129534983,83
price_above_ma20,0.005182869725972423,0.12258679898707335,0.04227917969966044,83
dd_1y,0.005150590515013278,0.19657582487306569,0.026201544652419525,83
val_residual_fcfy,0.004870896795494198,0.07755713752911736,0.06280397037120934,70
dynamic_leader_score,0.004863345600812058,0.16476732881275946,0.029516442007591886,83
actual_priority_weight,0.004802355364975005,0.0627623487411449,0.07651648952171618,83
sales_cagr_best,0.004785430051232457,0.1180593520767755,0.040534100532581496,83
industry_mom_mean_3m,0.004575055846571085,0.1697603857835352,0.026950077640045256,83
industry_breadth_above_ma200,0.004353586569520961,0.1369522489084991,0.03178908186121772,83
industry_group_mom_mean_12m,0.004319225875959647,0.13532767510300314,0.03191679420712855,83
macro_pillar_score,0.004296003272917261,0.15316731965618552,0.028047778090539894,83
ocf_cagr_2y,0.0037120830201569956,0.11988788067101118,0.030962952132867705,83
rs_benchmark_3m,0.0036356954863722146,0.1752518542304858,0.02074554528898284,83
mom_3m,0.0036356954863722146,0.1752518542304858,0.02074554528898284,83
industry_mom_mean_6m,0.003618891764688222,0.14594249231383852,0.024796695323930133,83
ocf,0.00356019813922661,0.12989924698985733,0.02740737877742129,83
event_reaction_score,0.0035489831155409947,0.1545869109555724,0.022957848526920056,83
mom_1m,0.0035410003280657875,0.1545969788255346,0.022904717323193585,83
score_event_core,0.003280464476259626,0.15463112789594308,0.021214772916352525,83
sales_cagr_3y,0.003269212926007915,0.11593640944264466,0.028198325786878725,83
eps_growth_yoy,0.002996234579148837,0.05638085042476922,0.05314276079817561,83
eps_cagr_2y,0.002856182552705243,0.08899411546196956,0.032094057196233636,83
rs_industry_group_6m,0.002824233493199124,0.13058383685525557,0.021627740039927137,83
gross_profit,0.002798192075832529,0.0842908059367762,0.03319687969246095,83
focus_bonus_cap,0.002741732889698124,0.08913118078804518,0.030760644679571163,83
asset_growth_yoy,0.002682595377432939,0.06942300128240791,0.03864129959042442,83
bb_pb,0.0026381897601070008,0.13417702273047424,0.01966200702475228,83
volume_dryup_20d,0.0026097851501420007,0.06690580283910384,0.03900685216123229,83
near_52w_high_pct,0.0024792273369881545,0.19202033852227238,0.01291127401896466,83
high_tight_30_bonus,0.0022502409029010466,0.1298781111816131,0.01732578884286797,83
price_above_ma50,0.002222438174275822,0.1158318111059263,0.019186767099547183,83
fcf_cagr_2y,0.0018153265661011542,0.11817852517156655,0.015360882274143445,83
sales_cagr_2y,0.0016796639033833476,0.12400085714970506,0.013545581913999887,83
oneil_leadership_score,0.0016198378713674245,0.07067082587950882,0.022920881735843463,83
price_above_ma200,0.0015351649611785724,0.1389413508842495,0.011049013421262667,83
fund_panel_raw_flow_4q_cov_mean,0.001503502912925219,0.0920779789624937,0.016328581128521865,83
trend_template_relaxed,0.001440827904826543,0.13378650545253074,0.010769604843604497,83
rs_industry_group_3m,0.0012841541736171292,0.12152455380525512,0.010567033802935553,83
volatility_contraction_score,0.0012485849415967323,0.080911054042805,0.015431572385899954,83
fundamental_presence_score,0.0011046316062002111,0.07675123051083789,0.014392361593741645,83
op_income_cagr_3y,0.000786845116331046,0.11071586939025786,0.007106885847490115,83
valuation_blueprint_score,0.0004929400152768635,0.1286955842823006,0.0038302788687200394,83
rs_industry_group_1m,0.0004713850534650402,0.10203325544365585,0.004619915391469514,83
revenues,0.00040937554211771207,0.08328527990620319,0.004915340302936513,83
op_income,0.00029846341064968424,0.10987348001045565,0.0027164278719214456,83
macro_defensive_riskoff_interaction,0.00029621207947513694,0.12748976149625912,0.0023234183887750445,83
rs_industry_3m,0.00028008993503524185,0.09155374264771654,0.0030592949708241985,83
net_income_cagr_1y,0.0001877637934927175,0.09717852985735691,0.0019321528577021815,83
price_above_ma150,-3.354439905317786e-05,0.14244609644815023,-0.00023548835338218162,83
macro_materials_copper_interaction,-6.199782708302915e-05,0.07504879087355748,-0.0008261001689751625,81
trend_template_full,-0.000161426983953705,0.13415467323247504,-0.0012032899639736775,83
breakout_distance_63d,-0.0005055541542518336,0.16432786165185426,-0.003076496696329779,83
industry_mom_mean_12m,-0.0005293363595936324,0.15382808763856573,-0.0034410902021122327,83
fundamental_reliability_score,-0.0005715639531008469,0.077610137380649,-0.007364551832346584,83
industry_leader_bonus_score,-0.0007250665355041946,0.05385790652668961,-0.01346258047588758,83
fund_ttm_fallback_used,-0.0008633172967902035,0.08167193906766715,-0.010570548476502314,83
score_fundamental_reliability_adjustment,-0.0011146543135462455,0.0888443291119559,-0.012546148968947027,83
sales_growth_yoy,-0.0012191558514307451,0.08391671929877974,-0.014528162162874874,83
breakout_fresh_20d,-0.0014902869339160794,0.11078125120102272,-0.013452518212550566,83
book_to_market_proxy,-0.0016086431065956911,0.08496696389056307,-0.018932569125830155,83
selection_ttm_confirmation_score,-0.0016110346850529368,0.08305682586946397,-0.019396774126875176,83
fund_panel_ttm_ready,-0.0016110346850529368,0.08305682586946397,-0.019396774126875176,83
dollar_vol_20d,-0.0017650685124016212,0.09472399545031603,-0.0186338035855908,83
rs_industry_1m,-0.0024244986688420657,0.07501315420102898,-0.03232097585357969,83
score_fundamental_confidence,-0.0026969437087673276,0.08764101517997619,-0.030772617084624348,83
dividend_policy_score,-0.0027991607533963715,0.1165839687557375,-0.024009823504660716,83
selection_fundamental_confirmation_score,-0.0028399147733097277,0.07521614256733142,-0.037756714168110564,83
selection_confirmation_score,-0.0028399147733097277,0.07521614256733142,-0.037756714168110564,83
focus_defensive_regime_score,-0.0029480876200296833,0.12462291653807475,-0.02365606154441402,83
focus_live_event_defensive_score,-0.0030330623268849557,0.12532464820394665,-0.024201640525914003,81
op_income_cagr_best,-0.0031524071766992237,0.10954804104247631,-0.028776478875711855,83
eps_cagr_1y,-0.003196401823671238,0.09567709440741921,-0.03340822073858012,83
golden_cross_fresh_20d,-0.0033414233167762706,0.062314895923857215,-0.05362157363856356,83
fund_ttm_fallback_age_days,-0.0035199292610400505,0.06825743171482941,-0.05156843228531551,83
score_quality_core,-0.004195207445257911,0.04415501011356939,-0.09501088289548011,83
quality_trend_score,-0.004240997894288472,0.04352874407587375,-0.09742980207740629,83
rev_growth_accel_4q,-0.004346712376837703,0.07261785316258657,-0.05985734346252662,83
sector_leader_score,-0.0043505851296145905,0.14348918928148485,-0.030319948479745742,83
op_income_cagr_2y,-0.004414198370197331,0.11085539961349558,-0.03981942230503423,83
macro_semis_cycle_interaction,-0.004614954235994981,0.15044400492105592,-0.03067555886764013,81
actual_report_age_days,-0.004750088892099847,0.06297874442521331,-0.07542367160882062,83
fund_effective_age_days,-0.004750088892099847,0.06297874442521331,-0.07542367160882062,83
proxy_fallback_weight,-0.004802355364975005,0.0627623487411449,-0.07651648952171618,83
dd_gap_benchmark,-0.005150590515013278,0.19657582487306569,-0.026201544652419525,83
fund_ttm_cum_fallback_used,-0.0056522956780373865,0.04504896381265656,-0.1254700207277389,77
fund_ttm_backfill_used,-0.00578301799701565,0.049223383573671474,-0.11748515445933945,83
ma20_above_ma50,-0.0058597593031279255,0.11702909576260341,-0.05007095683542691,83
ma50_above_ma200,-0.005993836974366152,0.14317626191389962,-0.04186334016275128,83
archetype_defensive_value_score,-0.006126355317513064,0.10944867758669033,-0.05597468048815661,83
industry_leader_gap,-0.006142133272705571,0.11860037237721553,-0.05178847782438131,83
actual_report_age_days_latest,-0.006507768020534582,0.056482687622896564,-0.11521701856351331,83
fund_join_gap_days,-0.006507768020534582,0.056482687622896564,-0.11521701856351331,83
focus_event_stress_penalty,-0.006850650258476983,0.1838528137587454,-0.03726159935115555,82
focus_live_event_risk_penalty,-0.007866779035648967,0.18509759740058163,-0.04250070622806034,81
shares,-0.008177150592589517,0.08784006085816126,-0.09309134786324884,83
accruals_to_assets,-0.008648203508709798,0.08517190938894467,-0.10153820144896648,83
macro_beta_vix_interaction,-0.009080296029797413,0.1953318770503845,-0.04648650134350678,81
ma50_above_ma150,-0.009239316124297778,0.14643704622058715,-0.06309411267036144,83
liabilities,-0.010004382829677168,0.10860903741233786,-0.09211371490714945,83
assets,-0.010535270235180687,0.09464395743298214,-0.11131475698797987,83
industry_rotation_signal,-0.011742679832230813,0.11988631590249159,-0.09794845028265868,83
macro_hedge_score,-0.011749757620125992,0.12180400570054684,-0.09646445195216369,83
dividend_yield_ttm,-0.012653770264672144,0.1728930323153313,-0.07318842965116862,83
capex,-0.014854528014443744,0.12816504669786608,-0.11590154443938283,71
leader_safety_score,-0.01714875902184081,0.2097742991937164,-0.08174861396399481,83
dilution_penalty,-0.019014824809217356,0.08491102884005759,-0.22393819542161733,83
shares_yoy,-0.0193164192431474,0.08663222367196816,-0.22297034746083974,83
macro_duration_rate_interaction,-0.020344745899355986,0.15192783809006538,-0.13391057765325076,76
dividend_payout_ratio,-0.034878755880317774,0.1424316477174643,-0.24488064268342152,83
atr14_pct,-0.035698873700894564,0.14761031934970456,-0.24184536311358087,83
