rank,ticker,Name,sector,weight,score,score_model_core,score_total,score_focus_bonus,portfolio_seed_score,ensemble_weight_linear,ensemble_weight_catboost,ensemble_weight_ranker,adaptive_ensemble_active,adaptive_ensemble_history_months,adaptive_quality_linear,adaptive_quality_catboost,adaptive_quality_ranker,anticipatory_growth_score,profitability_inflection_score,dominant_archetype_label,archetype_alignment_score,portfolio_sleeve_label,portfolio_sleeve_confidence,portfolio_core_compounder_engine_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,sage_sector,sage_composite_score,sage_g_score,sage_v_score,sage_q_score,sage_c_score,sleeve_target_core_compounder_weight,sleeve_target_future_winner_weight,sleeve_target_early_scout_weight,sleeve_invested_share,sleeve_growth_signal,sleeve_risk_signal,future_winner_regime_strength,early_scout_regime_strength,future_winner_scout_score,long_hold_compounder_score,score_future_winner_model,pred_future_winner_ret,pred_future_winner_p,strategy_blueprint_score,stagflation_score,growth_liquidity_reentry_score,m2_yoy_lag1m,fed_assets_bil,reverse_repo_bil,tga_bil,net_liquidity_bil,net_liquidity_change_1m_bil,liquidity_impulse_score,liquidity_drain_score,fear_greed_score,fear_greed_delta_1w,fear_greed_risk_off_score,fear_greed_risk_on_score,fund_join_status,fundamental_reliability_score,core_fundamental_fields_present,sector_adjusted_fields_present,partial_scout_confirmation_score,fundamental_lane_label,latest_statement_repair_used,revenues_ttm,gross_profit_ttm,op_income_ttm,net_income_ttm,op_margin_ttm,gross_margins,operating_margins,roe_proxy,roa_proxy,asset_turnover_ttm,book_to_market_proxy,capital_efficiency_score,sector_adjusted_quality_score,market_cap_live,current_price_live,return_on_equity_effective,revenue_growth_final,earnings_growth_final,forward_pe_final,peg_final,sales_growth_yoy,net_income_growth_yoy,op_income_growth_yoy,ocf_growth_yoy,sales_cagr_3y,sales_cagr_5y,net_income_cagr_3y,net_income_cagr_5y,op_income_cagr_3y,op_income_cagr_5y,ocf_cagr_3y,ocf_cagr_5y,ep_ttm,sp_ttm,fcfy_ttm,price_above_ma20,ma20_above_ma50,golden_cross_fresh_20d,death_cross_recent_20d,breakout_fresh_20d,breakout_volume_z,volume_dryup_20d,post_breakout_hold_score,held_from_prev_rebalance,prev_weight,portfolio_hold_policy_seed_bonus,portfolio_hold_policy_bonus,portfolio_hold_policy_support,portfolio_hold_policy_exit_risk,target_n,weight_cap,cash_target,prev_holdings_applied,prev_holdings_count,rebalance_action,active_rebalance_interval_months,sleeve_rebalance_interval_months,scheduled_rebalance_due,recommended_rebalance_interval_months,next_scheduled_rebalance_date,recommended_next_run_date,recommended_next_run_mode,atr14_pct,event_regime_label,live_event_alert_label,applied_regime_sleeve_policy_label,applied_regime_sleeve_live_label,applied_regime_sleeve_source_label,backtest_usable,research_only_backtest,research_only_output
1,NVDA,NVIDIA CORP,Information Technology,0.14,6.59615236138109,4.300053739535083,6.529830952467792,0.6587926321574978,7.5923294803958425,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,1.5013271737232587,0.23827910129924454,compounder,1.4132222315423726,core_compounder,0.0611982016773448,0.9401787023128606,0.7565840972808262,0.5773558139529569,Semiconductor,2.5268872709197896,4.3629330835193905,1.757908103270384,2.436021028766113,-0.3241439421408092,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,1.3869623493740488,1.459087946061263,0.013051427034420526,0.2029634424537334,0.10452368670144738,2.0228078936906,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_with_ttm_backfill,0.9550000000000001,5.0,0.0,0.5714285714285714,full_ttm,False,215938000000.0,153463000000.0,130387000000.0,120067000000.0,0.6038168363141272,0.7106808435754708,0.6038168363141272,0.7633333969089534,0.5805863551302447,1.0441724733200195,0.157293,2.8362588989810646,2.579660114524856,1000000000000.0,177.63999938964844,0.7633333969089534,0.6547353579009478,2.0294308588944108,35.95794469059788,0.17718240822546166,0.6547353579009478,,,,1.0052198737118174,0.6719241211603657,2.0294308588944108,0.9477711634965376,2.1492597803874185,0.9624152069870582,1.6396081372638758,0.7789798723371186,0.120067,0.215938,0.101898,1.0,0.0,0.0,0.0,0.0,0.0,0.02932302882353144,0.4,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,1,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.02801412715408085,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
2,GOOG,ALPHABET INC CLASS C,Communication,0.14,6.120789738008605,4.641011052629095,6.070236960115906,0.4999197586643979,6.477607150131208,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,0.8310611240219065,0.10327838027674031,compounder,0.8866336575225143,core_compounder,0.09274509257158432,0.8850389556917551,0.6068036779770021,0.4224106219601296,Software,0.5944057785432129,0.38245289050704995,1.0177293699957048,0.5240200559594167,0.5007327358464331,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,0.8843028772926959,0.8300146989759216,0.10924242897767558,0.7304789972664466,0.11541515850539115,0.9142327696346336,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_with_ttm,1.0,5.0,0.0,0.7142857142857143,full_ttm,False,402836000000.0,240301000000.0,129039000000.0,132170000000.0,0.32032638592380025,0.5965231508603998,0.32032638592380025,0.3182786895115167,0.22202959610671263,0.6767157023321759,0.415265,0.7757305238494268,1.421634955915012,1000000000000.0,297.6600036621094,0.3182786895115167,0.1509008108154437,0.3201422321660441,27.22337992182476,0.8503526616165141,0.1509008108154437,0.3201422321660441,0.14813595515615274,0.3145595735001876,0.12508720166050935,0.17157378629634956,0.3012738193363951,0.2683716977978945,0.199058982674154,0.2563994618754688,0.21644018367632145,0.2039498490742797,0.13217,0.402836,0.149623,1.0,0.0,0.0,0.0,0.0,0.0,0.08855878290553254,0.4,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,1,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.026128777405597547,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
3,AVGO,BROADCOM INC,Information Technology,0.0816799949696037,5.6610542221578015,4.288248580549977,5.642402677558883,0.36353502558490286,5.054831152844719,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,0.876562735078666,0.07092412157861902,compounder,0.7892042593547992,core_compounder,0.07204190182661036,0.7078547818886753,0.4917290764088443,0.15889025431138493,Semiconductor,-0.3951904731291357,-0.027194773803225325,-1.8444928767548336,0.5584369778833577,-0.42772218386758576,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,0.777077206541544,1.0127277295679136,0.17779010489953567,0.9392162934185049,0.1823436684075886,0.7063650273509284,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_with_ttm_backfill,0.9550000000000001,5.0,0.0,0.5714285714285714,full_ttm,False,63887000000.0,43294000000.0,25484000000.0,23126000000.0,0.3988917933225852,0.6776652527118193,0.3988917933225852,0.2844806377011268,0.13611295857047845,0.37602043518949047,0.079872,0.28473043539791154,0.3558019163127536,1000000000000.0,314.42999267578125,0.2844806377011268,0.23874432853763516,0.27161117921933187,64.39247796041252,2.3707594858757344,0.23874432853763516,,,,0.24298209651489677,0.5807393313033966,0.27161117921933187,0.7919837332443724,0.2138233886571952,0.7556673214399026,0.17998133348513168,0.17944372782900597,0.023126,0.063887,0.026914,0.0,0.0,0.0,0.85,0.0,0.0,0.006558315320748909,0.0,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,1,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.03576311916468345,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
4,AAPL,APPLE INC,Information Technology,0.07805739856176382,4.737607568493188,3.569916162668913,4.716486266959574,0.4322166944343654,4.586222409739639,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,0.11216392801973041,0.32287085266107907,compounder,0.5175697792137833,core_compounder,0.1342514214445181,0.7248809685548396,0.3221267042212853,0.1488132595456634,Software,0.1903870654928238,-0.3420208718858091,1.1214056256633649,0.05314272216343727,0.10971522464104305,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,0.349086553469924,1.045866436250106,0.05921146216366222,0.5545925452799184,0.0883462825438717,0.4497219742050383,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_with_ttm_fallback,0.9165850000000001,5.0,0.0,0.7142857142857143,full_ttm,False,416161000000.0,195201000000.0,133050000000.0,112010000000.0,0.31970799762591884,0.4690516410716045,0.31970799762591884,1.5191298333175105,0.2953094804335389,1.0971903284233726,0.08819,2.3793774765185827,1.171835055261675,1000000000000.0,247.99000549316406,1.5191298333175105,0.0,0.03909439353742883,32.54119051404445,8.323748642600028,0.0,,,,0.018071275091400274,0.45080063129890147,0.03909439353742883,0.5459582925602204,0.03652342902100392,0.14945282036766638,-0.029918174805878994,0.06679924384853564,0.11201,0.416161,0.098767,0.0,0.0,0.0,0.0,0.0,0.0,0.1321199223188234,0.2,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,1,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.020450102139998684,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
5,JNJ,JOHNSON & JOHNSON,Health Care,0.07787000477835966,4.7432306437297695,3.939253097117731,4.762659886986752,0.5430776378505657,5.579857249946311,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,0.4797662583732941,0.024082416529405,emerging_growth,0.20945325440108378,core_compounder,0.03720541913047404,0.3208954571487199,0.43251171454014203,0.2848195236583174,MedTech,0.09182266368069031,-0.3223073679766151,-0.2256721674024158,0.3984206708394973,1.0762874440882348,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,0.6019186013150416,0.020770186333531553,-0.0018714697116315505,0.3376184863519939,0.038738331545159564,0.3887321144745297,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_no_ttm,0.586195,4.0,0.0,0.8571428571428571,full_ttm,False,94193000000.0,63937000000.0,,26804000000.0,,0.6787871710212011,,0.3287059746885117,0.13455147833944078,0.472832689122032,0.14053469340875588,0.3679436718743633,-0.0893864345433062,580241063769.3787,240.97000122070312,0.3287059746885117,0.06048119251078021,0.143713465267006,21.64755498318828,1.506299701490683,0.06048119251078021,,,,-0.002649177294319127,0.026747787314138183,0.143713465267006,0.12790537156741988,,,0.05010858626324799,0.008336102797207978,0.04619459337447627,0.16233425360849288,0.03394795927064742,1.0,1.0,0.0,0.0,0.0,0.0,0.14488734227268762,0.6,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,1,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.016614394058842935,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
6,GEV,GE VERNOVA INC,Industrials,0.04641342708902261,4.707927842773835,2.150295474203021,4.649372125126744,1.015007962733058,6.421495468720541,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,1.4825960043581585,0.9118118283968071,emerging_growth,1.1430264717584147,future_winner,0.024521575675789015,0.5254160410422795,0.9386767690504665,0.8651120420230994,Industrial,0.546505649562103,2.8027046708246908,-1.6824200852124584,-1.2000000000000002,1.9077602405105059,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,1.7677799969281465,1.0894524889797905,0.10522600339571754,0.7162160352871497,0.09551667187212819,1.2259221900256831,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_with_ttm_fallback,0.9221950000000001,5.0,0.0,1.0,full_ttm,False,38068000000.0,7535000000.0,1388000000.0,4879000000.0,0.03646106966481034,0.19793527372071032,0.03646106966481034,0.3967957059206246,54.21111111111111,422.97777777777776,-0.20933169015139,3.5334987592559437,1.3672178303046654,241864955866.8545,897.3599853515625,0.3967957059206246,0.08968083583798481,1.9491037019623882,49.57264928609438,0.25433561711562014,0.08968083583798481,,,,,,,,,,,,0.020172413909710286,0.15739361605141447,0.01533913826706808,1.0,1.0,0.0,0.0,0.65,0.0,0.09464573174999424,0.93,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,2,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.05006750526169672,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
7,LNG,CHENIERE ENERGY INC,Energy,0.04095029683713594,5.582017545979787,2.652185770956418,5.512665925286076,1.477167868420865,5.939697310042506,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,1.4346235953758122,0.6014729316229164,emerging_growth,1.4002821915680137,core_compounder,0.007158695059340377,0.9401787023128606,0.9187026171348395,0.5536087016792286,Energy,0.09173378628730233,-1.044869582721379,0.09279817045796146,1.1641330471001126,0.9547022390017764,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,1.6146121842004195,1.3658614906784343,0.07099098837081115,0.49494206488213544,0.11050399393247543,0.9520877975006956,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_with_ttm_backfill,0.9550000000000001,5.0,7.0,1.0,full_ttm,False,19464000000.0,12314000000.0,9112000000.0,5315000000.0,0.46814632141389234,0.6326551582408549,0.46814632141389234,0.40640770760055056,0.1110020466981329,0.40649931080573076,0.21903216194217232,0.4435874636276581,0.5285837340033771,59708126350.19684,284.04998779296875,0.40640770760055056,0.2627481510315297,0.2634295990673774,11.23389018818379,0.4264475301164049,0.2627481510315297,,,,-0.1639159625088873,0.15937524626446686,0.2634295990673774,3.841594627696545,0.2595783081697902,1.0127160572161866,-0.19254476188058856,0.34364867835738555,0.0890163588257108,0.32598577764508657,0.04121717009785029,1.0,1.0,0.44999999999999996,0.0,0.75,0.0,-0.4767726911599155,0.75,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,1,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.04357884174861962,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
8,VRT,VERTIV HOLDINGS CLASS A,Industrials,0.04,4.12864669200367,1.9535811375872898,4.111596628215543,0.895247259526636,5.707897042375679,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,2.0834765598888327,0.973936580646344,emerging_growth,0.9655150602623486,core_compounder,0.03473101752171933,0.5977446640092093,0.9386767690504665,0.8344837164853085,Industrial,1.067031690358549,3.520850879213317,-0.9090795795785169,-1.2000000000000002,2.4133585168567824,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,1.8642171196933262,0.5349679027251428,0.1545833712857973,0.5006294912308302,0.2754694711178095,1.2561932748721676,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_with_ttm_fallback,0.925,5.0,0.0,0.8571428571428571,full_ttm,False,10229900000.0,3715200000.0,1829700000.0,1332800000.0,0.1788580533534052,0.363170705480992,0.1788580533534052,0.3381625352041205,0.14594032302217355,1.1201642485628251,0.024594325022417873,0.8235377562335116,-0.23739765269645238,98978117829.26025,258.7300109863281,0.3381625352041205,0.2768541401432887,1.0114235914207654,74.26329368942096,0.7342452195039463,0.2768541401432887,,,,0.21580013629307948,0.5095356874012973,,1.0114235914207654,1.0154071645889724,,,0.5887392073654256,0.013465602592071043,0.10335516803468454,0.019133522050468293,0.0,1.0,0.0,0.0,0.65,0.0,-0.4698289174945296,0.53,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,1,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.06003527506402868,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
9,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.04,4.978617750500083,3.9773924701240024,4.974945674095742,0.16743949561692617,4.920058220607104,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,0.007379374233096859,0.3179039528306072,cyclical_recovery,0.5194954130572889,early_scout,0.03926263868035975,0.5433376621476524,0.4255497461065732,0.20755234930561572,Consumer,1.6270186349919291,0.8725466532697251,5.560997426526432,0.039063211304486076,-0.522585687401363,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,-0.05199034351295023,-0.015319290209423853,0.22623670199752696,0.9383763417928442,0.35261540634721794,0.32048110636179106,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_with_ttm_fallback,0.91939,5.0,0.0,0.42857142857142855,full_ttm,False,26917000000.0,,8825000000.0,5404000000.0,0.3278597169075306,,0.3278597169075306,-0.9688060236643958,0.18466375068343358,0.9197990705303445,0.7612132329901529,-1.0560912105816171,1.0263591567397028,11284617276.367188,176.19000244140625,-0.9688060236643958,0.0,0.2089466928402819,2.088197127381049,0.09993922846997436,0.0,,,,0.16344680216047802,0.316955272172627,0.2089466928402819,1.4684616589441761,0.20034657914244924,,0.12806399280105296,1.563780743906476,0.47888199197657577,2.3852824903836956,0.8284729354161745,1.0,0.0,0.0,0.0,0.0,0.0,0.21415453331204426,0.4,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,1,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.03460794217652315,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
10,PR,PERMIAN RESOURCES CORP CLASS A,Energy,0.03888168218020098,2.765977934150028,-0.418765134752799,2.6656179939342968,1.477167868420865,4.675766496729816,0.26148833013144324,0.4126903223311655,0.3258213475373913,True,12.0,-0.24585377963821298,-0.20901201867291486,-0.2537842288832841,1.5721035616424524,0.9710310443698005,emerging_growth,1.650500244406981,early_scout,0.0005006444207980391,0.9401787023128606,0.9386767690504665,0.8651120420230994,Energy,1.6020615417863673,1.737603301448028,2.3943422080586636,0.13261095004597023,2.4144139783559924,0.6,0.25,0.15,1.0,0.5060367000076778,0.2396759270280356,0.2663607729796421,0.14652280946562432,2.291433228605814,1.4688476067567944,0.11044429478570285,0.36480572420656443,0.22711967132877708,1.0900881370780766,0.004444444444444449,-0.01896938436298485,0.04276578366036121,6.0,0.137,6.0,6.0,1.6300000000001091,0.06391234158079885,0.16636483885544878,6.0,6.0,0.0,0.761714285714286,matched_with_ttm_fallback,0.91939,5.0,7.0,0.8571428571428571,full_ttm,False,5065211000.0,,1462729000.0,935174000.0,0.28877948026252015,,0.28877948026252015,0.08108058665065355,0.05220881762889341,0.28278018566690777,0.7755363573928935,-0.38590260169164115,1.0680727533524297,14870745762.029285,21.1299991607666,0.08108058665065355,0.012893507233138202,0.21562244154982868,15.901581697127257,0.737473408743149,0.012893507233138202,,,,0.3344166239398818,0.5423800859958281,0.21562244154982868,,0.1322842234822954,,0.3802417974647794,0.8394521231881102,0.06288682591749081,0.3406158023986548,0.22589546306261332,1.0,1.0,0.0,0.0,0.75,0.0,-0.11584922614405913,0.95,False,0.0,0.0,0.0,0.0,0.0,18,0.14,0.0,False,0,full_rebalance,3,1,True,3,2026-07-31,2026-07-31,full_step1_and_step2,0.030650407714968263,balanced,balanced,def_60_25_15,balanced,balanced,True,False,False
