signal,split,status,row_count,spearman,low_quantile_count,high_quantile_count,low_quantile_mean,high_quantile_mean,high_minus_low,high_quantile_positive_rate
w4_form4_score,full,ok,4566,-0.0025595883544821,914,912,0.0173660497155816,0.0139988254173475,-0.003367224298234,0.5449561403508771
w4_form4_score,is,ok,2113,-0.005683737930678,423,423,0.0088948968214889,0.0151081764286321,0.0062132796071432,0.5508274231678487
w4_form4_score,oos,ok,2453,0.0010068126862354,491,490,0.0225190739510691,0.0113590250810428,-0.0111600488700263,0.5326530612244897
w4_13f_score,full,ok,33643,0.0056221874974586,6731,6729,0.0101586642095831,0.0158915012202831,0.0057328370106999,0.5464407787189776
w4_13f_score,is,ok,23210,0.0011153957731501,4642,4642,0.0128526316080611,0.0142200667108469,0.0013674351027857,0.5506247307195175
w4_13f_score,oos,ok,10433,0.0264766048735778,2087,2087,0.0034975391098146,0.0203653594197598,0.0168678203099451,0.5366554863440345
w4_combined_score,full,ok,34835,0.0085440057618091,6967,6967,0.0111754162657318,0.0151092679985738,0.0039338517328419,0.5484426582460169
w4_combined_score,is,ok,23807,0.0051212056431141,4762,4762,0.0118005879994584,0.0144804544165102,0.0026798664170518,0.5533389332213355
w4_combined_score,oos,ok,11028,0.0180354865198404,2206,2205,0.0103961051785856,0.0175578920169242,0.0071617868383386,0.5414965986394558
w4_consensus_score,full,ok,631,0.0482366867618695,127,124,-0.0105988023494726,0.0045849093765688,0.0151837117260414,0.4758064516129032
w4_consensus_score,is,ok,344,0.0553035045983747,69,69,-0.0043724340410605,0.0088862406468224,0.0132586746878829,0.4927536231884058
w4_consensus_score,oos,ok,287,0.0259745962440099,58,58,-0.0116619260715132,0.000340181855613,0.0120021079271262,0.5
