rebalance_date,ticker,Name,sector,industry_group,weight,period_forward_return,concentrated_replacement_quality_status,concentrated_replacement_quality_event_match_status,concentrated_replacement_quality_source_rejection_reason,concentrated_replacement_quality_removed_ticker,concentrated_replacement_quality_added_ticker,concentrated_replacement_quality_rejection_weakest_ticker,concentrated_replacement_quality_replacement_weight,concentrated_replacement_quality_leader_rank_ex_ante,concentrated_replacement_quality_revenue_growth,concentrated_replacement_quality_rs_spy_3m,sec_form4_score,sec_13f_score,smart_money_shadow_score,sec_combined_evidence_score,sec_form4_open_market_buy_score,sec_form4_cluster_buy_score,sec_form4_ceo_cfo_buy_score,sec_13f_accumulation_score,sec_13f_new_position_score,sec_13f_smart_money_score,latest_available_from,latest_13f_available_from,sec_evidence_research_only,sec_evidence_production_activation_allowed
2019-05-31,Z,ZILLOW GROUP INC CLASS C,Real Estate,Internet Content & Information,0.0411240556906428,0.1104868275078241,applied,policy_month_rejection,hold_replace_threshold_not_met,ROKU,Z,ROKU,0.0822481113812857,4.0,0.2385233424566442,0.0659068336765553,0.0,0.0,0.0,0.0028125,0.0,0.0,0.0,0.0,0.0,0.0,,2019-05-01T10:06:57+00:00,True,False
2019-06-28,EBAY,EBAY INC,Consumer Discretionary,Internet Content & Information,0.0361605567282817,0.0332749342516711,applied,policy_month_rejection,hold_replace_threshold_not_met,KBR,EBAY,KBR,0.0380637439245071,4.0,0.1010332950631458,0.0676840623764338,0.0,0.164054952123517,0.0638247284555826,0.2655141241097929,0.0,0.0,0.0,0.625,0.0,0.4166474974565513,,2019-05-15T21:45:16+00:00,True,False
2019-07-31,PODD,INSULET CORP,Health Care,Medical Devices,0.1032074336074138,0.2474311147259444,applied,policy_month_rejection,hold_replace_threshold_not_met,SHOP,PODD,SHOP,0.1086394037972776,1.0,0.2634228187919463,0.4492514415625086,0.0,0.0782981262758083,0.0280912996812566,0.1143421327827016,0.0,0.0,0.0,0.5894145447349854,0.0,0.2783933378695407,,2019-05-15T21:45:16+00:00,True,False
2019-08-30,V,VISA INC CLASS A,Financials,Consumer Finance,0.076,-0.0436514205641432,applied,policy_month_rejection,hold_replace_threshold_not_met,PODD,V,PODD,0.08,13.0,0.1120319520718922,0.0593712384436377,0.0,0.4390079303571429,0.1761249972321429,0.3242944933333333,0.0,0.0,0.0,0.875,0.0,0.5203056952380953,,2019-08-23T15:38:32+00:00,True,False
2019-09-30,MLM,MARTIN MARIETTA MATERIALS INC,Materials,Construction & Engineering,0.0317944485715009,-0.0276961576099986,applied,policy_month_rejection,hold_replace_threshold_not_met,PDD,MLM,PDD,0.0334678406015799,7.0,0.1404936492120767,0.1762179522591547,0.0,0.0077487899797505,0.0020583840623163,0.0658571863264694,0.0,0.0,0.0,0.4398800350834306,0.0,0.1377562663066767,,2019-08-08T15:24:35+00:00,True,False
2019-10-31,DG,DOLLAR GENERAL CORP,Consumer Staples,Food & Staples Retailing,0.0639216467386224,-0.0499159358132035,applied,policy_month_rejection,hold_replace_threshold_not_met,SSD,DG,SSD,0.067285943935392,11.0,0.3780846271211422,0.1742257278843488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,False
2019-12-31,RMD,RESMED INC,Health Care,Medical Devices,0.0838748368591766,0.0261261123393705,applied,policy_month_rejection,hold_replace_threshold_not_met,CRUS,RMD,CRUS,0.088289301957028,10.0,0.1138383280716657,0.0602218497026303,0.0,0.0486320995139991,0.0118844447812996,0.0629160329013325,0.0,0.0,0.0,0.5134135031182453,0.0,0.1235100940038073,,2019-11-14T21:59:23+00:00,True,False
2020-01-31,INTC,INTEL CORPORATION CORP,Information Technology,Semiconductors,0.0627898298361032,-0.1112200321715584,applied,policy_month_rejection,hold_replace_threshold_not_met,AMD,INTC,AMD,0.0660945577222139,5.0,0.1288539060881757,0.0712527965714369,0.0,0.1635820615742237,0.0636119277084006,0.1663610011734564,0.0,0.0,0.0,0.7894949114628615,0.0,0.4154465055853302,,2019-11-14T21:59:23+00:00,True,False
2020-06-30,MELI,MercadoLibre,Internet,Internet Content & Information,0.0749091596206012,0.1645786653315355,applied,policy_month_rejection,hold_replace_threshold_not_met,PDD,MELI,PDD,0.0749091596206012,2.0,0.5753295998542121,0.8990964387928799,0.0,0.2492252541634011,0.0921513643735305,0.1501417796281783,0.0,0.0,0.0,0.875,0.2,0.3164765132233665,,2020-05-15T21:05:15+00:00,True,False
2020-07-31,Z,ZILLOW GROUP INC CLASS C,Real Estate,Internet Content & Information,0.0398954147840939,0.2402540987064729,applied,policy_month_rejection,hold_replace_threshold_not_met,TSLA,Z,TSLA,0.0398954147840939,4.0,1.0567873516932949,0.4267156393580131,0.0,0.0188612266244077,0.007058980552412,0.1201712434407592,0.0,0.0,0.0,0.0625,0.0,0.3353106955450264,,2020-05-08T10:37:39+00:00,True,False
2020-08-31,WDAY,WORKDAY INC CLASS A,Information Technology,Software - Application,0.0374108108779808,-0.0784029672631736,applied,policy_month_rejection,hold_replace_threshold_not_met,DOCU,WDAY,DOCU,0.0393798009241903,3.0,4.790643636926495,0.1539314539247349,0.0,0.4879133154487634,0.1981324205233721,0.3445811715935611,0.0,0.0,0.0,1.0,0.0,0.5782676331244604,,2020-08-15T01:41:02+00:00,True,False
2020-10-30,OLED,UNIVERSAL DISPLAY CORP,Information Technology,Tech Hardware & Storage,0.038,0.1499002976623908,applied,policy_month_rejection,hold_replace_threshold_not_met,ZM,OLED,ZM,0.04,3.0,4.776442410504256,0.1676452200860225,0.0,0.1186120245518677,0.0433754110483404,0.152427854223549,0.0,0.0,0.0,0.7065546298805447,0.0,0.3012368877507753,,2020-08-15T01:41:02+00:00,True,False
2020-12-31,AMAT,APPLIED MATERIAL INC,Information Technology,Semiconductors,0.099210186392886,0.1957818785924148,applied,policy_month_rejection,hold_replace_threshold_not_met,ROKU,AMAT,ROKU,0.099210186392886,6.0,0.2488012786361215,0.3347621928529376,0.0,0.1073459882034437,0.0368771232629782,0.105991324158234,0.0,0.0,0.0,0.6753779481332767,0.2,0.2385466404520971,,2020-11-17T01:07:04+00:00,True,False
2021-01-29,AMAT,APPLIED MATERIAL INC,Information Technology,Semiconductors,0.0608278265778139,0.1939997270380915,applied,policy_month_rejection,hold_replace_threshold_not_met,ENPH,AMAT,ENPH,0.064029291134541,1.0,0.2488012786361215,0.5034222911293895,0.0,0.1073459882034437,0.0368771232629782,0.105991324158234,0.0,0.0,0.0,0.6753779481332767,0.2,0.2385466404520971,,2020-11-17T01:07:04+00:00,True,False
2021-02-26,ONTO,ONTO INNOVATION INC,Information Technology,Semiconductors,0.0239700019620696,-0.0513827858127786,applied,policy_month_rejection,hold_replace_threshold_not_met,AMAT,ONTO,AMAT,0.0252315810127049,11.0,3.6160022561754506,0.376341299138037,0.0,0.0479281372414344,0.0129962331872169,0.1195790724759848,0.0,0.0,0.0,0.5547551068262198,0.0,0.1420092955301762,,2021-02-17T00:47:10+00:00,True,False
2021-03-31,NDAQ,NASDAQ INC,Financials,Capital Markets,0.0800669108097121,0.0938787674680954,applied,policy_month_rejection,hold_replace_threshold_not_met,ONTO,NDAQ,ONTO,0.0800669108097121,7.0,0.3202721726888784,0.0511543502333897,0.0,0.1218119537039238,0.0448153791667657,0.1879316394080676,0.0,0.0,0.0,0.7065795958017682,0.0,0.3093636919464732,,2021-02-17T00:47:10+00:00,True,False
2021-04-30,AON,AON PLC CLASS A,Financials,Insurance,0.0447357668331278,0.0099416386105399,applied,policy_month_rejection,hold_replace_threshold_not_met,WAL,AON,WAL,0.0447357668331278,4.0,2.835701906412478,0.1093375535322065,0.0,0.1688085462950541,0.0631067029756314,0.1420196431175682,0.0,0.0,0.0,0.8022501452549821,0.0,0.3334489803359093,,2021-02-17T00:47:10+00:00,True,False
2021-05-28,HD,HOME DEPOT INC,Consumer Discretionary,Specialty Retail,0.0804048362849909,-0.0032831426447804,applied,policy_month_rejection,hold_replace_threshold_not_met,COF,HD,COF,0.0804048362849909,2.0,4.124117601427352,0.1342546676193339,0.0,0.1329285943016332,0.046960724578592,0.117213750381376,0.0,0.0,0.0,0.7347923775375138,0.0,0.2625750010896459,,2021-05-21T20:57:54+00:00,True,False
2021-06-30,NDAQ,NASDAQ INC,Financials,Capital Markets,0.1084134522201656,0.0585193963360342,applied,policy_month_rejection,hold_replace_threshold_not_met,ROKU,NDAQ,ROKU,0.1084134522201656,4.0,0.3202721726888784,0.1081021226628364,0.0,0.0972168911823274,0.0337476010320473,0.198529753569359,0.0,0.0,0.0,0.6695202041249599,0.0,0.2469000410979744,,2021-05-21T20:57:54+00:00,True,False
2021-07-30,MCO,MOODYS CORP,Financials,Capital Markets,0.0228714875030809,0.0092809446184329,applied,policy_month_rejection,hold_replace_threshold_not_met,NTLA,MCO,NTLA,0.0240752500032431,1.0,3.3560421735604216,0.098810849382638,0.0,0.1560445387226527,0.0559343281394794,0.1382111474112366,0.0,0.0,0.0,0.676688773645207,0.0,0.277412513284716,,2021-05-21T20:57:54+00:00,True,False
2021-08-31,BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,Medical Devices,0.1131404174910377,-0.0674045394169616,applied,policy_month_rejection,hold_replace_threshold_not_met,MRNA,BIO,MRNA,0.1131404174910377,5.0,0.2555678214320904,0.2575314781836089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,False
2021-09-30,BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,Medical Devices,0.038,0.0667104376155776,applied,policy_month_rejection,hold_replace_threshold_not_met,BILL,BIO,BILL,0.04,9.0,0.2555678214320904,0.1520513359174597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,False
2021-10-29,FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Capital Markets,0.0997581660119948,0.0732886828160177,applied,policy_month_rejection,hold_replace_threshold_not_met,DXCM,FDS,DXCM,0.0997581660119948,6.0,3.1488177481164783,0.2283873772311242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,False
2021-11-30,FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Capital Markets,0.0265232951653198,0.021537548828856,applied,policy_month_rejection,hold_replace_threshold_not_met,DDOG,FDS,DDOG,0.0279192580687577,2.0,3.1488177481164783,0.2244371676328631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,False
2021-12-31,AVGO,BROADCOM INC,Information Technology,Semiconductors,0.04,-0.1010325889626273,applied,policy_month_rejection,hold_replace_threshold_not_met,NVDA,AVGO,NVDA,0.04,2.0,3.2446265656409468,0.2702951483512406,0.0,0.1389735149180465,0.0511095102845495,0.1305905116029251,0.0,0.0,0.0,0.75,0.0,0.3088300331512145,,2021-11-16T00:57:04+00:00,True,False
2022-03-31,MET,METLIFE INC,Financials,Insurance,0.0455607493531963,-0.0635235036223624,applied,policy_month_rejection,hold_replace_threshold_not_met,STLD,MET,STLD,0.0479586835296804,5.0,0.5317577548005907,0.1786843169224693,0.0,0.1166741673271711,0.042503375297227,0.1281822484392059,0.0,0.0,0.0,0.6942779085531029,0.0,0.2963153455928156,,2022-02-15T00:16:14+00:00,True,False
