ticker,name,sector,t5_score,t5_fired,n_checks_passed,current_price,high_52w,low_52w,days_below_ma200,pct_off_low,pct_off_high,rs_1m_pct,rs_3m_pct,rs_6m_pct,rs_12m_pct,ma200_slope_now,ma200_slope_60d_ago,fh_pe_ttm,fh_peg_5y,fh_eps_growth_q_yoy,fh_revenue_growth_q_yoy,fh_roe_ttm,fh_op_margin_ttm,fh_insider_cluster_30d,fh_insider_n_buyers_30d,fh_analyst_bull_ratio,fh_analyst_total,fh_days_to_earnings,rationale
CAVA,CAVA GROUP INC,Consumer Discretionary,100.0,True,7,95.68,99.7,43.59,199,119.5,-4.0,10.5,40.7,41.8,-22.7,0.05,-0.129,176.6398,,-93.71,20.93,8.43,4.69,0.0,0,0.5714285714285714,35.0,19.0,"days<MA200=199, off_low=+119%, off_high=-4%, slope: -0.13->0.05, rs3m=+39% rs6m=+39%, [7/7 checks]"
DVA,DAVITA INC,Health Care,100.0,True,7,151.85,156.76,103.87,194,46.2,-3.1,-10.8,36.9,10.7,-24.0,0.045,-0.141,13.8671,1.481527777777778,6.32,9.87,181.22,14.88,0.0,0,0.42857142857142855,14.0,11.0,"days<MA200=194, off_low=+46%, off_high=-3%, slope: -0.14->0.05, rs3m=+36% rs6m=+10%, [7/7 checks]"
SIRI,SIRIUSXM HOLDINGS INC,Communication,100.0,True,7,26.61,28.06,19.5,145,36.5,-5.2,7.0,26.2,15.4,-6.8,0.033,-0.046,11.6339,0.23212090981644057,-67.05,0.23,7.049999999999999,17.19,0.0,0,0.19047619047619047,21.0,6.0,"days<MA200=145, off_low=+36%, off_high=-5%, slope: -0.05->0.03, rs3m=+25% rs6m=+14%, [7/7 checks]"
EOG,EOG RESOURCES INC,Energy,95.0,True,6,133.13,149.89,101.78,163,30.8,-11.2,-15.7,19.3,18.4,-14.0,0.086,-0.08,14.4202,,-42.2,0.82,16.76,28.17,0.0,0,0.5384615384615384,39.0,11.0,"days<MA200=163, off_low=+31%, off_high=-11%, slope: -0.08->0.09, rs3m=+19% rs6m=+17%, [6/7 checks]"
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,95.0,True,6,108.53,129.37,79.54,194,36.4,-16.1,-0.2,5.0,0.7,-31.6,-0.006,-0.069,14.5334,0.4600633111744223,10.91,7.14,41.36,23.82,0.0,0,0.5757575757575758,33.0,89.0,"days<MA200=194, off_low=+36%, off_high=-16%, slope: -0.07->-0.01, rs3m=+5% rs6m=+1%, [6/7 checks]"
MAS,MASCO CORP,Industrials,85.0,True,6,74.18,77.82,58.6,156,26.6,-4.7,11.9,4.3,0.6,-8.3,-0.01,-0.023,18.6761,,-5.97,-1.91,279.76,16.5,0.0,0,0.4074074074074074,27.0,,"days<MA200=156, off_low=+27%, off_high=-5%, slope: -0.02->-0.01, rs3m=+4% rs6m=+1%, [6/7 checks]"
LBTYK,LIBERTY GLOBAL LTD CLASS C,Communication,85.0,True,6,11.5,12.67,9.32,104,23.4,-9.2,-12.7,2.0,-3.9,-29.1,0.08,-0.054,,,,-37.62,-59.330000000000005,-0.89,0.0,0,0.5263157894736842,19.0,7.0,"days<MA200=104, off_low=+23%, off_high=-9%, slope: -0.05->0.08, rs3m=+2% rs6m=-4%, [6/7 checks]"
CNA,CNA FINANCIAL CORP,Financials,85.0,True,6,48.18,50.1,43.33,105,11.2,-3.8,-2.9,0.5,-0.9,-33.5,0.006,-0.024,10.3089,0.7875401069518716,1339.87,3.77,11.65,11.71,0.0,0,0.1,10.0,10.0,"days<MA200=105, off_low=+11%, off_high=-4%, slope: -0.02->0.01, rs3m=+1% rs6m=-1%, [6/7 checks]"
ELS,EQUITY LIFESTYLE PROPERTIES RE,Real Estate,80.0,True,5,63.29,68.37,58.43,147,8.3,-7.4,-8.3,-4.7,-7.0,-32.5,0.01,-0.047,31.5195,3.072076023391813,4.58,0.07,22.12,33.73,0.0,0,0.6666666666666666,21.0,87.0,"days<MA200=147, off_low=+8%, off_high=-7%, slope: -0.05->0.01, rs3m=-5% rs6m=-7%, [5/7 checks]"
WH,WYNDHAM HOTELS RESORTS INC,Consumer Discretionary,80.0,True,5,85.88,92.0,69.31,205,23.9,-6.7,-0.2,7.4,-0.1,-30.1,0.008,-0.078,33.3436,,,-2.05,35.089999999999996,28.27,0.0,0,0.84,25.0,88.0,"days<MA200=205, off_low=+24%, off_high=-7%, slope: -0.08->0.01, rs3m=+7% rs6m=-0%, [5/7 checks]"
PVH,PVH CORP,Consumer Discretionary,80.0,True,6,93.64,98.81,60.87,158,53.8,-5.2,30.9,49.0,3.8,-3.2,0.077,-0.004,172.0105,,,5.63,0.53,2.58,0.0,0,0.6111111111111112,18.0,39.0,"days<MA200=158, off_low=+54%, off_high=-5%, slope: -0.00->0.08, rs3m=+47% rs6m=+4%, [6/7 checks]"
CROX,CROCS INC,Consumer Discretionary,80.0,True,6,102.32,120.26,73.39,201,39.4,-14.9,19.1,15.6,15.7,-26.5,-0.062,-0.096,,,-67.78,-3.25,-5.37,3.7,0.0,0,0.43478260869565216,23.0,,"days<MA200=201, off_low=+39%, off_high=-15%, slope: -0.10->-0.06, rs3m=+15% rs6m=+15%, [6/7 checks]"
IRM,IRON MOUNTAIN INC,Real Estate,80.0,True,6,116.03,120.53,78.86,133,47.1,-3.7,6.7,20.4,4.7,4.4,0.027,0.005,241.1868,,-14.44,16.56,85.19,16.86,0.0,0,0.875,16.0,6.0,"days<MA200=133, off_low=+47%, off_high=-4%, slope: 0.01->0.03, rs3m=+20% rs6m=+4%, [6/7 checks]"
MSI,MOTOROLA SOLUTIONS INC,Information Technology,80.0,True,5,438.26,490.3,363.83,131,20.5,-10.6,-11.5,5.5,-8.8,-30.0,0.034,-0.046,34.1238,1.8445297297297298,8.11,12.29,103.24,25.54,0.0,0,0.7894736842105263,19.0,6.0,"days<MA200=131, off_low=+20%, off_high=-11%, slope: -0.05->0.03, rs3m=+5% rs6m=-8%, [5/7 checks]"
PCG,PG&E CORP,Utilities,80.0,True,5,16.61,19.11,13.0,132,27.8,-13.1,-13.5,7.5,-6.7,-38.6,0.101,-0.034,13.6408,,-2.37,2.61,8.55,19.05,0.0,0,0.7272727272727273,22.0,,"days<MA200=132, off_low=+28%, off_high=-13%, slope: -0.03->0.10, rs3m=+7% rs6m=-6%, [5/7 checks]"
PENN,PENN ENTERTAINMENT INC,Consumer Discretionary,80.0,True,6,17.24,20.47,11.76,185,46.6,-15.8,8.9,17.2,-8.8,-19.9,-0.058,-0.073,,,,8.22,-34.57,-6.76,0.0,0,0.6153846153846154,26.0,,"days<MA200=185, off_low=+47%, off_high=-16%, slope: -0.07->-0.06, rs3m=+17% rs6m=-8%, [6/7 checks]"
GLPI,GAMING AND LEISURE PROPERTIES ,Real Estate,80.0,True,5,47.31,49.82,41.33,167,14.5,-5.0,-5.0,0.6,-2.1,-37.9,-0.01,-0.056,15.8308,3.122445759368836,19.36,4.47,18.360000000000003,75.1,0.0,0,0.7,30.0,89.0,"days<MA200=167, off_low=+14%, off_high=-5%, slope: -0.06->-0.01, rs3m=+1% rs6m=-2%, [5/7 checks]"
XYZ,BLOCK INC CLASS A,Financials,80.0,True,6,71.63,81.11,46.53,151,53.9,-11.7,10.7,3.6,-12.6,-4.6,-0.016,0.068,31.2109,0.8546248630887184,-93.82,3.65,5.91,7.06,0.0,0,0.8163265306122449,49.0,13.0,"days<MA200=151, off_low=+54%, off_high=-12%, slope: 0.07->-0.02, rs3m=+3% rs6m=-12%, [6/7 checks]"
WSC,WILLSCOT HOLDINGS CORP CLASS A,Industrials,80.0,True,6,22.66,31.65,14.98,245,51.3,-28.4,12.8,3.7,-1.8,-36.3,-0.201,-0.171,,,,-6.07,-5.35,7.72,0.0,0,0.5,14.0,5.0,"days<MA200=245, off_low=+51%, off_high=-28%, slope: -0.17->-0.20, rs3m=+4% rs6m=-2%, [6/7 checks]"
SAM,BOSTON BEER INC CLASS A,Consumer Staples,80.0,True,5,236.4,260.05,187.06,179,26.4,-9.1,-3.3,3.7,1.2,-37.0,0.075,-0.065,23.3045,,,-4.13,12.16,7.37,0.0,0,0.045454545454545456,22.0,89.0,"days<MA200=179, off_low=+26%, off_high=-9%, slope: -0.07->0.08, rs3m=+4% rs6m=+1%, [5/7 checks]"
SBAC,SBA COMMUNICATIONS REIT CORP C,Real Estate,80.0,True,6,219.47,243.4,165.15,151,32.9,-9.8,24.2,13.7,4.3,-35.3,-0.083,-0.071,21.3266,0.1851267361111111,116.2,3.73,-1.71,47.7,0.0,0,0.6,25.0,5.0,"days<MA200=151, off_low=+33%, off_high=-10%, slope: -0.07->-0.08, rs3m=+13% rs6m=+4%, [6/7 checks]"
CHH,CHOICE HOTELS INTERNATIONAL IN,Consumer Discretionary,75.0,True,5,119.07,135.29,84.4,230,41.1,-12.0,11.1,10.0,8.9,-37.7,-0.089,-0.131,14.7829,0.349064935064935,-13.93,0.1,147.23999999999998,28.08,0.0,0,0.13043478260869565,23.0,6.0,"days<MA200=230, off_low=+41%, off_high=-12%, slope: -0.13->-0.09, rs3m=+10% rs6m=+8%, [5/7 checks]"
