ticker,Name,sector,industry_group,source_universe,selected_main_current,selected_concentrated_current,current_main_weight,current_concentrated_weight,decision_bucket,selection_pressure_score,score,concentrated_score,portfolio_monster_early_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,relative_strength_composite,oneil_leadership_score,portfolio_candidate_minimum_pass,portfolio_candidate_gate_label,portfolio_risk_entry_block_score,portfolio_stale_mega_leader_score,portfolio_stale_leader_reason,portfolio_defensive_rotation_action,entry_quality_score,concentrated_entry_quality_gate_pass,selection_confirmation_score,trend_template_full,breakout_setup_quality_score,price_above_ma50,price_above_ma200,market_cap_live,dollar_vol_20d,sales_growth_yoy,eps_growth_yoy,revenues_ttm,months_held_main,first_held_main,last_held_main,months_held_concentrated,first_held_concentrated,last_held_concentrated
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,True,True,0.05701102776964,0.1984953561888891,selected_both,0.6412993421052632,4.7274342595825445,,0.5520657295964382,0.4657013791410246,0.4076667762109722,,0.0465231308541041,False,rejected,0.1333333333333333,0.0,,neutral,0.3191642702501924,,1.0,1.0,0.1641360237272887,1.0,1.0,,2304153608.8679886,0.4208728521145077,,8194600000.0,0,,,0,,
WDC,WESTERN DIGITAL CORP,Information Technology,Tech Hardware & Storage,current_constituents_proxy+strategic_global_hardware,True,True,0.0525270453633083,0.2756879947067905,selected_both,0.6333388157894737,4.601821976996216,,0.4169820691259863,0.5994146734241579,0.4895899224107329,,0.5052886301248594,True,future_relaxed,0.346875,0.0,,neutral,0.0,,1.0,0.0,-0.5982138969910209,0.0,1.0,,2494128845.952759,0.0,0.0,2605000000.0,3,2025-11-28,2026-01-30,5,2023-01-31,2026-01-30
PR,PERMIAN RESOURCES CORP CLASS A,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,True,False,0.04,0.0,selected_main,0.6667351973684211,4.033495830701595,,0.5823152688446438,0.671091119809217,0.6219188186162714,,0.8981112267751582,True,early_relaxed,0.325,0.0,,promote_monster_early,0.0,,1.0,1.0,0.5726562017156762,1.0,1.0,,296382456.2846565,0.6023407402945247,0.0,5000734000.0,4,2024-04-30,2026-02-27,4,2025-06-30,2026-02-27
VRT,VERTIV HOLDINGS CLASS A,Industrials,Capital Goods - Machinery,current_constituents_proxy+strategic_global_hardware,True,False,0.05701102776964,0.0,selected_main,0.637796052631579,4.710222206958523,,0.4741004971213096,0.4887452307728754,0.3933948134830815,,0.2125715245937383,True,future_relaxed,0.3333333333333333,0.0,,neutral,0.0,,1.0,1.0,-0.0962363845015352,1.0,1.0,,3012276945.3608704,0.2768541401432887,0.0,10229900000.0,11,2023-08-31,2026-02-27,0,,
FTI,TECHNIPFMC PLC,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,True,False,0.0487611691928266,0.0,selected_main,0.6353618421052631,2.041091932102682,,0.5793973850973819,0.671091119809217,0.6219188186162714,,1.3471668401627377,True,future_relaxed,0.1083333333333333,0.0,,neutral,0.0,,1.0,1.0,0.4230323873672882,1.0,1.0,,300120034.188385,0.0935012605550846,0.1936415727054996,9932600000.0,1,2026-02-27,2026-02-27,0,,
GEV,GE VERNOVA INC,Industrials,Capital Goods - Machinery,current_constituents_proxy,True,False,0.1193116586282239,0.0,selected_main,0.6248519736842105,5.050889697388276,,0.4683978366293669,0.289344000333281,0.2573214929265841,,0.2772672059918325,False,rejected,0.2416666666666667,0.0,,neutral,0.0,,1.0,1.0,0.1777352170131807,1.0,1.0,,2282230685.8380127,,,34935000000.0,2,2025-07-31,2025-08-29,3,2025-07-31,2025-09-30
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,True,False,0.05701102776964,0.0,selected_main_stale_review,0.5949506578947368,4.605808324267308,,0.3339803952412676,0.3909747575802871,0.2042806097583492,,0.5815391356763024,True,core_strict,0.2791666666666667,0.7448122430124093,broad_relative_breakdown,rotate_out_stale_core,1.0,,1.0,0.0,-0.2010736817387015,0.0,1.0,,6855813914.144745,0.3433779329067288,1.6287165913347763,34639000000.0,11,2019-04-30,2024-02-29,2,2023-05-31,2025-10-31
GOOG,ALPHABET INC CLASS C,Communication,Internet Content & Information,current_constituents_proxy,True,False,0.14,0.0,selected_main_stale_review,0.5737664473684211,6.750497988315606,,0.3105541963481832,0.4076457985962451,0.280226381917287,,0.0024869449284275,True,core_strict,0.1875,0.6867640980594163,broad_relative_breakdown,rotate_out_stale_core,0.8533172075387252,,1.0,0.0,-0.0052809194150155,0.0,1.0,,6119035801.204834,0.1386624332290156,0.3843695538221552,350018000000.0,17,2020-11-30,2026-02-27,11,2020-08-31,2021-12-31
CBOE,CBOE GLOBAL MARKETS INC,Financials,Capital Markets,current_constituents_proxy,True,False,0.0480349769352535,0.0,selected_main,0.48832236842105264,2.0716216115682897,,0.3341154561371122,0.1251656830027598,0.1221871933361038,,-0.3043744087403759,True,future_relaxed,0.0135416666666666,0.0,,neutral,0.7629247872845262,,1.0,0.0,0.2930933512628123,0.0,1.0,,261258374.6627808,0.0,0.0,4714200000.0,6,2023-11-30,2024-04-30,3,2019-07-31,2019-09-30
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Communication Equipment,current_constituents_proxy+strategic_global_hardware,True,False,0.04,0.0,selected_main,0.4607401315789474,1.0010424687850468,,0.4518937573854395,0.1186883437579187,0.0582140565866082,,-0.3733333333333334,True,early_relaxed,0.2581770833333334,0.0,,neutral,0.8934215537403289,,1.0,0.0,-0.1276270482944195,1.0,1.0,,496046293.2887936,0.1383808543831115,,34296000000.0,0,,,1,2022-03-31,2022-03-31
