rebalance_date,net_return,drawdown,regime_state
2022-03-31,-0.14817149712093486,-0.24405735100285542,
2021-12-31,-0.1433058649215071,-0.15096950540353793,
2024-11-29,-0.08603912298650529,-0.08603912298650529,
2019-04-30,-0.06875719883585818,-0.06875719883585818,
2026-01-30,-0.06863738213606657,-0.06863738213606663,
2022-08-31,-0.0671106707278795,-0.3177988623430802,
2022-05-31,-0.06597809129358628,-0.29457103164159515,
2025-10-31,-0.06544056026745117,-0.06544056026745115,
2020-02-28,-0.06402817120225933,-0.09566014173561699,
2021-08-31,-0.0578330707920136,-0.05783307079201361,
