recommendation_date,as_of_date,recommended_next_review_date,recommendation_semantics,portfolio_kind,rank,ticker,company_name,sector,recommended_weight,current_account_weight,projected_account_weight_after_orders,trade_action_from_current,trade_value_delta_usd,estimated_order_quantity,target_value_per_100k_usd,reference_price,reference_price_date,reference_price_source,estimated_shares_per_100k,suggested_action,buy_logic,score,monster_early_score,stale_leader_score,risk_entry_block_score
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,1,GOOG,ALPHABET INC CLASS C,Communication,0.14,0.0765554896651784,0.1404824836818129,BUY,23148.997726750524,58.0,14000.000000000002,399.0400085449219,2026-05-13,price_cache_latest_close,35,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,6.754686846169792,0.0,0.0,0.0
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,2,GEV,GE VERNOVA INC,Industrials,0.1193116586282239,0.0,0.1168996701018872,BUY,43533.24345611184,40.0,11931.16586282239,1062.5699462890625,2026-05-13,price_cache_latest_close,11,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,6.822326686189858,0.0,0.0,0.0
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,3,AMD,ADVANCED MICRO DEVICES INC,Information Technology,0.05701102776964,0.0,0.0563639350935083,BUY,20801.613020169585,46.0,5701.102776964,445.5,2026-05-13,price_cache_latest_close,12,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,6.387915464178056,0.0,0.0,0.0
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,4,MRVL,MARVELL TECHNOLOGY INC,Information Technology,0.05701102776964,0.0,0.0567742937117145,BUY,20801.613020169585,116.0,5701.102776964,177.9499969482422,2026-05-13,price_cache_latest_close,32,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,6.998847120312604,0.0,0.0,0.0
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,5,VRT,VERTIV HOLDINGS CLASS A,Industrials,0.05701102776964,0.0344771016539822,0.0569867340316114,BUY,8221.953352200835,22.0,5701.102776964,369.989990234375,2026-05-13,price_cache_latest_close,15,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,7.399095852812703,0.0,0.0,0.0
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,6,WDC,WESTERN DIGITAL CORP,Information Technology,0.0525270453633083,0.0,0.0516399036934438,BUY,19165.542413222345,38.0,5252.70453633083,494.0899963378906,2026-05-13,price_cache_latest_close,10,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,6.871066588492651,0.0,0.0,0.0
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,7,FIX,COMFORT SYSTEMS USA INC,Industrials,0.0509525870729817,0.0,0.050364406471023,BUY,18591.06983566933,9.0,5095.25870729817,2034.6300048828125,2026-05-13,price_cache_latest_close,2,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,4.134659429061559,0.0,0.0,0.0
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,8,UMC,United Microelectronics,Semiconductors,0.0493794794984856,0.0,0.0495223718083454,BUY,18017.090093785224,1131.0,4937.94794984856,15.920000076293945,2026-05-13,price_cache_latest_close,310,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,3.820799037361198,0.0,0.0,0.0
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,9,FTI,TECHNIPFMC PLC,Energy,0.0487611691928266,0.0290823591759451,0.0487753632962714,BUY,7180.207175401865,98.0,4876.11691928266,72.68000030517578,2026-05-13,price_cache_latest_close,67,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,2.3462636078838144,0.0,0.0,0.0
2026-05-13,2026-05-13,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,10,CBOE,CBOE GLOBAL MARKETS INC,Financials,0.0480349769352535,0.0,0.0474028603562589,BUY,17526.521459625747,47.0,4803.49769352535,366.70001220703125,2026-05-13,price_cache_latest_close,13,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,3.04976840579888,0.0,0.0,0.0
