as_of_date,recommendation_date,current_account_last_trade_date,current_account_stale_days,pending_order_count_to_recommendation,portfolio_kind,row_type,ticker,shares,current_price,market_value_usd,current_weight,recommended_target_weight,projected_weight_after_recommendation_orders,recommended_trade_action,recommended_trade_quantity,recommended_trade_value_delta_usd,cost_basis,avg_entry_price,entry_date,latest_entry_date,entry_signal_date,return_since_entry_pct,unrealized_pnl_usd,realized_pnl_usd,entry_reason,entry_sleeve,open_lot_count
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,MU,43.0,751.239990234375,32303.319580078125,0.0878411769260422,0.0,,SELL,43.0,-32303.319580078125,240.01231825086805,247.2410888671875,2025-12-01,2026-01-02,2025-11-28,2.0384916749736717,21982.7898952908,17329.87053893619,target_rebalance,"core_compounder,future_winner",2
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,AMAT,74.0,428.260009765625,31691.24072265625,0.0861767743845572,0.0,,SELL,74.0,-31691.24072265625,353.0712115313556,353.0712115313556,2026-02-02,2026-03-02,2026-01-30,0.21295646820979064,5563.9710693359375,-205.62172981262157,target_rebalance,"core_compounder,future_winner",2
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,LRCX,72.0,288.2900085449219,20756.88061523437,0.0564433886751378,0.0609664208489582,0.0605663747503428,BUY,5.0,1663.3310127995246,150.94014312527705,156.58387671576605,2025-11-03,2025-12-01,2025-10-31,0.8411219251406785,9889.190310214428,9848.797506949037,target_rebalance,future_winner,2
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,APH,135.0,127.55999755859376,17220.599670410156,0.0468273156469631,0.0,,SELL,135.0,-17220.599670410156,134.71176480781455,134.81398891872828,2025-10-01,2026-03-02,2025-09-30,-0.05380740840260678,-965.4885786448104,4007.53072828394,target_rebalance,future_winner,2
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,ETR,150.0,112.95500183105467,16943.250274658203,0.0460731300815389,0.0,,SELL,150.0,-16943.250274658203,106.0512237548828,106.0512237548828,2026-03-02,2026-03-02,2026-02-27,0.06509852344682643,1035.5667114257812,2851.283836107254,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,VRT,43.0,367.6950073242188,15810.885314941406,0.0429939335139924,0.0609664208489582,0.0601935900962283,BUY,17.0,6609.326313092493,257.68865966796875,257.68865966796875,2026-03-02,2026-03-02,2026-02-27,0.4268963477011094,4730.27294921875,716.3254071998585,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,VZ,287.0,48.07500076293945,13797.525218963625,0.0375190806906409,0.0,,SELL,287.0,-13797.525218963625,49.239402770996094,49.239402770996094,2026-03-02,2026-03-02,2026-02-27,-0.023647768708163874,-334.18337631225586,-436.7220465660095,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,GOOG,36.0,382.9500122070313,13786.200439453123,0.0374882856524355,0.1789140872012445,0.1786691047429936,BUY,135.0,52008.89860738485,306.0150621202257,312.1134541829427,2026-01-02,2026-03-02,2025-12-31,0.22695772026081373,2769.658203125,8075.388715190884,target_rebalance,core_compounder,2
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,KO,149.0,80.16500091552734,11944.585136413574,0.032480451851857,0.0,,SELL,149.0,-11944.585136413574,79.67218017578125,79.67218017578125,2026-03-02,2026-03-02,2026-02-27,0.006185606301456481,73.43029022216797,329.37371605873113,target_rebalance,core_compounder,1
2026-05-12,2026-05-12,2026-03-02,71,45,main,equity,ADI,27.0,417.5799865722656,11274.659637451172,0.030658749158555,0.0,,SELL,27.0,-11274.659637451172,351.3099975585937,351.3099975585937,2026-03-02,2026-03-02,2026-02-27,0.18863678652532223,1789.2897033691406,-431.90126953125,target_rebalance,future_winner,1
