etf,theme,label,price_status,price_date,ret_1d,ret_5d,ret_21d,ret_63d,volume_z_20d,dollar_volume_20d,holdings,attention_score
SMH,semiconductors_broad,VanEck Semiconductor ETF,ok,2026-05-15,-0.03803990555455361,-0.018003938940709174,0.22326306461714873,0.3645149249234796,1.05366347838896,5119468993.511963,"NVDA,TSM,AVGO,ASML,AMD,MU,INTC,QCOM,LRCX,AMAT,KLAC,ARM",1.3357698591770106
XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,ok,2026-05-15,-0.02763671517492361,-0.00830065815145975,0.3601870995483769,0.5167341119404285,0.023549883760937595,69076873.78097534,"AMD,INTC,MU,MRVL,ON,MCHP,LSCC,MPWR,TER,ALAB,CRUS,ONTO",1.3182461342704352
SOXX,semiconductors_broad,iShares Semiconductor ETF,ok,2026-05-15,-0.04058268229016726,-0.022640782348017696,0.25266651982345745,0.43470732696632086,0.6721386924035699,3670144837.2521973,"NVDA,AVGO,AMD,MU,INTC,QCOM,MRVL,LRCX,AMAT,KLAC,MCHP,ON,MPWR",1.3144391503151291
DRAM,memory_semiconductors,Roundhill Memory ETF,ok,2026-05-15,-0.05000933994462409,-0.032196984611814417,0.4583332516831371,,0.43167921737711273,1312828962.783966,"MU,SNDK,WDC,STX",1.1034650747951744
XBI,biotech_small,SPDR Biotech ETF,ok,2026-05-15,-0.03084911734387319,-0.02984191279122783,-0.03521337690862991,0.0637310906084676,0.8599512406344079,1049416411.3267517,"EXEL,INSM,CRSP,BEAM,EDIT",0.19933183977393976
ARKK,innovation_beta,ARK Innovation ETF,ok,2026-05-15,-0.03974357018103969,-0.05333671731811751,-0.03154893880976706,0.0661921925392015,2.116447511621282,614131543.9094162,"TSLA,COIN,ROKU,HOOD,CRSP,PATH,PLTR",0.04565142442472775
XME,metals_mining,SPDR Metals & Mining ETF,ok,2026-05-15,-0.04447387640343148,-0.04431583915330939,-0.0031907791436984745,-0.01840262007884852,0.3956079432725221,264135595.33634186,"MP,FCX,CLF,X,NUE,STLD,AA",-0.20315589229386216
ITA,aerospace_defense,iShares U.S. Aerospace & Defense ETF,ok,2026-05-15,-0.03203244331437527,-0.027831227651445856,-0.051346961400320246,-0.07433461860706769,-0.6682618617602104,211790000.3427887,"RTX,LMT,NOC,GD,RKLB,KTOS,HWM",-0.3223538864703066
NLR,nuclear_power,VanEck Uranium and Nuclear ETF,ok,2026-05-15,-0.03655284698836181,-0.07950036782258563,-0.10842216984076414,-0.08688924958068411,1.166888585446884,69408593.13964844,"CEG,BWXT,CCJ,LEU,SMR,OKLO",-0.9401498094578165
URA,nuclear_uranium,Global X Uranium ETF,ok,2026-05-15,-0.0489523751395089,-0.09514316728823147,-0.09661661133273591,-0.03814293099704258,0.14496251101516938,230623334.80638504,"CCJ,UEC,UUUU,LEU,NXE,DNN",-1.1093508045070006
