sector,member_count,active_count_1d_gt_8pct,active_count_5d_gt_20pct,breadth_21d_positive,median_ret_5d,median_ret_21d,median_ret_63d,top_participation_score,top_bubble_climax_score,top_early_leadership_score,dollar_volume_20d_sum,top_tickers,leadership_state,leadership_score
Semiconductors,3,0,0,1.0,0.03785705167796394,0.4772672672176643,0.6506718461615342,1.9833921058855746,1.456912695694182,2.8930698422182224,2105862730.0583887,"UMC,STM,NXPI",emerging_leader,2.4710054216805526
Energy,38,0,0,0.7894736842105263,0.0530482687084054,0.0472628567219574,0.11462606242923856,1.3684585222826708,1.7227945486652314,1.3594174681599038,17107343615.408382,"OXY,XOM,TRGP,DVN,CHRD,FANG,MPC,EOG",neutral,1.6883783281454876
Information Technology,108,0,1,0.6851851851851852,-0.025149761713407548,0.09011482447642749,0.17194146466260984,2.6961422987169748,2.25545797387361,3.1533069395442315,259690052128.2464,"CSCO,PANW,ALAB,CRWD,MU,SNDK,STX,FTNT",neutral,1.6079657466707098
Consumer Staples,40,0,0,0.475,-0.004997102393002717,-0.002623522718189719,-0.07714385623834297,1.060761913052659,1.1010487812835277,1.0417993141869855,16608451207.615871,"PM,MO,COST,KO,CASY,WMT,SFM,ADM",neutral,0.5168575978076912
Health Care,66,0,0,0.3333333333333333,-0.0029892288044945925,-0.03555399145315363,-0.08740099686511926,1.2354806224577057,1.1109838335251025,1.422877973218932,35766733474.6707,"UNH,CVS,DVA,ELV,LLY,NBIX,JAZZ,ABBV",neutral,0.46677042297625426
Industrials,150,0,0,0.37333333333333335,-0.028595741059249558,-0.01933214701367053,-0.08027326676832253,1.607915198432444,1.3785651006900213,2.1529165751775805,53939779888.22168,"RKLB,BE,NXT,PWR,AAON,ST,FIX,JBHT",neutral,0.38631396738253393
Financials,121,0,0,0.36363636363636365,-0.014156285513028166,-0.02367004049000232,-0.026370385202957425,0.8133299638386436,0.8361137547684,0.8601390978820238,35508717764.09566,"CBOE,AIZ,APO,BEN,GS,SCHW,MS,PGR",neutral,0.29592845756187747
Communication,11,0,0,0.36363636363636365,-0.018000895104714365,-0.008764426210151166,0.0010459518412986313,0.7210926050769719,0.4876361721249266,0.5233076382708031,22938138026.308384,"GOOGL,TTWO,GOOG,LYV,VZ,EA,DIS,TMUS",neutral,0.25624992116633666
Real Estate,45,0,0,0.37777777777777777,-0.027845431597882886,-0.011535481541608883,-0.0001832429265297142,0.3297134406514796,0.2430877241547215,0.4129255050426358,7856301579.797764,"DOC,WELL,EQIX,UDR,VTR,AVB,IRM,AMT",neutral,-0.12114697983148157
Utilities,37,0,0,0.08108108108108109,-0.012017901112109541,-0.050947712131825695,-0.04918275073003453,0.16833975903279158,0.21906945840137212,0.014217265602047863,10698096357.6749,"NEE,SO,AWK,AES,D,DUK,SRE,ETR",neutral,-0.19818040738485831
Consumer Discretionary,72,0,0,0.25,-0.04897907396082396,-0.06649108392846542,-0.07805576643053841,1.1065690586073949,0.8753195537464662,1.2688999798676455,57683388452.46806,"ARMK,EBAY,AMZN,TSLA,SBUX,HRB,MUSA,TXRH",neutral,-0.29081176846476975
Materials,45,0,0,0.26666666666666666,-0.05277444869064929,-0.05167915708401283,-0.13131389369729551,0.6973479710170908,0.5608362675235288,0.9199524402679709,11953662465.95928,"CF,LYB,LIN,DOW,NUE,STLD,CTVA,ESI",neutral,-0.5549030457107847
Internet,3,0,0,0.0,-0.029864314483677323,-0.07598107533488307,-0.050573069929864434,-0.17105805376709904,-0.2853967727120267,-0.39273642050904095,1854023312.712059,"PDD,MELI,NTES",neutral,-0.9038506954001595
Financial,6,0,0,0.16666666666666666,-0.027554485274334906,-0.054337773340865425,-0.07358128100170436,-0.3880151040512491,-0.19869319376707786,-0.25564853126510145,615325368.8343048,"SLF,IBN,MFC,HDB,SAN,CIB",neutral,-0.9170829751733078
Software,1,0,0,0.0,-0.07292413480376692,-0.1598798556512816,-0.15009068866360364,-0.8926480765421143,-0.5627347728015688,-0.8150010957563478,40674833.427791595,GIB,lagging,-2.6409671749206924
