ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
AMD,16963.200439453125,0.1344104465804183,6572.159820556641,0.0703909907499458,-10391.040618896484
PENN,8013.599670410156,0.0634969511950922,664.4399971961975,0.0071164717495519,-7349.159673213959
NOW,14380.343742370604,0.113944796637342,7287.791996002197,0.0780557553353398,-7092.551746368406
STM,7133.389595031738,0.0565224754917319,1042.2157516479492,0.0111626316670255,-6091.173843383789
UI,5677.071731567383,0.0449831238764541,0.0,0.0,-5677.071731567383
PCTY,6588.119812011719,0.0522019491085106,1097.459991455078,0.0117543240298753,-5490.659820556641
FTNT,6603.680042266846,0.0523252429117614,1254.9279918670654,0.0134408820051915,-5348.75205039978
PAYC,6326.199951171875,0.0501265880591955,1312.8207550048828,0.0140609413259914,-5013.379196166992
QRVO,6254.399871826172,0.0495576694306731,1314.3599395751953,0.0140774267325868,-4940.039932250977
TSLA,7645.166397094727,0.0605776152491326,3154.654644012451,0.0337878676004483,-4490.511753082275
SHOP,7441.97688293457,0.0589676128538768,2964.103881835937,0.0317469773445832,-4477.873001098633
DXCM,7948.279800415039,0.062979379471056,3870.990074157715,0.041460164381713,-4077.289726257324
SE,7116.800106048584,0.0563910262035668,4573.63990020752,0.0489858817647899,-2543.1602058410635
RNG,7686.964553833008,0.0609088091729139,5742.630767822266,0.0615063358614268,-1944.3337860107422
