split,feature,rows,auc,spearman
holdout,crisis_score,1690,0.47492660912237655,-0.02196081352002418
holdout,cash_raise_confirmation_score,1690,0.42050782105770496,-0.06962415347608708
holdout,liquidity_confirmation_score,1690,0.34969657801340753,-0.131670957428143
holdout,market_trend_damage_score,1690,0.5076047189238926,0.006684275389797643
holdout,volatility_stress_score,1690,0.5368597467467029,0.03301636875987284
holdout,credit_stress_score,1690,0.4396907724663716,-0.07270703339669422
holdout,rate_shock_score,1690,0.6198708539631074,0.10499786544359682
holdout,vix_zscore_252d,1690,0.6310793935941813,0.11480737220942304
holdout,hy_oas_zscore_252d,733,0.19047619047619047,-0.22232438743669297
holdout,m2_6m_change_lag1m,1690,0.39346547342592997,-0.09331349906179066
holdout,net_liquidity_13w_change_pct,1690,0.4657582263506112,-0.029991046021679783
holdout,fed_assets_13w_change_pct,1690,0.39248784121281166,-0.09416613819407138
holdout,reverse_repo_13w_change_pct,1664,0.4632590439276486,-0.032412757250054595
holdout,tga_13w_change_pct,1690,0.6072383122288919,0.0939262855751359
holdout,dxy_ret_20d,1690,0.5178931341190904,0.01567190438192074
test,crisis_score,2223,0.3026893077673058,-0.10233329592686949
test,cash_raise_confirmation_score,2223,0.2748889611093056,-0.11675208421201308
test,liquidity_confirmation_score,2223,0.30719857003574913,-0.10003721939318916
test,market_trend_damage_score,2223,0.33037681002419383,-0.08828460705147478
test,volatility_stress_score,2223,0.3989184992597407,-0.054236898413239705
test,credit_stress_score,2223,0.5,
test,rate_shock_score,2223,0.4208328819557289,-0.04106852035122915
test,vix_zscore_252d,2174,0.50012794845935,5.254823367508124e-05
test,hy_oas_zscore_252d,0,,
test,m2_6m_change_lag1m,2097,0.6483621147300378,0.062025926155944454
test,net_liquidity_13w_change_pct,2158,0.5608838740009403,0.025096105894974376
test,fed_assets_13w_change_pct,2158,0.5779607807452568,0.03213520827230553
test,reverse_repo_13w_change_pct,2158,0.3876882478729696,-0.046309808638533095
test,tga_13w_change_pct,2158,0.5284589835752309,0.011730710694092273
test,dxy_ret_20d,2203,0.3091319284212685,-0.08382820437530074
all,crisis_score,3913,0.44842802382421487,-0.036110766788919745
all,cash_raise_confirmation_score,3913,0.40509157872189416,-0.06645511244028289
all,liquidity_confirmation_score,3913,0.3641696851891519,-0.09513573986720687
all,market_trend_damage_score,3913,0.47220987816145604,-0.019527551773748732
all,volatility_stress_score,3913,0.5031043092672104,0.0022366514123829274
all,credit_stress_score,3913,0.4902506785681174,-0.01338260283518157
all,rate_shock_score,3913,0.5756335700195977,0.05296544594654645
all,vix_zscore_252d,3864,0.6190055252663347,0.0788634175495756
all,hy_oas_zscore_252d,733,0.19047619047619047,-0.22232438743669297
all,m2_6m_change_lag1m,3787,0.4366907752111834,-0.042361896044164155
all,net_liquidity_13w_change_pct,3848,0.48312553878617104,-0.011204790533946067
all,fed_assets_13w_change_pct,3848,0.44404619453833954,-0.03715384496916712
all,reverse_repo_13w_change_pct,3822,0.42953028830579854,-0.04694810570238131
all,tga_13w_change_pct,3848,0.5626885177199764,0.04162575627337448
all,dxy_ret_20d,3893,0.4459474669030234,-0.03626919642678511
