status,split,rows,crisis_gate,liquidity_gate,trend_gate,tp,fp,fn,tn,precision,recall,signal_rate,false_positive_rate,whipsaw_rate,score
ok,train,1760,0.35,0.2,0.2,0,39,20,1701,0.0,0.0,0.02215909090909091,0.022413793103448276,0.9230769230769231,-0.3454015704123463
ok,validation,783,0.35,0.2,0.2,9,41,74,659,0.18,0.10843373493975904,0.06385696040868455,0.05857142857142857,0.48,-0.056987629774709114
ok,test,587,0.35,0.2,0.2,0,84,31,472,0.0,0.0,0.14310051107325383,0.1510791366906475,0.38095238095238093,-0.281619951057893
ok,holdout,783,0.35,0.2,0.2,0,32,33,718,0.0,0.0,0.04086845466155811,0.042666666666666665,0.8125,-0.3264122924648787
ok,train,1760,0.35,0.2,0.35,0,34,20,1706,0.0,0.0,0.019318181818181818,0.01954022988505747,0.9117647058823529,-0.3385801601204745
ok,validation,783,0.35,0.2,0.35,7,40,76,660,0.14893617021276595,0.08433734939759036,0.06002554278416347,0.05714285714285714,0.48936170212765956,-0.09296338388993677
ok,test,587,0.35,0.2,0.35,0,84,31,472,0.0,0.0,0.14310051107325383,0.1510791366906475,0.38095238095238093,-0.281619951057893
ok,holdout,783,0.35,0.2,0.35,0,25,33,725,0.0,0.0,0.031928480204342274,0.03333333333333333,0.76,-0.2988416347381864
ok,train,1760,0.35,0.2,0.5,0,34,20,1706,0.0,0.0,0.019318181818181818,0.01954022988505747,0.9117647058823529,-0.3385801601204745
ok,validation,783,0.35,0.2,0.5,6,40,77,660,0.13043478260869565,0.07228915662650602,0.05874840357598978,0.05714285714285714,0.5,-0.11476346785490406
ok,test,587,0.35,0.2,0.5,0,84,31,472,0.0,0.0,0.14310051107325383,0.1510791366906475,0.38095238095238093,-0.281619951057893
ok,holdout,783,0.35,0.2,0.5,0,24,33,726,0.0,0.0,0.03065134099616858,0.032,0.75,-0.29402796934865894
ok,train,1760,0.35,0.35,0.2,0,7,20,1733,0.0,0.0,0.003977272727272727,0.004022988505747126,1.0,-0.35400698798328106
ok,validation,783,0.35,0.35,0.2,0,7,83,693,0.0,0.0,0.008939974457215836,0.01,0.8571428571428571,-0.3096289910600255
ok,test,587,0.35,0.35,0.2,0,39,31,517,0.0,0.0,0.06643952299829642,0.07014388489208633,0.3333333333333333,-0.1855140248959265
ok,holdout,783,0.35,0.35,0.2,0,13,33,737,0.0,0.0,0.016602809706257982,0.017333333333333333,1.0,-0.36707765006385695
ok,train,1760,0.35,0.35,0.35,0,5,20,1735,0.0,0.0,0.002840909090909091,0.0028735632183908046,1.0,-0.35286213427377217
ok,validation,783,0.35,0.35,0.35,0,7,83,693,0.0,0.0,0.008939974457215836,0.01,0.8571428571428571,-0.3096289910600255
ok,test,587,0.35,0.35,0.35,0,39,31,517,0.0,0.0,0.06643952299829642,0.07014388489208633,0.3333333333333333,-0.1855140248959265
ok,holdout,783,0.35,0.35,0.35,0,6,33,744,0.0,0.0,0.007662835249042145,0.008,1.0,-0.3578819923371647
ok,train,1760,0.35,0.35,0.5,0,5,20,1735,0.0,0.0,0.002840909090909091,0.0028735632183908046,1.0,-0.35286213427377217
ok,validation,783,0.35,0.35,0.5,0,7,83,693,0.0,0.0,0.008939974457215836,0.01,0.8571428571428571,-0.3096289910600255
ok,test,587,0.35,0.35,0.5,0,39,31,517,0.0,0.0,0.06643952299829642,0.07014388489208633,0.3333333333333333,-0.1855140248959265
ok,holdout,783,0.35,0.35,0.5,0,6,33,744,0.0,0.0,0.007662835249042145,0.008,1.0,-0.3578819923371647
ok,train,1760,0.35,0.5,0.2,0,0,20,1740,0.0,0.0,0.0,0.0,0.0,0.0
ok,validation,783,0.35,0.5,0.2,0,0,83,700,0.0,0.0,0.0,0.0,0.0,0.0
ok,test,587,0.35,0.5,0.2,0,0,31,556,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,783,0.35,0.5,0.2,0,4,33,746,0.0,0.0,0.005108556832694764,0.005333333333333333,1.0,-0.3552546615581098
ok,train,1760,0.35,0.5,0.35,0,0,20,1740,0.0,0.0,0.0,0.0,0.0,0.0
ok,validation,783,0.35,0.5,0.35,0,0,83,700,0.0,0.0,0.0,0.0,0.0,0.0
ok,test,587,0.35,0.5,0.35,0,0,31,556,0.0,0.0,0.0,0.0,0.0,0.0
ok,holdout,783,0.35,0.5,0.35,0,0,33,750,0.0,0.0,0.0,0.0,0.0,0.0
