as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,open_lot_count,open_lot_quantity,avg_entry_price,entry_reasons,entry_sleeves,target_portfolio_weight,target_combined_weight,delta_portfolio_weight,preview_action,review_action,review_reason,review_quantity_delta,review_trade_value_delta_usd,review_order_count,review_order_status,monster_recommendation,monster_stage,monster_priority_score,monster_reason,entry_monster_early_score_max,entry_stale_mega_leader_score_max,entry_risk_entry_block_score_max,account_source,approval_status,risk_state,combined_current_cash_weight,combined_target_cash_weight,combined_cash_gap_weight,macro_recommended_cash_floor,macro_cash_raise_gate,macro_cash_raise_confirmation_count,cash_policy_flag
2026-05-22,current_broker_ledger_mark_to_market,concentrated,equity,GTLS,262.0,207.9600067138672,54485.5217590332,0.4659572733928414,207.05999755859372,235.80239868164065,4702.622599449158,,,,0,0.0,0.0,,,0.0,0.0,-0.4659572733928414,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-262.0,-54485.5217590332,1,ready,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,
2026-05-22,current_broker_ledger_mark_to_market,concentrated,equity,SU,475.0,67.33999633789062,31986.498260498047,0.2735468255358228,57.336082458496094,4751.859092712402,0.0,,,,0,0.0,0.0,,,0.0,0.0,-0.2735468255358228,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-475.0,-31986.498260498047,1,ready,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,
2026-05-22,current_broker_ledger_mark_to_market,concentrated,equity,PBA,613.0,49.58000183105469,30392.541122436523,0.2599153891839617,44.46794128417969,3133.693115234375,0.0,,,,0,0.0,0.0,,,0.0,0.0,-0.2599153891839617,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-613.0,-30392.541122436523,1,ready,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,
2026-05-22,current_broker_ledger_mark_to_market,concentrated,cash,CASH,0.0,1.0,67.88067249295273,0.0005805118873739,1.0,0.0,0.0,,,,0,0.0,0.0,,,0.0,0.2534644339289399,,CASH_POLICY_REVIEW,CASH_POLICY_REVIEW,Combined cash target is materially above the macro floor without confirmed cash-raise evidence; review before reserving more cash.,0.0,0.0,0,,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,target_cash_above_macro_floor_without_confirmation
2026-05-22,current_broker_ledger_mark_to_market,main,equity,BE,69.0,302.489990234375,20871.809326171875,0.172813760109183,156.9882653277853,10039.619018554688,0.0,,,,0,0.0,0.0,,,0.1199999999999999,0.1083333333333333,-0.05281376010918311,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-21.0,-6352.289794921875,1,ready,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,
2026-05-22,current_broker_ledger_mark_to_market,main,equity,KGC,330.0,28.290000915527344,9335.700302124023,0.0772974420784627,31.73933594443581,-1138.280559539795,2190.933697032928,,,,0,0.0,0.0,,,0.0,0.0,-0.0772974420784627,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-330.0,-9335.700302124023,1,ready,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,
2026-05-22,current_broker_ledger_mark_to_market,main,equity,CNI,75.0,114.23999786376952,8567.999839782715,0.0709410595789157,111.63083943684896,195.68688201904297,-550.0685552597042,,,,0,0.0,0.0,,,0.0,0.0,-0.0709410595789157,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-75.0,-8567.999839782715,1,ready,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,
2026-05-22,current_broker_ledger_mark_to_market,main,equity,TRP,119.0,70.91000366210938,8438.290435791016,0.0698670956750188,56.89431592797031,1667.8668403625488,-485.3434669876102,,,,0,0.0,0.0,,,0.1199999999999999,0.1083333333333333,0.050132904324981103,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,85.0,6027.350311279297,1,ready,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,
2026-05-22,current_broker_ledger_mark_to_market,main,equity,SU,116.0,67.33999633789062,7811.439575195312,0.064676915343533,57.22504559878645,1173.334285736084,235.61804869651797,,,,0,0.0,0.0,,,0.0,0.0,-0.064676915343533,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-116.0,-7811.439575195312,1,ready,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,
2026-05-22,current_broker_ledger_mark_to_market,main,equity,CNQ,154.0,48.61000061035156,7485.940093994141,0.0619818548252564,33.86477355385541,2270.764966700408,3666.7792427035856,,,,0,0.0,0.0,,,0.0,0.0,-0.0619818548252564,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-154.0,-7485.940093994141,1,ready,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,simulation_ready_preview_only,green,0.133263610107532,0.2534644339289399,0.12020082382140793,0.03,none,0.0,
