model,rebalance_date,net_return,cash_weight
cash0.00_cap0.18,2019-04-30,-0.0045528315077846895,2.7755575615628914e-17
cash0.00_cap0.18,2019-05-31,0.06444115413501271,0.0
cash0.00_cap0.18,2019-06-28,0.018794104321218547,6.938893903907228e-18
cash0.00_cap0.18,2019-07-31,-0.0034006710284887175,-3.469446951953614e-18
cash0.00_cap0.18,2019-08-30,-0.0026723877453474335,0.0
cash0.00_cap0.18,2019-09-30,0.024081836471216863,0.0
cash0.00_cap0.18,2019-10-31,0.0061118510881460475,-6.938893903907228e-18
cash0.00_cap0.18,2019-11-29,0.022213917582575352,-2.0816681711721685e-17
cash0.00_cap0.18,2019-12-31,0.05615162642965631,0.0
cash0.00_cap0.18,2020-01-31,-0.023123834313267325,0.0
cash0.00_cap0.18,2020-02-28,-0.07482676457297024,0.0
cash0.00_cap0.18,2020-03-31,0.19364674562271153,-5.551115123125783e-17
cash0.00_cap0.18,2020-04-30,0.131184817864282,0.0
cash0.00_cap0.18,2020-05-29,0.06024945289791232,0.0
cash0.00_cap0.18,2020-06-30,0.08601639172932339,0.0
cash0.00_cap0.18,2020-07-31,0.11196822770098364,-3.469446951953614e-18
cash0.00_cap0.18,2020-08-31,-0.028101561154939895,0.0
cash0.00_cap0.18,2020-09-30,-0.003678920945597417,-2.7755575615628914e-17
cash0.00_cap0.18,2020-10-30,0.10491227906369698,0.0
cash0.00_cap0.18,2020-11-30,0.06827577923217489,-1.3877787807814457e-17
cash0.00_cap0.18,2020-12-31,-0.01635607188322196,-5.551115123125783e-17
cash0.00_cap0.18,2021-01-29,0.06058104310309629,5.551115123125783e-17
cash0.00_cap0.18,2021-02-26,-0.011734157826335904,0.0
cash0.00_cap0.18,2021-03-31,0.047683432933221796,2.7755575615628914e-17
cash0.00_cap0.18,2021-04-30,-0.0005242223939613055,-1.3877787807814457e-17
cash0.00_cap0.18,2021-05-28,0.03711116616688199,3.469446951953614e-18
cash0.00_cap0.18,2021-06-30,0.06625797301052347,6.938893903907228e-18
cash0.00_cap0.18,2021-07-30,0.057006334962187426,6.938893903907228e-18
cash0.00_cap0.18,2021-08-31,-0.04927178040480731,0.0
cash0.00_cap0.18,2021-09-30,0.10976813533185699,5.551115123125783e-17
cash0.00_cap0.18,2021-10-29,0.011947200413065528,0.0
cash0.00_cap0.18,2021-11-30,0.039787750019516725,0.0
cash0.00_cap0.18,2021-12-31,-0.04926345520443583,0.0
cash0.00_cap0.18,2022-01-31,-0.00884330515944738,-5.551115123125783e-17
cash0.00_cap0.18,2022-02-28,0.045373403480077824,0.0
cash0.00_cap0.18,2022-03-31,-0.059749098804667375,0.0
cash0.00_cap0.18,2022-04-29,0.004698637993167546,0.0
cash0.00_cap0.18,2022-05-31,-0.05850508275640376,1.1102230246251565e-16
cash0.00_cap0.18,2022-06-30,0.038485450068251596,-1.3877787807814457e-17
cash0.00_cap0.18,2022-07-29,-0.02555672204609003,0.0
cash0.00_cap0.18,2022-08-31,-0.03959552558962426,-2.7755575615628914e-17
cash0.00_cap0.18,2022-09-30,0.09004239307739953,0.0
cash0.00_cap0.18,2022-10-31,0.01009852763886852,1.3877787807814457e-17
cash0.00_cap0.18,2022-11-30,-0.04058514221248727,-5.551115123125783e-17
cash0.00_cap0.18,2022-12-30,0.029457765623808044,6.938893903907228e-18
cash0.00_cap0.18,2023-01-31,-0.021401776982966313,2.7755575615628914e-17
cash0.00_cap0.18,2023-02-28,0.02228115030446574,-2.7755575615628914e-17
cash0.00_cap0.18,2023-03-31,0.015578501598819553,1.3877787807814457e-17
cash0.00_cap0.18,2023-04-28,0.04660938552117229,0.0
cash0.00_cap0.18,2023-05-31,0.09124451620248872,-1.3877787807814457e-17
cash0.00_cap0.18,2023-06-30,0.026834786139357972,-2.7755575615628914e-17
cash0.00_cap0.18,2023-07-31,0.028394097599456304,-6.938893903907228e-18
cash0.00_cap0.18,2023-08-31,-0.0601962023136746,0.0
cash0.00_cap0.18,2023-09-29,-0.010041025476191814,5.551115123125783e-17
