ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
NET,32078.078979492188,0.1220521775212083,0.0,0.0,-32078.078979492188
TSLA,27668.459197998047,0.1052742496186043,0.0,0.0,-27668.459197998047
NVDA,25315.368461608887,0.0963210997599457,0.0,0.0,-25315.368461608887
SAIA,24375.279418945312,0.0927442049342215,0.0,0.0,-24375.279418945312
DDOG,23882.400756835938,0.0908688771129188,0.0,0.0,-23882.400756835938
ENPH,23828.85913085937,0.0906651594263752,0.0,0.0,-23828.85913085937
BE,17041.55043411255,0.0648404893619305,0.0,0.0,-17041.55043411255
U,16128.75,0.0613674235122901,0.0,0.0,-16128.75
SNOW,14509.549774169922,0.0552066146455329,0.0,0.0,-14509.549774169922
FSLR,12137.440307617188,0.0461811014314615,0.0,0.0,-12137.440307617188
MDB,8546.55029296875,0.0325183148971681,0.0,0.0,-8546.55029296875
DXCM,8495.634902954102,0.032324589636232,0.0,0.0,-8495.634902954102
HUBS,8223.400268554688,0.031288778547096,0.0,0.0,-8223.400268554688
PCTY,7344.539703369141,0.0279448487005802,0.0,0.0,-7344.539703369141
BILL,6363.400268554688,0.024211763419894,0.0,0.0,-6363.400268554688
