as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,risk_state,account_source,approval_status,backtest_metric_mode,official_broker_cagr,official_broker_max_dd,official_broker_sharpe,official_broker_avg_cash_weight,daily_monitoring_backtest_status,daily_monitoring_position_risk_cagr,daily_monitoring_position_risk_max_dd,daily_monitoring_risk_action_count
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,SNDK,273.0,1963.5999755859373,536062.7933349609,0.3668891713446866,230185.232788086,7191.8138427734375,2026-03-02,2026-05-01,113.0,1120.430624713828,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.46243150424068036,-0.2581939668489145,1.4213839483552773,0.42180778323142404,missing,0.3176265697274536,-0.28083303389358827,0
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,BE,1118.0,321.9800109863281,359973.65228271484,0.2463712024673215,35172.30456542969,0.0,2026-05-01,2026-05-01,53.0,290.5199890136719,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.46243150424068036,-0.2581939668489145,1.4213839483552773,0.42180778323142404,missing,0.3176265697274536,-0.28083303389358827,0
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,WDC,438.0,670.75,293788.5,0.2010731217606569,121317.11566173454,130403.42899215796,2026-02-02,2026-05-01,141.0,404.1428657427226,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.46243150424068036,-0.2581939668489145,1.4213839483552773,0.42180778323142404,missing,0.3176265697274536,-0.28083303389358827,0
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,CIEN,257.0,459.8500061035156,118181.45156860352,0.080885104083737,5129.272464100592,94436.25024330452,2026-03-02,2026-05-01,113.0,471.7086666122021,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.46243150424068036,-0.2581939668489145,1.4213839483552773,0.42180778323142404,missing,0.3176265697274536,-0.28083303389358827,0
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,LITE,77.0,827.9199829101562,63749.83868408203,0.0436313166646981,21905.970345337897,309274.407424819,2026-02-02,2026-05-01,141.0,642.2293554528967,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.46243150424068036,-0.2581939668489145,1.4213839483552773,0.42180778323142404,missing,0.3176265697274536,-0.28083303389358827,0
2026-06-23,current_broker_ledger_mark_to_market,concentrated,cash,CASH,0.0,1.0,89346.55811572325,0.0611500836788997,0.0,0.0,,,,0.0,,,RESERVE_CASH,Combined cash is below target under macro gate `none`.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.46243150424068036,-0.2581939668489145,1.4213839483552773,0.42180778323142404,missing,0.3176265697274536,-0.28083303389358827,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,SNDK,61.0,1963.5999755859373,119779.5985107422,0.1588895874612862,72928.99774169922,1582.1990454101565,2026-03-02,2026-05-01,113.0,768.0426355580814,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,WDC,154.0,670.75,103295.5,0.1370231624222331,51303.08839898877,31123.88009645648,2026-02-02,2026-05-01,141.0,369.5811840899579,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,MRVL,311.0,279.0400085449219,86781.4426574707,0.1151169965050783,35481.99360656738,-6077.34198682785,2026-05-01,2026-05-01,53.0,164.9499969482422,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,STM,1151.0,72.43000030517578,83366.93035125732,0.1105875903419154,19270.95154571533,235.70702055454248,2026-05-01,2026-05-01,53.0,55.68721008300781,target_rebalance,early_scout,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,CIEN,104.0,459.8500061035156,47824.400634765625,0.0634398460332099,7764.695873357741,23292.983277261766,2026-03-02,2026-05-01,113.0,409.59461622971753,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,ON,331.0,117.05999755859376,38746.85919189453,0.0513983395249779,4643.929595947266,456.6399546146396,2026-05-01,2026-05-01,53.0,103.02999877929688,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,MU,34.0,1051.77001953125,35760.1806640625,0.0474364618340608,20024.367673198994,20218.471006648728,2026-01-02,2026-05-01,172.0,468.7939336440143,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,LITE,40.0,827.9199829101562,33116.79931640625,0.0439299734415965,20089.885222124896,62428.27932579535,2026-02-02,2026-05-01,141.0,476.0710113525391,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,PWR,42.0,702.2899780273438,29496.17907714844,0.0391271617497701,-1676.641845703125,957.620685005188,2026-05-01,2026-05-01,53.0,742.2100219726562,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,FIX,12.0,1908.0699462890625,22896.83935546875,0.0303730301703382,501.375,0.0,2026-05-01,2026-05-01,53.0,1866.2886962890625,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,COHR,46.0,381.2200012207031,17536.120056152344,0.0232619487461694,4832.907784016925,7009.664090525309,2025-12-01,2026-05-01,204.0,292.3667396877123,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,TER,24.0,420.1199951171875,10082.8798828125,0.0133751043159332,4928.976205436828,12042.302926261778,2026-01-02,2026-03-02,172.0,266.55094909667963,target_rebalance,"future_winner,unassigned",HOLD,No preview order or no material target gap.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,equity,KEYS,20.0,352.5799865722656,7051.5997314453125,0.009354061845273,786.199951171875,-3687.373660430908,2026-03-02,2026-03-02,113.0,313.2699890136719,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
2026-06-23,current_broker_ledger_mark_to_market,main,cash,CASH,0.0,1.0,118118.96917207818,0.1566867356081573,0.0,0.0,,,,0.0,,,RESERVE_CASH,Combined cash is below target under macro gate `none`.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3315024168562848,-0.2601521797250256,1.2192714080044638,0.26695988403658716,missing,0.2865706304640734,-0.25767759436345106,0
