stress_window,status,reason
2020,not_backtested,E4 uses standalone concentrated historical metrics plus latest policy audit; no orchestrated portfolio backtest executed
2022,not_backtested,E4 uses standalone concentrated historical metrics plus latest policy audit; no orchestrated portfolio backtest executed
2025-2026 momentum,not_backtested,E4 uses standalone concentrated historical metrics plus latest policy audit; no orchestrated portfolio backtest executed
