ticker,Name,sector,cik10
A,AGILENT TECHNOLOGIES INC,Health Care,0001090872
AAON,AAON INC,Industrials,0000824142
AAPL,APPLE INC,Information Technology,0000320193
ABT,ABBOTT LABORATORIES,Health Care,0000001800
ACGL,ARCH CAPITAL GROUP LTD,Financials,0000947484
ACI,ALBERTSONS COMPANY INC CLASS A,Consumer Staples,0001646972
ACM,AECOM,Industrials,0000868857
ADC,AGREE REALTY REIT CORP,Real Estate,0000917251
ADI,ANALOG DEVICES INC,Information Technology,0000006281
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,0000007084
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,0000008670
ADSK,AUTODESK INC,Information Technology,0000769397
AEE,AMEREN CORP,Utilities,0001002910
AEP,AMERICAN ELECTRIC POWER INC,Utilities,0000004904
AES,AES CORP,Utilities,0000874761
AFG,AMERICAN FINANCIAL GROUP INC,Financials,0001042046
AFL,AFLAC INC,Financials,0000004977
AGCO,AGCO CORP,Industrials,0000880266
AGNC,AGNC INVESTMENT REIT CORP,Financials,0001423689
AGO,ASSURED GUARANTY LTD,Financials,0001273813
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,0000005272
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,0000109563
AIZ,ASSURANT INC,Financials,0001267238
AJG,ARTHUR J GALLAGHER,Financials,0000354190
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,0001086222
ALAB,ASTERA LABS INC,Information Technology,0001736297
ALGM,ALLEGRO MICROSYSTEMS INC,Information Technology,0000866291
ALK,ALASKA AIR GROUP INC,Industrials,0000766421
ALL,ALLSTATE CORP,Financials,0000899051
ALLE,ALLEGION PLC,Industrials,0001579241
ALLY,ALLY FINANCIAL INC,Financials,0000040729
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,0001178670
AM,ANTERO MIDSTREAM CORP,Energy,0001623925
AMAT,APPLIED MATERIAL INC,Information Technology,0000006951
AMCR,AMCOR PLC,Materials,0001748790
AMD,ADVANCED MICRO DEVICES INC,Information Technology,0000002488
AME,AMETEK INC,Industrials,0001037868
AMGN,AMGEN INC,Health Care,0000318154
AMKR,AMKOR TECHNOLOGY INC,Information Technology,0001047127
AMP,AMERIPRISE FINANCE INC,Financials,0000820027
AMT,AMERICAN TOWER REIT CORP,Real Estate,0001053507
AMTM,AMENTUM HOLDINGS INC,Industrials,0002011286
AMZN,AMAZON.COM INC,Consumer Discretionary,0001018724
AN,AUTONATION INC,Consumer Discretionary,0000350698
ANET,ARISTA NETWORKS INC,Information Technology,0001596532
AON,AON PLC CLASS A,Financials,0000315293
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,0000002969
APG,API GROUP CORP,Industrials,0001796209
APH,AMPHENOL CORP CLASS A,Information Technology,0000820313
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,0001858681
APP,APPLOVIN CORP CLASS A,Information Technology,0001751008
AR,ANTERO RESOURCES CORP,Energy,0001433270
ARES,ARES MANAGEMENT CORP CLASS A,Financials,0001176948
ARMK,ARAMARK,Consumer Discretionary,0001584509
ARW,ARROW ELECTRONICS INC,Information Technology,0000007536
AS,AMER SPORTS INC,Consumer Discretionary,0001988894
ASH,ASHLAND INC,Materials,0001674862
ATI,ATI INC,Industrials,0001018963
ATO,ATMOS ENERGY CORP,Utilities,0000731802
ATR,APTARGROUP INC,Materials,0000896622
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,0000915912
AVGO,BROADCOM INC,Information Technology,0001730168
AVT,AVNET INC,Information Technology,0000008858
AVY,AVERY DENNISON CORP,Materials,0000008818
AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,0000007431
AWK,AMERICAN WATER WORKS INC,Utilities,0001410636
AXON,AXON ENTERPRISE INC,Industrials,0001069183
AXP,AMERICAN EXPRESS,Financials,0000004962
AXS,AXIS CAPITAL HOLDINGS LTD,Financials,0001214816
AXTA,AXALTA COATING SYSTEMS LTD,Materials,0001616862
AYI,ACUITY INC,Industrials,0001144215
AZO,AUTOZONE INC,Consumer Discretionary,0000866787
BA,BOEING,Industrials,0000012927
BAC,BANK OF AMERICA CORP,Financials,0000070858
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,0001443646
BALL,BALL CORP,Materials,0000009389
BBY,BEST BUY INC,Consumer Discretionary,0000764478
BC,BRUNSWICK CORP,Consumer Discretionary,0000014930
BEN,FRANKLIN RESOURCES INC,Financials,0000038777
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Consumer Discretionary,0001437578
BG,BUNGE GLOBAL SA,Consumer Staples,0001996862
BHF,BRIGHTHOUSE FINANCIAL INC,Financials,0001685040
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples,0001531152
BK,BANK OF NEW YORK MELLON CORP,Financials,0001390777
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0001075531
BKR,BAKER HUGHES CLASS A,Energy,0001701605
BLD,TOPBUILD CORP,Consumer Discretionary,0001633931
BLK,BLACKROCK INC,Financials,0002012383
BMY,BRISTOL MYERS SQUIBB,Health Care,0000014272
BOKF,BOK FINANCIAL CORP,Financials,0000875357
BPOP,POPULAR INC,Financials,0000763901
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,0001383312
BRO,BROWN & BROWN INC,Financials,0000079282
BROS,DUTCH BROS INC CLASS A,Consumer Discretionary,0001866581
BRX,BRIXMOR PROPERTY GROUP REIT INC,Real Estate,0001581068
BSX,BOSTON SCIENTIFIC CORP,Health Care,0000885725
BURL,BURLINGTON STORES INC,Consumer Discretionary,0001579298
BWA,BORGWARNER INC,Consumer Discretionary,0000908255
BWXT,BWX TECHNOLOGIES INC,Industrials,0001486957
BX,BLACKSTONE INC,Financials,0001393818
BXP,BXP INC,Real Estate,0001037540
BYD,BOYD GAMING CORP,Consumer Discretionary,0000906553
C,CITIGROUP INC,Financials,0000831001
CACC,CREDIT ACCEPTANCE CORP,Financials,0000885550
CACI,CACI INTERNATIONAL INC CLASS A,Industrials,0000016058
CAG,CONAGRA BRANDS INC,Consumer Staples,0000023217
CARR,CARRIER GLOBAL CORP,Industrials,0001783180
CART,MAPLEBEAR INC,Consumer Staples,0001579091
CASY,CASEYS GENERAL STORES INC,Consumer Staples,0000726958
CAT,CATERPILLAR INC,Industrials,0000018230
CB,CHUBB,Financials,0000896159
CBOE,CBOE GLOBAL MARKETS INC,Financials,0001374310
CBRE,CBRE GROUP INC CLASS A,Real Estate,0001138118
CCI,CROWN CASTLE INC,Real Estate,0001051470
CCK,CROWN HOLDINGS INC,Materials,0001219601
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,0000813672
CDW,CDW CORP,Information Technology,0001402057
CEG,CONSTELLATION ENERGY CORP,Utilities,0001868275
CFG,CITIZENS FINANCIAL GROUP INC,Financials,0000759944
CFR,CULLEN FROST BANKERS INC,Financials,0000039263
CG,CARLYLE GROUP INC,Financials,0001527166
CHD,CHURCH AND DWIGHT INC,Consumer Staples,0000313927
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,0000020212
CHE,CHEMED CORP,Health Care,0000019584
CHH,CHOICE HOTELS INTERNATIONAL INC,Consumer Discretionary,0001046311
CHRD,CHORD ENERGY CORP,Energy,0001486159
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,0001043277
CI,CIGNA,Health Care,0001739940
CIEN,CIENA CORP,Information Technology,0000936395
CINF,CINCINNATI FINANCIAL CORP,Financials,0000020286
CL,COLGATE-PALMOLIVE,Consumer Staples,0000021665
CLH,CLEAN HARBORS INC,Industrials,0000822818
CLX,CLOROX,Consumer Staples,0000021076
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,0001058090
CMI,CUMMINS INC,Industrials,0000026172
CMS,CMS ENERGY CORP,Utilities,0000811156
CNA,CNA FINANCIAL CORP,Financials,0000021175
CNH,CNH INDUSTRIAL N.V. NV,Industrials,0001567094
CNP,CENTERPOINT ENERGY INC,Utilities,0001130310
COF,CAPITAL ONE FINANCIAL CORP,Financials,0000927628
COHR,COHERENT CORP,Information Technology,0000820318
COLB,COLUMBIA BANKING SYSTEM INC,Financials,0000887343
COO,COOPER INC,Health Care,0000711404
COP,CONOCOPHILLIPS,Energy,0001163165
COR,CENCORA INC,Health Care,0001140859
COST,COSTCO WHOLESALE CORP,Consumer Staples,0000909832
CPAY,CORPAY INC,Financials,0001175454
CPRT,COPART INC,Industrials,0000900075
CR,CRANE,Industrials,0001944013
CRBG,COREBRIDGE FINANCIAL INC,Financials,0001889539
CRH,CRH PUBLIC LIMITED PLC,Materials,0000849395
CRM,SALESFORCE INC,Information Technology,0001108524
CROX,CROCS INC,Consumer Discretionary,0001334036
CRS,CARPENTER TECHNOLOGY CORP,Industrials,0000017843
CRUS,CIRRUS LOGIC INC,Information Technology,0000772406
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,0001535527
CSCO,CISCO SYSTEMS INC,Information Technology,0000858877
CSL,CARLISLE COMPANIES INC,Industrials,0000790051
CSX,CSX CORP,Industrials,0000277948
CTAS,CINTAS CORP,Industrials,0000723254
CTRA,COTERRA ENERGY INC,Energy,0000858470
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,0001058290
CTVA,CORTEVA INC,Materials,0001755672
CUBE,CUBESMART REIT,Real Estate,0001298675
CUZ,COUSINS PROPERTIES REIT INC,Real Estate,0000025232
CVS,CVS HEALTH CORP,Health Care,0000064803
CVX,CHEVRON CORP,Energy,0000093410
CW,CURTISS WRIGHT CORP,Industrials,0000026324
CWEN,CLEARWAY ENERGY INC CLASS C,Utilities,0001567683
CXT,CRANE NXT,Information Technology,0000025445
D,DOMINION ENERGY INC,Utilities,0000715957
DAL,DELTA AIR LINES INC,Industrials,0000027904
DBX,DROPBOX INC CLASS A,Information Technology,0001467623
DD,DUPONT DE NEMOURS INC,Materials,0001666700
DDOG,DATADOG INC CLASS A,Information Technology,0001561550
DDS,DILLARDS INC CLASS A,Consumer Discretionary,0000028917
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,0000910521
DGX,QUEST DIAGNOSTICS INC,Health Care,0001022079
DHI,D R HORTON INC,Consumer Discretionary,0000882184
DHR,DANAHER CORP,Health Care,0000313616
DINO,HF SINCLAIR CORP,Energy,0001915657
DIS,WALT DISNEY,Communication,0001744489
DKS,DICKS SPORTING INC,Consumer Discretionary,0001089063
DLTR,DOLLAR TREE INC,Consumer Staples,0000935703
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,0000765880
DOV,DOVER CORP,Industrials,0000029905
DOW,DOW INC,Materials,0001751788
DOX,AMDOCS LTD,Information Technology,0001062579
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,0001286681
DRS,LEONARDO DRS INC,Industrials,0001833756
DT,DYNATRACE INC,Information Technology,0001773383
DTE,DTE ENERGY,Utilities,0000936340
DTM,DT MIDSTREAM INC,Energy,0001842022
DUK,DUKE ENERGY CORP,Utilities,0001326160
DVA,DAVITA INC,Health Care,0000927066
DVN,DEVON ENERGY CORP,Energy,0001090012
EA,ELECTRONIC ARTS INC,Communication,0000712515
