rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,market_circuit_state,market_circuit_multiplier,market_circuit_source_rebalance_date,market_circuit_target_book
2019-05-31,FDS,0.36000000000000004,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,caution,0.9,2019-05-31,True
2019-05-31,HEI,0.36000000000000004,HEICO CORP,Industrials,future_winner,caution,0.9,2019-05-31,True
2019-06-03,FDS,0.27999999999999997,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,crisis,0.7,2019-05-31,True
2019-06-03,HEI,0.27999999999999997,HEICO CORP,Industrials,future_winner,crisis,0.7,2019-05-31,True
2019-06-11,FDS,0.36000000000000004,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,caution,0.9,2019-05-31,True
2019-06-11,HEI,0.36000000000000004,HEICO CORP,Industrials,future_winner,caution,0.9,2019-05-31,True
2019-06-12,FDS,0.4,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,normal,1.0,2019-05-31,True
2019-06-12,HEI,0.4,HEICO CORP,Industrials,future_winner,normal,1.0,2019-05-31,True
2019-06-28,HD,0.4,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-06-28,True
2019-06-28,HEI,0.4,HEICO CORP,Industrials,future_winner,normal,1.0,2019-06-28,True
2019-07-31,CTAS,0.4,CINTAS CORP,Industrials,early_scout,normal,1.0,2019-07-31,True
2019-07-31,HD,0.4,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-07-31,True
2019-08-05,CTAS,0.27999999999999997,CINTAS CORP,Industrials,early_scout,crisis,0.7,2019-07-31,True
2019-08-05,HD,0.27999999999999997,HOME DEPOT INC,Consumer Discretionary,core_compounder,crisis,0.7,2019-07-31,True
2019-08-30,HD,0.27999999999999997,HOME DEPOT INC,Consumer Discretionary,core_compounder,crisis,0.7,2019-08-30,True
2019-08-30,RMD,0.27999999999999997,RESMED INC,Health Care,future_winner,crisis,0.7,2019-08-30,True
2019-09-09,HD,0.36000000000000004,HOME DEPOT INC,Consumer Discretionary,core_compounder,caution,0.9,2019-08-30,True
2019-09-09,RMD,0.36000000000000004,RESMED INC,Health Care,future_winner,caution,0.9,2019-08-30,True
2019-09-10,HD,0.4,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-08-30,True
2019-09-10,RMD,0.4,RESMED INC,Health Care,future_winner,normal,1.0,2019-08-30,True
2019-09-30,MLM,0.4,MARTIN MARIETTA MATERIALS INC,Materials,early_scout,normal,1.0,2019-09-30,True
2019-09-30,SHW,0.4,SHERWIN WILLIAMS,Materials,future_winner,normal,1.0,2019-09-30,True
2019-10-02,MLM,0.27999999999999997,MARTIN MARIETTA MATERIALS INC,Materials,early_scout,crisis,0.7,2019-09-30,True
2019-10-02,SHW,0.27999999999999997,SHERWIN WILLIAMS,Materials,future_winner,crisis,0.7,2019-09-30,True
2019-10-15,MLM,0.36000000000000004,MARTIN MARIETTA MATERIALS INC,Materials,early_scout,caution,0.9,2019-09-30,True
