window_start,window_end,months,cagr,sharpe,max_dd,calmar,target_cagr,target_max_dd,target_pass
2019-04-30,2022-03-31,36,0.4852024192880513,1.740715250985372,-0.1302431465597832,3.7253585474867,0.5,-0.18,False
2019-05-31,2022-04-29,36,0.4905700512958122,1.7600957587631207,-0.13024314655978309,3.7665709425304383,0.5,-0.18,False
2019-06-28,2022-05-31,36,0.42590318152506823,1.5353367025137452,-0.17821298596873136,2.3898549211211564,0.5,-0.18,False
2019-07-31,2022-06-30,36,0.44809729314922464,1.5993627968168034,-0.1782129859687317,2.5143919266794925,0.5,-0.18,False
2019-08-30,2022-07-29,36,0.46689363598095435,1.6609926737194864,-0.17821298596873159,2.619863156677445,0.5,-0.18,False
2019-09-30,2022-08-31,36,0.4621164978347996,1.6440173165437164,-0.17821298596873147,2.593057376390521,0.5,-0.18,False
2019-10-31,2022-09-30,36,0.5001152434527218,1.7054818558668374,-0.17821298596873159,2.8062783457344107,0.5,-0.18,True
2019-11-29,2022-10-31,36,0.5050535374899696,1.7217690193581292,-0.17821298596873159,2.833988414169683,0.5,-0.18,True
2019-12-31,2022-11-30,36,0.4785973815468274,1.6375949191068784,-0.17821298596873159,2.685535955448274,0.5,-0.18,False
2020-01-31,2022-12-30,36,0.46916613401290075,1.6156504331115005,-0.17821298596873136,2.6326147416396415,0.5,-0.18,False
2020-02-28,2023-01-31,36,0.48564938720984463,1.6759513249314026,-0.17821298596873159,2.725106616501305,0.5,-0.18,False
2020-03-31,2023-02-28,36,0.5541892223973925,1.9145652190275686,-0.17821298596873147,3.1097016829886255,0.5,-0.18,True
2020-04-30,2023-03-31,36,0.4781819854941165,1.7575297273844777,-0.1782129859687317,2.6832050587941767,0.5,-0.18,False
2020-05-29,2023-04-28,36,0.4325208634245383,1.7716682469999445,-0.17821298596873147,2.426988477149621,0.5,-0.18,False
2020-06-30,2023-05-31,36,0.4092420011805227,1.7246667243937286,-0.17821298596873147,2.2963646501738464,0.5,-0.18,False
2020-07-31,2023-06-30,36,0.3594975001708618,1.5882487750779186,-0.17821298596873147,2.0172351538621194,0.5,-0.18,False
2020-08-31,2023-07-31,36,0.31573660789355484,1.5108942179130243,-0.17821298596873159,1.771681262043118,0.5,-0.18,False
2020-09-30,2023-08-31,36,0.3103460471995343,1.479792798091653,-0.17821298596873147,1.7414334062837955,0.5,-0.18,False
2020-10-30,2023-09-29,36,0.2657009641941219,1.3088530364496016,-0.17821298596873136,1.490918087421199,0.5,-0.18,False
2020-11-30,2023-10-31,36,0.2384313776943281,1.2255347980134392,-0.17821298596873136,1.3379012556142371,0.5,-0.18,False
2020-12-31,2023-11-30,36,0.2613996349754497,1.2903012738098398,-0.17821298596873159,1.4667821963395735,0.5,-0.18,False
2021-01-29,2023-12-29,36,0.2812237594347351,1.362060610054593,-0.17821298596873159,1.578020579735291,0.5,-0.18,False
2021-02-26,2024-01-31,36,0.32646176668587557,1.3557405403741332,-0.17821298596873147,1.831862952698381,0.5,-0.18,False
2021-03-31,2024-02-29,36,0.37445055030401897,1.493228216948255,-0.1782129859687318,2.1011406563252235,0.5,-0.18,False
2021-04-30,2024-03-28,36,0.31572167114293936,1.2806979625440373,-0.17821298596873192,1.771597448001538,0.5,-0.18,False
2021-05-28,2024-04-30,36,0.3187160690932742,1.290166606705166,-0.17821298596873147,1.7883998035316844,0.5,-0.18,False
2021-06-30,2024-05-31,36,0.25426215595503776,1.0996851030702988,-0.17821298596873159,1.4267319217671905,0.5,-0.18,False
2021-07-30,2024-06-28,36,0.24956241735462803,1.0843290429441503,-0.17821298596873159,1.400360450716061,0.5,-0.18,False
2021-08-31,2024-07-31,36,0.27588831161733807,1.179337741666868,-0.16625668576149044,1.6594118326954,0.5,-0.18,False
2021-09-30,2024-08-30,36,0.30573978614336017,1.2927663419550486,-0.16625668576149055,1.8389623535619497,0.5,-0.18,False
2021-10-29,2024-09-30,36,0.3115767519372594,1.3109399231824546,-0.16625668576149055,1.8740705103687856,0.5,-0.18,False
2021-11-30,2024-10-31,36,0.3693632408944141,1.526417244904435,-0.15643173025283974,2.3611785172829984,0.5,-0.18,False
2021-12-31,2024-11-29,36,0.34377661945128923,1.4354737093017444,-0.15643173025283963,2.19761437718323,0.5,-0.18,False
2022-01-31,2024-12-31,36,0.3612190024238726,1.5071619778305927,-0.15643173025283974,2.309115943677388,0.5,-0.18,False
2022-02-28,2025-01-31,36,0.3579399734307407,1.4942078896546902,-0.15643173025283974,2.288154537779543,0.5,-0.18,False
2022-03-31,2025-02-28,36,0.3286859506025812,1.3804027338529172,-0.15643173025283963,2.1011462960316822,0.5,-0.18,False
2022-04-29,2025-03-31,36,0.36304892320246984,1.5424425740681038,-0.08159828094641997,4.449222691846405,0.5,-0.18,False
2022-05-31,2025-04-30,36,0.403683718027674,1.6727869872019359,-0.07754825850640912,5.2055807029413925,0.5,-0.18,False
2022-06-30,2025-05-30,36,0.4504809109538961,1.8938002582249238,-0.077548258506409,5.809039682260123,0.5,-0.18,False
2022-07-29,2025-06-30,36,0.4427598242286017,1.8700450888114735,-0.077548258506409,5.709474754897425,0.5,-0.18,False
2022-08-31,2025-07-31,36,0.4351924309351536,1.8404009492315443,-0.077548258506409,5.61189173447637,0.5,-0.18,False
2022-09-30,2025-08-29,36,0.43784723813583026,1.8529277518659673,-0.077548258506409,5.646125993914412,0.5,-0.18,False
2022-10-31,2025-09-30,36,0.45499191982216125,1.8429725611908108,-0.077548258506409,5.8672100261872195,0.5,-0.18,False
2022-11-30,2025-10-31,36,0.4566056063851698,1.8495646871444646,-0.077548258506409,5.888018830847548,0.5,-0.18,False
2022-12-30,2025-11-28,36,0.5408325037169683,2.0579416721047967,-0.077548258506409,6.974141188125727,0.5,-0.18,True
