date,signal_date,ticker,decision,reason,current_weight,target_weight,unrealized_return,held_days
2019-05-01,2019-04-30,FDS,buy,staged_new_entry,0.0,0.2821213020779637,0.0,0
2019-05-01,2019-04-30,NOW,buy,staged_new_entry,0.0,0.2502003817013577,0.0,0
2019-05-01,2019-04-30,VICI,buy,staged_new_entry,0.0,0.2458877315537863,0.0,0
2019-05-01,2019-04-30,MKTX,buy,staged_new_entry,0.0,0.2217905846668921,0.0,0
2019-06-03,2019-05-31,FDS,hold,defer_target_exit_min_holding,0.2464392285414932,0.0,0.020546044985165324,33
2019-06-03,2019-05-31,MKTX,hold,defer_target_exit_min_holding,0.19787168279548495,0.0,0.04502019532873258,33
2019-06-03,2019-05-31,NOW,sell,target_exit_policy,0.19775622403827142,0.0,-0.0814349666087032,33
2019-06-03,2019-05-31,VICI,hold,defer_target_exit_min_holding,0.20485077666653023,0.0,-0.0319753338125226,33
2019-06-03,2019-05-31,MA,buy,staged_new_entry,0.0,0.494192593938826,0.0,0
2019-06-03,2019-05-31,PEG,buy,staged_new_entry,0.0,0.1913744790244121,0.0,0
2019-06-03,2019-05-31,TSCO,buy,staged_new_entry,0.0,0.1600165171283791,0.0,0
2019-06-03,2019-05-31,CMS,buy,staged_new_entry,0.0,0.1544164099083827,0.0,0
2019-07-01,2019-06-28,FDS,hold,defer_target_exit_min_holding,0.23932154197680328,0.0,0.05685024902409874,61
2019-07-01,2019-06-28,MKTX,hold,defer_target_exit_min_holding,0.20344177120712226,0.0,0.14575051915527948,61
2019-07-01,2019-06-28,VICI,hold,defer_target_exit_min_holding,0.19637288892344384,0.0,-0.010446597627496224,61
2019-07-01,2019-06-28,VEEV,buy,staged_new_entry,0.0,0.2509679557489438,0.0,0
2019-07-01,2019-06-28,AVGO,buy,staged_new_entry,0.0,0.1520062179973665,0.0,0
2019-08-01,2019-07-31,FDS,sell,target_exit_policy,0.2323192610066992,0.0,0.029907741019269185,92
2019-08-01,2019-07-31,MA,hold,defer_target_exit_min_holding,0.36958121915280906,0.0,0.1330508885415289,59
